path, category, name, more_names
0_head/0_cowl.png, Head, Head : Cowl, Cowl
0_head/1_horns.png, Head, Head : Horns, Horns
0_head/2_diamond_tiara.png, Head, Head : Diamond Tiara, Diamond Tiara
0_head/3_pink_antennae.png, Head, Head : Pink Antennae, Pink Antennae
0_head/4_orange_tiara.png, Head, Head : Orange Tiara, Orange Tiara
0_head/5_purple_antennae.png, Head, Head : Purple Antennae, Purple Antennae
0_head/6_yellow_antennae.png, Head, Head : Yellow Antennae, Yellow Antennae
0_head/7_googles.png, Head, Head : Googles, Googles
0_head/8_blue_tiara.png, Head, Head : Blue Tiara, Blue Tiara
0_head/9_green_antennae.png, Head, Head : Green Antennae, Green Antennae
0_head/10_green_tiara.png, Head, Head : Green Tiara, Green Tiara
0_head/11_pink_tiara.png, Head, Head : Pink Tiara, Pink Tiara
0_head/12_orange_antennae.png, Head, Head : Orange Antennae, Orange Antennae
0_head/13_purple_tiara.png, Head, Head : Purple Tiara, Purple Tiara
0_head/14_blue_antennae.png, Head, Head : Blue Antennae, Blue Antennae
0_head/15_none.png, Head, Head : None,
1_ears/0_long_gold.png, Ears, Ears : Long Gold, Long Gold
1_ears/1_long_purple.png, Ears, Ears : Long Purple, Long Purple
1_ears/2_long_pink.png, Ears, Ears : Long Pink, Long Pink
1_ears/3_long_orange.png, Ears, Ears : Long Orange, Long Orange
1_ears/4_long_green.png, Ears, Ears : Long Green, Long Green
1_ears/5_long_blue.png, Ears, Ears : Long Blue, Long Blue
1_ears/6_gold_stud.png, Ears, Ears : Gold Stud, Gold Stud
1_ears/7_orange_stud.png, Ears, Ears : Orange Stud, Orange Stud
1_ears/8_purple_stud.png, Ears, Ears : Purple Stud, Purple Stud
1_ears/9_green_stud.png, Ears, Ears : Green Stud, Green Stud
1_ears/10_pink_stud.png, Ears, Ears : Pink Stud, Pink Stud
1_ears/11_blue_stud.png, Ears, Ears : Blue Stud, Blue Stud
1_ears/12_none.png, Ears, Ears : None,
2_eyes/0_brown_eye_patch.png, Eyes, Eyes : Brown Eye Patch, Brown Eye Patch
2_eyes/1_purple_lazer.png, Eyes, Eyes : Purple Lazer, Purple Lazer
2_eyes/2_purple_makeup.png, Eyes, Eyes : Purple Makeup, Purple Makeup
2_eyes/3_monocle.png, Eyes, Eyes : Monocle, Monocle
2_eyes/4_robot_visor.png, Eyes, Eyes : Robot Visor, Robot Visor
2_eyes/5_robot_prosthetic.png, Eyes, Eyes : Robot Prosthetic, Robot Prosthetic
2_eyes/6_vaporwave_shades.png, Eyes, Eyes : Vaporwave Shades, Vaporwave Shades
2_eyes/7_sunset_shades.png, Eyes, Eyes : Sunset Shades, Sunset Shades
2_eyes/8_indigo_eye_patch.png, Eyes, Eyes : Indigo Eye Patch, Indigo Eye Patch
2_eyes/9_sunrise_shades.png, Eyes, Eyes : Sunrise Shades, Sunrise Shades
2_eyes/10_red.png, Eyes, Eyes : Red, Red
2_eyes/11_neon_shades.png, Eyes, Eyes : Neon Shades, Neon Shades
2_eyes/12_rainbow_shades.png, Eyes, Eyes : Rainbow Shades, Rainbow Shades
2_eyes/13_electric_lazer.png, Eyes, Eyes : Electric Lazer, Electric Lazer
2_eyes/14_rainbow_visor.png, Eyes, Eyes : Rainbow Visor, Rainbow Visor
2_eyes/15_3_d_glasses.png, Eyes, Eyes : 3 D Glasses, 3 D Glasses
2_eyes/16_green_makeup.png, Eyes, Eyes : Green Makeup, Green Makeup
2_eyes/17_black_shades.png, Eyes, Eyes : Black Shades, Black Shades
2_eyes/18_white_shades.png, Eyes, Eyes : White Shades, White Shades
2_eyes/19_pink_makeup.png, Eyes, Eyes : Pink Makeup, Pink Makeup
2_eyes/20_blue_makeup.png, Eyes, Eyes : Blue Makeup, Blue Makeup
2_eyes/21_purple_cyclops.png, Eyes, Eyes : Purple Cyclops, Purple Cyclops
2_eyes/22_electric.png, Eyes, Eyes : Electric, Electric
2_eyes/23_pink_cyclops.png, Eyes, Eyes : Pink Cyclops, Pink Cyclops
2_eyes/24_orange_cyclops.png, Eyes, Eyes : Orange Cyclops, Orange Cyclops
2_eyes/25_yellow_cyclops.png, Eyes, Eyes : Yellow Cyclops, Yellow Cyclops
2_eyes/26_green_cyclops.png, Eyes, Eyes : Green Cyclops, Green Cyclops
2_eyes/27_blue_cyclops.png, Eyes, Eyes : Blue Cyclops, Blue Cyclops
2_eyes/28_pink.png, Eyes, Eyes : Pink, Pink
2_eyes/29_green.png, Eyes, Eyes : Green, Green
2_eyes/30_purple.png, Eyes, Eyes : Purple, Purple
2_eyes/31_brown.png, Eyes, Eyes : Brown, Brown
2_eyes/32_blue.png, Eyes, Eyes : Blue, Blue
3_hair/0_vaporwave_long_bob.png, Hair, Hair : Vaporwave Long Bob, Vaporwave Long Bob
3_hair/1_rainbow_punk.png, Hair, Hair : Rainbow Punk, Rainbow Punk
3_hair/2_vaporwave_punk.png, Hair, Hair : Vaporwave Punk, Vaporwave Punk
3_hair/3_purple_buzz_cut.png, Hair, Hair : Purple Buzz Cut, Purple Buzz Cut
3_hair/4_pink_widow_peak.png, Hair, Hair : Pink Widow Peak, Pink Widow Peak
3_hair/5_purple_widow_peak.png, Hair, Hair : Purple Widow Peak, Purple Widow Peak
3_hair/6_purple_shag.png, Hair, Hair : Purple Shag, Purple Shag
3_hair/7_vaporwave_topknot.png, Hair, Hair : Vaporwave Topknot, Vaporwave Topknot
3_hair/8_purple_mullet.png, Hair, Hair : Purple Mullet, Purple Mullet
3_hair/9_pink_short.png, Hair, Hair : Pink Short, Pink Short
3_hair/10_pink_sleek.png, Hair, Hair : Pink Sleek, Pink Sleek
3_hair/11_pink_shag.png, Hair, Hair : Pink Shag, Pink Shag
3_hair/12_blue_widow_peak.png, Hair, Hair : Blue Widow Peak, Blue Widow Peak
3_hair/13_pink_ponytail.png, Hair, Hair : Pink Ponytail, Pink Ponytail
3_hair/14_neon_topknot.png, Hair, Hair : Neon Topknot, Neon Topknot
3_hair/15_purple_sleek.png, Hair, Hair : Purple Sleek, Purple Sleek
3_hair/16_purple_short.png, Hair, Hair : Purple Short, Purple Short
3_hair/17_pink_mullet.png, Hair, Hair : Pink Mullet, Pink Mullet
3_hair/18_pink_long_bob.png, Hair, Hair : Pink Long Bob, Pink Long Bob
3_hair/19_purple_fringe.png, Hair, Hair : Purple Fringe, Purple Fringe
3_hair/20_brown_buzz_cut.png, Hair, Hair : Brown Buzz Cut, Brown Buzz Cut
3_hair/21_orange_widow_peak.png, Hair, Hair : Orange Widow Peak, Orange Widow Peak
3_hair/22_pink_bob.png, Hair, Hair : Pink Bob, Pink Bob
3_hair/23_pink_buzz_cut.png, Hair, Hair : Pink Buzz Cut, Pink Buzz Cut
3_hair/24_pink_fringe.png, Hair, Hair : Pink Fringe, Pink Fringe
3_hair/25_orange_topknot.png, Hair, Hair : Orange Topknot, Orange Topknot
3_hair/26_blue_ponytail.png, Hair, Hair : Blue Ponytail, Blue Ponytail
3_hair/27_orange_spiky.png, Hair, Hair : Orange Spiky, Orange Spiky
3_hair/28_neon_punk.png, Hair, Hair : Neon Punk, Neon Punk
3_hair/29_purple_topknot.png, Hair, Hair : Purple Topknot, Purple Topknot
3_hair/30_blue_shag.png, Hair, Hair : Blue Shag, Blue Shag
3_hair/31_orange_sleek.png, Hair, Hair : Orange Sleek, Orange Sleek
3_hair/32_orange_short.png, Hair, Hair : Orange Short, Orange Short
3_hair/33_orange_punk.png, Hair, Hair : Orange Punk, Orange Punk
3_hair/34_orange_shag.png, Hair, Hair : Orange Shag, Orange Shag
3_hair/35_orange_ponytail.png, Hair, Hair : Orange Ponytail, Orange Ponytail
3_hair/36_orange_pigtails.png, Hair, Hair : Orange Pigtails, Orange Pigtails
3_hair/37_orange_long_bob.png, Hair, Hair : Orange Long Bob, Orange Long Bob
3_hair/38_orange_mullet.png, Hair, Hair : Orange Mullet, Orange Mullet
3_hair/39_orange_fringe.png, Hair, Hair : Orange Fringe, Orange Fringe
3_hair/40_orange_buzz_cut.png, Hair, Hair : Orange Buzz Cut, Orange Buzz Cut
3_hair/41_orange_bob.png, Hair, Hair : Orange Bob, Orange Bob
3_hair/42_yellow_widow_peak.png, Hair, Hair : Yellow Widow Peak, Yellow Widow Peak
3_hair/43_yellow_topknot.png, Hair, Hair : Yellow Topknot, Yellow Topknot
3_hair/44_purple_spiky.png, Hair, Hair : Purple Spiky, Purple Spiky
3_hair/45_yellow_mullet.png, Hair, Hair : Yellow Mullet, Yellow Mullet
3_hair/46_purple_long_bob.png, Hair, Hair : Purple Long Bob, Purple Long Bob
3_hair/47_blue_mullet.png, Hair, Hair : Blue Mullet, Blue Mullet
3_hair/48_neon_long_bob.png, Hair, Hair : Neon Long Bob, Neon Long Bob
3_hair/49_blue_long_bob.png, Hair, Hair : Blue Long Bob, Blue Long Bob
3_hair/50_green_shag.png, Hair, Hair : Green Shag, Green Shag
3_hair/51_black_widow_peak.png, Hair, Hair : Black Widow Peak, Black Widow Peak
3_hair/52_yellow_buzz_cut.png, Hair, Hair : Yellow Buzz Cut, Yellow Buzz Cut
3_hair/53_blue_fringe.png, Hair, Hair : Blue Fringe, Blue Fringe
3_hair/54_green_spiky.png, Hair, Hair : Green Spiky, Green Spiky
3_hair/55_blue_punk.png, Hair, Hair : Blue Punk, Blue Punk
3_hair/56_blue_short.png, Hair, Hair : Blue Short, Blue Short
3_hair/57_green_widow_peak.png, Hair, Hair : Green Widow Peak, Green Widow Peak
3_hair/58_yellow_bob.png, Hair, Hair : Yellow Bob, Yellow Bob
3_hair/59_blue_bob.png, Hair, Hair : Blue Bob, Blue Bob
3_hair/60_blond_punk.png, Hair, Hair : Blond Punk, Blond Punk
3_hair/61_green_topknot.png, Hair, Hair : Green Topknot, Green Topknot
3_hair/62_blue_spiky.png, Hair, Hair : Blue Spiky, Blue Spiky
3_hair/63_purple_punk.png, Hair, Hair : Purple Punk, Purple Punk
3_hair/64_purple_ponytail.png, Hair, Hair : Purple Ponytail, Purple Ponytail
3_hair/65_purple_pigtails.png, Hair, Hair : Purple Pigtails, Purple Pigtails
3_hair/66_yellow_sleek.png, Hair, Hair : Yellow Sleek, Yellow Sleek
3_hair/67_yellow_short.png, Hair, Hair : Yellow Short, Yellow Short
3_hair/68_blue_pigtails.png, Hair, Hair : Blue Pigtails, Blue Pigtails
3_hair/69_green_sleek.png, Hair, Hair : Green Sleek, Green Sleek
3_hair/70_yellow_long_bob.png, Hair, Hair : Yellow Long Bob, Yellow Long Bob
3_hair/71_green_short.png, Hair, Hair : Green Short, Green Short
3_hair/72_purple_bob.png, Hair, Hair : Purple Bob, Purple Bob
3_hair/73_yellow_spiky.png, Hair, Hair : Yellow Spiky, Yellow Spiky
3_hair/74_yellow_shag.png, Hair, Hair : Yellow Shag, Yellow Shag
3_hair/75_blue_topknot.png, Hair, Hair : Blue Topknot, Blue Topknot
3_hair/76_green_punk.png, Hair, Hair : Green Punk, Green Punk
3_hair/77_blue_sleek.png, Hair, Hair : Blue Sleek, Blue Sleek
3_hair/78_yellow_pigtails.png, Hair, Hair : Yellow Pigtails, Yellow Pigtails
3_hair/79_blue_buzz_cut.png, Hair, Hair : Blue Buzz Cut, Blue Buzz Cut
3_hair/80_green_ponytail.png, Hair, Hair : Green Ponytail, Green Ponytail
3_hair/81_pink_topknot.png, Hair, Hair : Pink Topknot, Pink Topknot
3_hair/82_green_pigtails.png, Hair, Hair : Green Pigtails, Green Pigtails
3_hair/83_pink_spiky.png, Hair, Hair : Pink Spiky, Pink Spiky
3_hair/84_yellow_ponytail.png, Hair, Hair : Yellow Ponytail, Yellow Ponytail
3_hair/85_pink_punk.png, Hair, Hair : Pink Punk, Pink Punk
3_hair/86_pink_pigtails.png, Hair, Hair : Pink Pigtails, Pink Pigtails
3_hair/87_green_mullet.png, Hair, Hair : Green Mullet, Green Mullet
3_hair/88_green_bob.png, Hair, Hair : Green Bob, Green Bob
3_hair/89_yellow_fringe.png, Hair, Hair : Yellow Fringe, Yellow Fringe
3_hair/90_green_long_bob.png, Hair, Hair : Green Long Bob, Green Long Bob
3_hair/91_green_fringe.png, Hair, Hair : Green Fringe, Green Fringe
3_hair/92_green_buzz_cut.png, Hair, Hair : Green Buzz Cut, Green Buzz Cut
3_hair/93_none.png, Hair, Hair : None,
4_face/0_electric_scar.png, Face, Face : Electric Scar, Electric Scar
4_face/1_scar.png, Face, Face : Scar, Scar
4_face/2_blush.png, Face, Face : Blush, Blush
4_face/3_nose_ring.png, Face, Face : Nose Ring, Nose Ring
4_face/4_none.png, Face, Face : None,
5_mouth/0_upturned_fangs.png, Mouth, Mouth : Upturned Fangs, Upturned Fangs
5_mouth/1_black_kerchief.png, Mouth, Mouth : Black Kerchief, Black Kerchief
5_mouth/2_toothsome.png, Mouth, Mouth : Toothsome, Toothsome
5_mouth/3_blue_kerchief.png, Mouth, Mouth : Blue Kerchief, Blue Kerchief
5_mouth/4_fangs.png, Mouth, Mouth : Fangs, Fangs
5_mouth/5_red_kerchief.png, Mouth, Mouth : Red Kerchief, Red Kerchief
5_mouth/6_smoking.png, Mouth, Mouth : Smoking, Smoking
5_mouth/7_worm.png, Mouth, Mouth : Worm, Worm
5_mouth/8_metal_mask.png, Mouth, Mouth : Metal Mask, Metal Mask
5_mouth/9_creepy.png, Mouth, Mouth : Creepy, Creepy
5_mouth/10_face_mask.png, Mouth, Mouth : Face Mask, Face Mask
5_mouth/11_pink.png, Mouth, Mouth : Pink,
5_mouth/12_red.png, Mouth, Mouth : Red,
5_mouth/13_green.png, Mouth, Mouth : Green,
5_mouth/14_purple.png, Mouth, Mouth : Purple,
5_mouth/15_blue.png, Mouth, Mouth : Blue,
5_mouth/16_neutral.png, Mouth, Mouth : Neutral, Neutral
6_neck/0_punk.png, Neck, Neck : Punk, Punk
6_neck/1_chain.png, Neck, Neck : Chain, Chain
