id, category, name, more_names
0, Head, Cowl, 
1, Head, Horns, 
2, Head, Diamond Tiara, 
3, Head, Pink Antennae, 
4, Head, Orange Tiara, 
5, Head, Purple Antennae, 
6, Head, Yellow Antennae, 
7, Head, Googles, 
8, Head, Blue Tiara, 
9, Head, Green Antennae, 
10, Head, Green Tiara, 
11, Head, Pink Tiara, 
12, Head, Orange Antennae, 
13, Head, Purple Tiara, 
14, Head, Blue Antennae, 
15, Ears, Long Gold, 
16, Ears, Long Purple, 
17, Ears, Long Pink, 
18, Ears, Long Orange, 
19, Ears, Long Green, 
20, Ears, Long Blue, 
21, Ears, Gold Stud, 
22, Ears, Orange Stud, 
23, Ears, Purple Stud, 
24, Ears, Green Stud, 
25, Ears, Pink Stud, 
26, Ears, Blue Stud, 
27, Eyes, Brown Eye Patch, 
28, Eyes, Purple Lazer, 
29, Eyes, Purple Makeup, 
30, Eyes, Monocle, 
31, Eyes, Robot Visor, 
32, Eyes, Robot Prosthetic, 
33, Eyes, Vaporwave Shades, 
34, Eyes, Sunset Shades, 
35, Eyes, Indigo Eye Patch, 
36, Eyes, Sunrise Shades, 
37, Eyes, Red, 
38, Eyes, Neon Shades, 
39, Eyes, Rainbow Shades, 
40, Eyes, Electric Lazer, 
41, Eyes, Rainbow Visor, 
42, Eyes, 3 D Glasses, 
43, Eyes, Green Makeup, 
44, Eyes, Black Shades, 
45, Eyes, White Shades, 
46, Eyes, Pink Makeup, 
47, Eyes, Blue Makeup, 
48, Eyes, Purple Cyclops, 
49, Eyes, Electric, 
50, Eyes, Pink Cyclops, 
51, Eyes, Orange Cyclops, 
52, Eyes, Yellow Cyclops, 
53, Eyes, Green Cyclops, 
54, Eyes, Blue Cyclops, 
55, Eyes, Pink, 
56, Eyes, Green, 
57, Eyes, Purple, 
58, Eyes, Brown, 
59, Eyes, Blue, 
60, Hair, Vaporwave Long Bob, 
61, Hair, Rainbow Punk, 
62, Hair, Vaporwave Punk, 
63, Hair, Purple Buzz Cut, 
64, Hair, Pink Widow Peak, 
65, Hair, Purple Widow Peak, 
66, Hair, Purple Shag, 
67, Hair, Vaporwave Topknot, 
68, Hair, Purple Mullet, 
69, Hair, Pink Short, 
70, Hair, Pink Sleek, 
71, Hair, Pink Shag, 
72, Hair, Blue Widow Peak, 
73, Hair, Pink Ponytail, 
74, Hair, Neon Topknot, 
75, Hair, Purple Sleek, 
76, Hair, Purple Short, 
77, Hair, Pink Mullet, 
78, Hair, Pink Long Bob, 
79, Hair, Purple Fringe, 
80, Hair, Brown Buzz Cut, 
81, Hair, Orange Widow Peak, 
82, Hair, Pink Bob, 
83, Hair, Pink Buzz Cut, 
84, Hair, Pink Fringe, 
85, Hair, Orange Topknot, 
86, Hair, Blue Ponytail, 
87, Hair, Orange Spiky, 
88, Hair, Neon Punk, 
89, Hair, Purple Topknot, 
90, Hair, Blue Shag, 
91, Hair, Orange Sleek, 
92, Hair, Orange Short, 
93, Hair, Orange Punk, 
94, Hair, Orange Shag, 
95, Hair, Orange Ponytail, 
96, Hair, Orange Pigtails, 
97, Hair, Orange Long Bob, 
98, Hair, Orange Mullet, 
99, Hair, Orange Fringe, 
100, Hair, Orange Buzz Cut, 
101, Hair, Orange Bob, 
102, Hair, Yellow Widow Peak, 
103, Hair, Yellow Topknot, 
104, Hair, Purple Spiky, 
105, Hair, Yellow Mullet, 
106, Hair, Purple Long Bob, 
107, Hair, Blue Mullet, 
108, Hair, Neon Long Bob, 
109, Hair, Blue Long Bob, 
110, Hair, Green Shag, 
111, Hair, Black Widow Peak, 
112, Hair, Yellow Buzz Cut, 
113, Hair, Blue Fringe, 
114, Hair, Green Spiky, 
115, Hair, Blue Punk, 
116, Hair, Blue Short, 
117, Hair, Green Widow Peak, 
118, Hair, Yellow Bob, 
119, Hair, Blue Bob, 
120, Hair, Blond Punk, 
121, Hair, Green Topknot, 
122, Hair, Blue Spiky, 
123, Hair, Purple Punk, 
124, Hair, Purple Ponytail, 
125, Hair, Purple Pigtails, 
126, Hair, Yellow Sleek, 
127, Hair, Yellow Short, 
128, Hair, Blue Pigtails, 
129, Hair, Green Sleek, 
130, Hair, Yellow Long Bob, 
131, Hair, Green Short, 
132, Hair, Purple Bob, 
133, Hair, Yellow Spiky, 
134, Hair, Yellow Shag, 
135, Hair, Blue Topknot, 
136, Hair, Green Punk, 
137, Hair, Blue Sleek, 
138, Hair, Yellow Pigtails, 
139, Hair, Blue Buzz Cut, 
140, Hair, Green Ponytail, 
141, Hair, Pink Topknot, 
142, Hair, Green Pigtails, 
143, Hair, Pink Spiky, 
144, Hair, Yellow Ponytail, 
145, Hair, Pink Punk, 
146, Hair, Pink Pigtails, 
147, Hair, Green Mullet, 
148, Hair, Green Bob, 
149, Hair, Yellow Fringe, 
150, Hair, Green Long Bob, 
151, Hair, Green Fringe, 
152, Hair, Green Buzz Cut, 
153, Face, Electric Scar, 
154, Face, Scar, 
155, Face, Blush, 
156, Face, Nose Ring, 
157, Mouth, Upturned Fangs, 
158, Mouth, Black Kerchief, 
159, Mouth, Toothsome, 
160, Mouth, Blue Kerchief, 
161, Mouth, Fangs, 
162, Mouth, Red Kerchief, 
163, Mouth, Smoking, 
164, Mouth, Worm, 
165, Mouth, Metal Mask, 
166, Mouth, Creepy, 
167, Mouth, Face Mask, 
168, Mouth, Mouth Pink, Pink Mouth
