path, category, name, more_names
0_headwear__11s/0_ghost_11.png, Headwear & 1/1s, Headwear & 1/1s : Ghost 1/1, Ghost 1/1
0_headwear__11s/1_mutant_11.png, Headwear & 1/1s, Headwear & 1/1s : Mutant 1/1, Mutant 1/1
0_headwear__11s/2_hunter_11.png, Headwear & 1/1s, Headwear & 1/1s : Hunter 1/1, Hunter 1/1
0_headwear__11s/3_candy_11.png, Headwear & 1/1s, Headwear & 1/1s : Candy 1/1, Candy 1/1
0_headwear__11s/4_waikiki_11.png, Headwear & 1/1s, Headwear & 1/1s : Waikiki 1/1, Waikiki 1/1
0_headwear__11s/5_chichi_phunk.png, Headwear & 1/1s, Headwear & 1/1s : Chichi Phunk, Chichi Phunk
0_headwear__11s/6_kalo_leaves.png, Headwear & 1/1s, Headwear & 1/1s : Kalo Leaves, Kalo Leaves
0_headwear__11s/7_volcano.png, Headwear & 1/1s, Headwear & 1/1s : Volcano, Volcano
0_headwear__11s/8_ny.png, Headwear & 1/1s, Headwear & 1/1s : NY, NY
0_headwear__11s/9_boba_tea.png, Headwear & 1/1s, Headwear & 1/1s : Boba Tea, Boba Tea
0_headwear__11s/10_pigtails.png, Headwear & 1/1s, Headwear & 1/1s : Pigtails, Pigtails
0_headwear__11s/11_grad_cap.png, Headwear & 1/1s, Headwear & 1/1s : Grad Cap, Grad Cap
0_headwear__11s/12_bun.png, Headwear & 1/1s, Headwear & 1/1s : Bun, Bun
0_headwear__11s/13_emo.png, Headwear & 1/1s, Headwear & 1/1s : Emo, Emo
0_headwear__11s/14_uh_hat.png, Headwear & 1/1s, Headwear & 1/1s : UH Hat, UH Hat
0_headwear__11s/15_beanie.png, Headwear & 1/1s, Headwear & 1/1s : Beanie, Beanie
0_headwear__11s/16_headphones.png, Headwear & 1/1s, Headwear & 1/1s : Headphones, Headphones
0_headwear__11s/17_fedora.png, Headwear & 1/1s, Headwear & 1/1s : Fedora, Fedora
0_headwear__11s/18_black_mullet.png, Headwear & 1/1s, Headwear & 1/1s : Black Mullet, Black Mullet
