id, category, name, more_names
0, Headwear & 1/1s, Headwear & 1/1s : Ghost 1/1, Ghost 1/1
1, Headwear & 1/1s, Headwear & 1/1s : Mutant 1/1, Mutant 1/1
2, Headwear & 1/1s, Headwear & 1/1s : Hunter 1/1, Hunter 1/1
3, Headwear & 1/1s, Headwear & 1/1s : Candy 1/1, Candy 1/1
4, Headwear & 1/1s, Headwear & 1/1s : Waikiki 1/1, Waikiki 1/1
5, Headwear & 1/1s, Headwear & 1/1s : Chichi Phunk, Chichi Phunk
6, Headwear & 1/1s, Headwear & 1/1s : Kalo Leaves, Kalo Leaves
7, Headwear & 1/1s, Headwear & 1/1s : Volcano, Volcano
8, Headwear & 1/1s, Headwear & 1/1s : NY, NY
9, Headwear & 1/1s, Headwear & 1/1s : Boba Tea, Boba Tea
10, Headwear & 1/1s, Headwear & 1/1s : Pigtails, Pigtails
11, Headwear & 1/1s, Headwear & 1/1s : Grad Cap, Grad Cap
12, Headwear & 1/1s, Headwear & 1/1s : Bun, Bun
13, Headwear & 1/1s, Headwear & 1/1s : Emo, Emo
14, Headwear & 1/1s, Headwear & 1/1s : UH Hat, UH Hat
15, Headwear & 1/1s, Headwear & 1/1s : Beanie, Beanie
16, Headwear & 1/1s, Headwear & 1/1s : Headphones, Headphones
17, Headwear & 1/1s, Headwear & 1/1s : Fedora, Fedora
18, Headwear & 1/1s, Headwear & 1/1s : Black Mullet, Black Mullet
19, Headwear & 1/1s, Headwear & 1/1s : Halo, Halo
20, Headwear & 1/1s, Headwear & 1/1s : Rainbow, Rainbow
21, Headwear & 1/1s, Headwear & 1/1s : Mohawk, Mohawk
22, Headwear & 1/1s, Headwear & 1/1s : Haku Lei, Haku Lei
23, Headwear & 1/1s, Headwear & 1/1s : Mullet, Mullet
24, Headwear & 1/1s, Headwear & 1/1s : Pineapple, Pineapple
25, Headwear & 1/1s, Headwear & 1/1s : Shave Ice, Shave Ice
26, Headwear & 1/1s, Headwear & 1/1s : Bald, Bald
27, Eyes, Eyes : Blank 4, Blank 4
28, Eyes, Eyes : Lazer, Lazer
29, Eyes, Eyes : Horn Rim, Horn Rim
30, Eyes, Eyes : Blaze, Blaze
31, Eyes, Eyes : Athletic, Athletic
32, Eyes, Eyes : Aviators, Aviators
33, Eyes, Eyes : Cobain, Cobain
34, Eyes, Eyes : Sports, Sports
35, Eyes, Eyes : xx, xx
36, Eyes, Eyes : Fiesty, Fiesty
37, Eyes, Eyes : Sleepy, Sleepy
38, Eyes, Eyes : Heart Eyes, Heart Eyes
39, Eyes, Eyes : Curious, Curious
40, Eyes, Eyes : Cute, Cute
41, Mouth, Mouth : Blank 3, Blank 3
42, Mouth, Mouth : Musubi, Musubi
43, Mouth, Mouth : Banana, Banana
44, Mouth, Mouth : Cbd Cig, Cbd Cig
45, Mouth, Mouth : Teeth Out, Teeth Out
46, Mouth, Mouth : Bone, Bone
47, Mouth, Mouth : Rainbow Puke, Rainbow Puke
48, Mouth, Mouth : Mustachio, Mustachio
49, Mouth, Mouth : Tongue Out, Tongue Out
50, Mouth, Mouth : Smile, Smile
51, Accessories, Accessories : Blank 2, Blank 2
52, Accessories, Accessories : Backpack, Backpack
53, Accessories, Accessories : Surfboard, Surfboard
54, Accessories, Accessories : Spike Collar, Spike Collar
55, Accessories, Accessories : Diamond Earrings, Diamond Earrings
56, Accessories, Accessories : Earrings, Earrings
57, Accessories, Accessories : Lightning Bolt Earrings, Lightning Bolt Earrings
58, Accessories, Accessories : Gold Chain, Gold Chain
59, Accessories, Accessories : Lei, Lei
60, Accessories, Accessories : Simple Day, Simple Day
61, Wearables, Wearables : Blank 1, Blank 1
62, Wearables, Wearables : Angel Wings, Angel Wings
63, Wearables, Wearables : Suit, Suit
64, Wearables, Wearables : Tattoo, Tattoo
65, Wearables, Wearables : Faded Black Shirt, Faded Black Shirt
66, Wearables, Wearables : Jersey, Jersey
67, Wearables, Wearables : Stripes, Stripes
68, Wearables, Wearables : Tank Top, Tank Top
69, Wearables, Wearables : Camo Tshirt, Camo Tshirt
70, Wearables, Wearables : Aloha Shirt, Aloha Shirt
71, Wearables, Wearables : Au Naturel, Au Naturel
72, Fur, Fur : Blank 5, Blank 5
73, Fur, Fur : Gold, Gold
74, Fur, Fur : Green, Green
75, Fur, Fur : Deep Teal, Deep Teal
76, Fur, Fur : Dark Brown, Dark Brown
77, Fur, Fur : Magenta, Magenta
78, Fur, Fur : Teal, Teal
79, Fur, Fur : Pink, Pink
80, Fur, Fur : Silver, Silver
81, Fur, Fur : Grey, Grey
82, Fur, Fur : Tan, Tan
83, Background, Background : Blank 6, Blank 6
84, Background, Background : Vortex, Vortex
85, Background, Background : Starry Night, Starry Night
86, Background, Background : Cruise Ship, Cruise Ship
87, Background, Background : Wave, Wave
88, Background, Background : Palms, Palms
89, Background, Background : Sunset, Sunset
90, Background, Background : Morning Glow, Morning Glow
91, Background, Background : Straw, Straw
92, Background, Background : Papaya, Papaya
93, Background, Background : Wai, Wai
