id, category, name, more_names
0, Earring, Earring : BANANA, BANANA
1, Earring, Earring : GOLDEN, GOLDEN
2, Earring, Earring : DIAMOND, DIAMOND
3, Earring, Earring : GOLD CROSS, GOLD CROSS
4, Earring, Earring : DIAMOND CROSS, DIAMOND CROSS
5, Glasses, Glasses : VR RAINBOW, VR RAINBOW
6, Glasses, Glasses : PURPLE EYE SHADOW, PURPLE EYE SHADOW
7, Glasses, Glasses : CLOWN EYES BLUE, CLOWN EYES BLUE
8, Glasses, Glasses : CLASSIC SHADES, CLASSIC SHADES
9, Glasses, Glasses : NERD GLASSES, NERD GLASSES
10, Glasses, Glasses : 3D, 3D
11, Glasses, Glasses : STUNNAS, STUNNAS
12, Glasses, Glasses : BIG SHADES, BIG SHADES
13, Glasses, Glasses : VR, VR
14, Glasses, Glasses : CHOPPER, 
15, Mouth, Mouth : SMOKER, SMOKER
16, Mouth, Mouth : NON-SMOKER, NON-SMOKER
17, Hat, Hat : RAINBOW, 
18, Hat, Hat : HAT 36, HAT 36
19, Hat, Hat : PILOT, PILOT
20, Hat, Hat : HOODIE, HOODIE
21, Hat, Hat : HAT 29, HAT 29
22, Hat, Hat : BEANIE, BEANIE
23, Hat, Hat : TASSLE, TASSLE
24, Hat, Hat : HAT 12, HAT 12
25, Hat, Hat : KNITTED CAP, KNITTED CAP
26, Hat, Hat : PINK CAP, PINK CAP
27, Hat, Hat : HAT 20, HAT 20
28, Hat, Hat : HAT 2, HAT 2
29, Hat, Hat : HEADBAND, HEADBAND
30, Hat, Hat : HAT 17, HAT 17
31, Hat, Hat : HAT 1, HAT 1
32, Hat, Hat : WILD BLONDE, WILD BLONDE
33, Hat, Hat : CAP, CAP
34, Hat, Hat : HAT 8, HAT 8
35, Hat, Hat : HAT 22, HAT 22
36, Hat, Hat : WILD WHITE, WILD WHITE
37, Hat, Hat : HAT 30, HAT 30
38, Hat, Hat : HAT 26, HAT 26
39, Hat, Hat : HAT 16, HAT 16
40, Hat, Hat : HAT 10, HAT 10
41, Hat, Hat : CHOPPER, 
42, Skin, Skin : RAINBOW, RAINBOW
43, Skin, Skin : OCK, OCK
44, Skin, Skin : ZOMBIE, ZOMBIE
45, Skin, Skin : GOLD, GOLD
46, Skin, Skin : ALI3N, ALI3N
47, Skin, Skin : ALIEN, ALIEN
48, Skin, Skin : ATOMIC, ATOMIC
49, Skin, Skin : ZOMBI3, ZOMBI3
50, Skin, Skin : AQUA, AQUA
51, Skin, Skin : MIDNIGHT, MIDNIGHT
52, Skin, Skin : PORCELAIN, PORCELAIN
53, Skin, Skin : COFFEE, COFFEE
54, Skin, Skin : AP3, AP3
55, Skin, Skin : CHOPP3R, CHOPP3R
56, Background, Background : PURPLE, SOLID PURPLE
57, Background, Background : MINT, SOLID MINT
58, Background, Background : PEACH, SOLID PEACH
59, Background, Background : BLUE, SOLID BLUE
60, Background, Background : GOLD, SOLID GOLD
61, Background, Background : BLACK, SOLID BLACK
