slug, format, count, config
nfl, 23x23, , https://github.com/pixelartexchange/artfactory.sandbox/raw/master/nfl/collection.yml
aliensvspunks, 24x24, , https://github.com/pixelartexchange/artfactory.sandbox/raw/master/aliensvspunks/collection.yml
chopper, 24x24, , https://github.com/pixelartexchange/artfactory.sandbox/raw/master/chopper/collection.yml
dankpunks, 24x24, , https://github.com/pixelartexchange/artfactory.sandbox/raw/master/dankpunks/collection.yml
edgepunks, 24x24, , https://github.com/pixelartexchange/artfactory.sandbox/raw/master/edgepunks/collection.yml
fuks, 24x24, , https://github.com/pixelartexchange/artfactory.sandbox/raw/master/fuks/collection.yml
inversepunks, 24x24, , https://github.com/pixelartexchange/artfactory.sandbox/raw/master/inversepunks/collection.yml
marcs, 24x24, , https://github.com/pixelartexchange/artfactory.sandbox/raw/master/marcs/collection.yml
nomads, 24x24, , https://github.com/pixelartexchange/artfactory.sandbox/raw/master/nomads/collection.yml
phunkapeorigins, 24x24, , https://github.com/pixelartexchange/artfactory.sandbox/raw/master/phunkapeorigins/collection.yml
punkapesyachtclub, 24x24, , https://github.com/pixelartexchange/artfactory.sandbox/raw/master/punkapesyachtclub/collection.yml
punkinspicies, 24x24, , https://github.com/pixelartexchange/artfactory.sandbox/raw/master/punkinspicies/collection.yml
chichis, 32x32, , https://github.com/pixelartexchange/artfactory.sandbox/raw/master/chichis/collection.yml
madcamels, 32x32, , https://github.com/pixelartexchange/artfactory.sandbox/raw/master/madcamels/collection.yml
proofofpepe, 48x48, , https://github.com/pixelartexchange/artfactory.sandbox/raw/master/proofofpepe/collection.yml
