index, dist, name, type, hide
0/0, 2, Sceleton, image/png, false
0/1, 2, Marcs Sceleton, image/png, false
0/2, 2, OCK Sceleton Laser, image/png, false
0/3, 2, Golden Phunk, image/png, false
0/4, 2, Golden Marcs Sceleton, image/png, false
0/5, 2, Golden Phunk Cowboy, image/png, false
0/6, 987, None, image/png, false
1/0, 36, Earpiece, image/png, false
1/1, 39, Pipe Animated, image/gif, false
1/2, 52, Cigarette, image/gif, false
1/3, 78, Clown Nose, image/png, false
1/4, 88, Vape Animated, image/gif, false
1/5, 91, Jay Z, image/png, false
1/6, 93, Earring, image/png, false
1/7, 97, Black Scarf, image/png, false
1/8, 190, Black Chain, image/png, false
1/9, 235, None, image/png, false
2/0, 20, Disco Beard, image/gif, false
2/1, 22, Joker, image/png, false
2/2, 25, Shout, image/png, false
2/3, 27, Talk, image/gif, false
2/4, 32, Low Beard, image/png, false
2/5, 39, Dark Beard, image/png, false
2/6, 44, Buck Teeth, image/png, false
2/7, 45, Mustache, image/png, false
2/8, 57, Black Beard, image/png, false
2/9, 58, Handlebar, image/png, false
2/10, 82, Smirk, image/png, false
2/11, 97, None, image/png, false
2/12, 102, Sad, image/png, false
2/13, 162, Red, image/png, false
2/14, 187, Ok, image/png, false
3/0, 22, VR, image/png, false
3/1, 30, Eyemask Red Eyes, image/png, false
3/2, 43, 3 D Glasses, image/png, false
3/3, 47, Big Shades, image/png, false
3/4, 58, Golden Glasses, image/gif, false
3/5, 65, Green Glasses, image/png, false
3/6, 96, Pirate, image/png, false
3/7, 97, Matrix Shades, image/png, false
3/8, 142, Dark Clown, image/png, false
3/9, 184, Green Clown, image/png, false
3/10, 215, None, image/png, false
4/0, 18, Hoodie, image/png, false
4/1, 20, Black Top Hat, image/png, false
4/2, 21, Black Cowboy, image/png, false
4/3, 24, Bandana, image/png, false
4/4, 26, Beanie Animated, image/gif, false
4/5, 31, Fancy Headband, image/png, false
4/6, 31, Pink Bandana, image/gif, false
4/7, 48, Black Wicked, image/png, false
4/8, 52, Red Punk, image/png, false
4/9, 54, Punk Black, image/png, false
4/10, 54, Black Fedora, image/png, false
4/11, 57, Black Mohawk, image/png, false
4/12, 57, Black Hair, image/png, false
4/13, 69, Headband, image/png, false
4/14, 83, Black Knitted Hat, image/png, false
4/15, 84, Black Stringy, image/png, false
4/16, 84, Clown Orange, image/png, false
4/17, 90, Red Clown Hair, image/png, false
4/18, 96, None, image/png, false
5/0, 308, Clown Nose, image/png, false
5/1, 691, None, image/png, false
6/0, 14, Alien, image/png, false
6/1, 30, Ape, image/png, false
6/2, 40, Zombie, image/png, false
6/3, 160, Undead, image/png, false
6/4, 192, Skin, image/png, false
6/5, 232, Tan, image/png, false
6/6, 331, Pale, image/png, false
7/0, 100, Zen Garden, image/png, false
7/1, 108, Night Vibe, image/png, false
7/2, 125, Contrast, image/png, false
7/3, 200, Copacabana, image/png, false
7/4, 217, Dystopia, image/png, false
7/5, 249, Red Light District, image/png, false
