id, category, name, more_names
0, Honorary, Honorary : Sceleton, Sceleton
1, Honorary, Honorary : Marcs Sceleton, Marcs Sceleton
2, Honorary, Honorary : OCK Sceleton Laser, OCK Sceleton Laser
3, Honorary, Honorary : Golden Phunk, Golden Phunk
4, Honorary, Honorary : Golden Marcs Sceleton, Golden Marcs Sceleton
5, Honorary, Honorary : Golden Phunk Cowboy, Golden Phunk Cowboy
6, Honorary, Honorary : None, 
7, Accessories, Accessories : Earpiece, Earpiece
8, Accessories, Accessories : Pipe Animated, Pipe Animated
9, Accessories, Accessories : Cigarette, Cigarette
10, Accessories, Accessories : Clown Nose, Clown Nose (2)
11, Accessories, Accessories : Vape Animated, Vape Animated
12, Accessories, Accessories : Jay Z, Jay Z
13, Accessories, Accessories : Earring, Earring
14, Accessories, Accessories : Black Scarf, Black Scarf
15, Accessories, Accessories : Black Chain, Black Chain
16, Accessories, Accessories : None, 
17, Mouth, Mouth : Disco Beard, Disco Beard
18, Mouth, Mouth : Joker, Joker
19, Mouth, Mouth : Shout, Shout
20, Mouth, Mouth : Talk, Talk
21, Mouth, Mouth : Low Beard, Low Beard
22, Mouth, Mouth : Dark Beard, Dark Beard
23, Mouth, Mouth : Buck Teeth, Buck Teeth
24, Mouth, Mouth : Mustache, Mustache
25, Mouth, Mouth : Black Beard, Black Beard
26, Mouth, Mouth : Handlebar, Handlebar
27, Mouth, Mouth : Smirk, Smirk
28, Mouth, Mouth : None, 
29, Mouth, Mouth : Sad, Sad
30, Mouth, Mouth : Red, Red
31, Mouth, Mouth : Ok, Ok
32, Eyes, Eyes : VR, VR
33, Eyes, Eyes : Eyemask Red Eyes, Eyemask Red Eyes
34, Eyes, Eyes : 3 D Glasses, 3 D Glasses
35, Eyes, Eyes : Big Shades, Big Shades
36, Eyes, Eyes : Golden Glasses, Golden Glasses
37, Eyes, Eyes : Green Glasses, Green Glasses
38, Eyes, Eyes : Pirate, Pirate
39, Eyes, Eyes : Matrix Shades, Matrix Shades
40, Eyes, Eyes : Dark Clown, Dark Clown
41, Eyes, Eyes : Green Clown, Green Clown
42, Eyes, Eyes : None, 
43, Hats and Hair, Hats and Hair : Hoodie, Hoodie
44, Hats and Hair, Hats and Hair : Black Top Hat, Black Top Hat
45, Hats and Hair, Hats and Hair : Black Cowboy, Black Cowboy
46, Hats and Hair, Hats and Hair : Bandana, Bandana
47, Hats and Hair, Hats and Hair : Beanie Animated, Beanie Animated
48, Hats and Hair, Hats and Hair : Fancy Headband, Fancy Headband
49, Hats and Hair, Hats and Hair : Pink Bandana, Pink Bandana
50, Hats and Hair, Hats and Hair : Black Wicked, Black Wicked
51, Hats and Hair, Hats and Hair : Red Punk, Red Punk
52, Hats and Hair, Hats and Hair : Punk Black, Punk Black
53, Hats and Hair, Hats and Hair : Black Fedora, Black Fedora
54, Hats and Hair, Hats and Hair : Black Mohawk, Black Mohawk
55, Hats and Hair, Hats and Hair : Black Hair, Black Hair
56, Hats and Hair, Hats and Hair : Headband, Headband
57, Hats and Hair, Hats and Hair : Black Knitted Hat, Black Knitted Hat
58, Hats and Hair, Hats and Hair : Black Stringy, Black Stringy
59, Hats and Hair, Hats and Hair : Clown Orange, Clown Orange
60, Hats and Hair, Hats and Hair : Red Clown Hair, Red Clown Hair
61, Hats and Hair, Hats and Hair : None, 
62, Nose, Nose : Clown Nose, Clown Nose
63, Nose, Nose : None, 
64, Body, Body : Alien, Alien
65, Body, Body : Ape, Ape
66, Body, Body : Zombie, Zombie
67, Body, Body : Undead, Undead
68, Body, Body : Skin, Skin
69, Body, Body : Tan, Tan
70, Body, Body : Pale, Pale
71, Background, Background : Zen Garden, Zen Garden
72, Background, Background : Night Vibe, Night Vibe
73, Background, Background : Contrast, Contrast
74, Background, Background : Copacabana, Copacabana
75, Background, Background : Dystopia, Dystopia
76, Background, Background : Red Light District, Red Light District
