path, category, name, more_names
0_11/0_aku-punku.png, 1/1, 1/1 : Aku-Punku, Aku-Punku
0_11/1_devil_punk_ape.png, 1/1, 1/1 : Devil Punk Ape, Devil Punk Ape
0_11/2_onedgekevin.png, 1/1, 1/1 : OnEdgeKevin, OnEdgeKevin
0_11/3_goated_demon.png, 1/1, 1/1 : Goated Demon, Goated Demon
0_11/4_masked_hoodie.png, 1/1, 1/1 : Masked Hoodie, Masked Hoodie
0_11/5_baphomet.png, 1/1, 1/1 : Baphomet, Baphomet
0_11/6_lavey_punk.png, 1/1, 1/1 : LaVey Punk, LaVey Punk
0_11/7_demingo.png, 1/1, 1/1 : Demingo, Demingo
0_11/8_dark_acolyte_of_the_northern_wastes.png, 1/1, 1/1 : Dark Acolyte of the Northern Wastes, Dark Acolyte of the Northern Wastes
0_11/9_marina_abramovic.png, 1/1, 1/1 : Marina Abramovic, Marina Abramovic
0_11/10_slender_punk.png, 1/1, 1/1 : Slender Punk, Slender Punk
0_11/11_illuminati_bill.png, 1/1, 1/1 : Illuminati Bill, Illuminati Bill
0_11/12_the_eyes.png, 1/1, 1/1 : The Eyes, The Eyes
0_11/13_the_apprentice.png, 1/1, 1/1 : The Apprentice, The Apprentice
0_11/14_jason_punk.png, 1/1, 1/1 : Jason Punk, Jason Punk
0_11/15_medusa_punk.png, 1/1, 1/1 : Medusa Punk, Medusa Punk
0_11/16_the_darkest_punk.png, 1/1, 1/1 : The Darkest Punk, The Darkest Punk
0_11/17_keksune.png, 1/1, 1/1 : Keksune, Keksune
0_11/18_anatomy_of_an_icon.png, 1/1, 1/1 : Anatomy Of An Icon, Anatomy Of An Icon
0_11/19_none.png, 1/1, 1/1 : None,
1_eyes/0_11_blank.png, Eyes, Eyes : 1/1 Blank,
1_eyes/1_hollow.png, Eyes, Eyes : Hollow, Hollow
1_eyes/2_tentacle_eye.png, Eyes, Eyes : Tentacle Eye, Tentacle Eye
1_eyes/3_laser_eyes.png, Eyes, Eyes : Laser Eyes, Laser Eyes
1_eyes/4_white_glasses.png, Eyes, Eyes : White Glasses, White Glasses
1_eyes/5_big_glasses.png, Eyes, Eyes : Big Glasses, Big Glasses
1_eyes/6_holy_eyes.png, Eyes, Eyes : Holy Eyes, Holy Eyes
1_eyes/7_cyclops.png, Eyes, Eyes : Cyclops, Cyclops
1_eyes/8_dark_shades.png, Eyes, Eyes : Dark Shades, Dark Shades
1_eyes/9_cracked_glasses.png, Eyes, Eyes : Cracked Glasses, Cracked Glasses
1_eyes/10_3_d_glasses.png, Eyes, Eyes : 3 D Glasses, 3 D Glasses
1_eyes/11_skull_mask.png, Eyes, Eyes : Skull Mask, Skull Mask
1_eyes/12_open_sockets.png, Eyes, Eyes : Open Sockets, Open Sockets
1_eyes/13_eye_mask.png, Eyes, Eyes : Eye Mask, Eye Mask
1_eyes/14_dark_shades.png, Eyes, Eyes : Dark Shades (2), Dark Shades (2)
1_eyes/15_flame_eyes.png, Eyes, Eyes : Flame Eyes, Flame Eyes
1_eyes/16_clown_eyes.png, Eyes, Eyes : Clown Eyes, Clown Eyes
1_eyes/17_earring.png, Eyes, Eyes : Earring, Earring
1_eyes/18_monk.png, Eyes, Eyes : Monk, Monk
1_eyes/19_lizard_eyes.png, Eyes, Eyes : Lizard Eyes, Lizard Eyes
1_eyes/20_eyes.png, Eyes, Eyes : Eyes, Eyes
2_hat/0_11_blank.png, Hat, Hat : 1/1 Blank,
2_hat/1_dark_hoodie.png, Hat, Hat : Dark Hoodie, Dark Hoodie
2_hat/2_small_skull.png, Hat, Hat : Small Skull, Small Skull
2_hat/3_wizard_hat.png, Hat, Hat : Wizard Hat, Wizard Hat
2_hat/4_dark_pyramid.png, Hat, Hat : Dark Pyramid, Dark Pyramid
2_hat/5_welding_goggles.png, Hat, Hat : Welding Goggles, Welding Goggles
2_hat/6_soulfire_candles.png, Hat, Hat : Soulfire Candles, Soulfire Candles
2_hat/7_edge_wizard_hat.png, Hat, Hat : Edge Wizard Hat, Edge Wizard Hat
2_hat/8_beanie.png, Hat, Hat : Beanie, Beanie
2_hat/9_red_spiked_hair.png, Hat, Hat : Red Spiked Hair, Red Spiked Hair
2_hat/10_red_hair.png, Hat, Hat : Red Hair, Red Hair
2_hat/11_red_bandana.png, Hat, Hat : Red Bandana, Red Bandana
2_hat/12_brain.png, Hat, Hat : Brain, Brain
2_hat/13_dark_cowboy.png, Hat, Hat : Dark Cowboy, Dark Cowboy
2_hat/14_cap.png, Hat, Hat : Cap, Cap
2_hat/15_crescent_moon.png, Hat, Hat : Crescent Moon, Crescent Moon
2_hat/16_dark_hair.png, Hat, Hat : Dark Hair, Dark Hair
2_hat/17_none.png, Hat, Hat : None,
2_hat/18_vampire_hair.png, Hat, Hat : Vampire Hair, Vampire Hair
2_hat/19_scales.png, Hat, Hat : Scales, Scales
2_hat/20_scar.png, Hat, Hat : Scar, Scar
2_hat/21_pyramid.png, Hat, Hat : Pyramid, Pyramid
2_hat/22_big_horns.png, Hat, Hat : Big Horns, Big Horns
2_hat/23_mohawk.png, Hat, Hat : Mohawk, Mohawk
2_hat/24_small_horns.png, Hat, Hat : Small Horns, Small Horns
2_hat/25_bat.png, Hat, Hat : Bat, Bat
2_hat/26_messy_hair.png, Hat, Hat : Messy Hair, Messy Hair
3_mouth/0_11_blank.png, Mouth, Mouth : 1/1 Blank,
3_mouth/1_tentacle_mouth.png, Mouth, Mouth : Tentacle Mouth, Tentacle Mouth
3_mouth/2_fire_breath.png, Mouth, Mouth : Fire Breath, Fire Breath
3_mouth/3_pipe.png, Mouth, Mouth : Pipe, Pipe
3_mouth/4_toxic_puke.png, Mouth, Mouth : Toxic Puke, Toxic Puke
3_mouth/5_bloody_mouth.png, Mouth, Mouth : Bloody Mouth, Bloody Mouth
3_mouth/6_cigar.png, Mouth, Mouth : Cigar, Cigar
