id, category, name, more_names
0, 1/1, Aku-Punku, 
1, 1/1, Devil Punk Ape, 
2, 1/1, OnEdgeKevin, 
3, 1/1, Goated Demon, 
4, 1/1, Masked Hoodie, 
5, 1/1, Baphomet, 
6, 1/1, LaVey Punk, 
7, 1/1, Demingo, 
8, 1/1, Dark Acolyte of the Northern Wastes, 
9, 1/1, Marina Abramovic, 
10, 1/1, Slender Punk, 
11, 1/1, Illuminati Bill, 
12, 1/1, The Eyes, 
13, 1/1, The Apprentice, 
14, 1/1, Jason Punk, 
15, 1/1, Medusa Punk, 
16, 1/1, The Darkest Punk, 
17, 1/1, Keksune, 
18, 1/1, Anatomy Of An Icon, 
19, Eyes, Hollow, 
20, Eyes, Tentacle Eye, 
21, Eyes, Laser Eyes, 
22, Eyes, White Glasses, 
23, Eyes, Big Glasses, 
24, Eyes, Holy Eyes, 
25, Eyes, Cyclops, 
26, Eyes, Dark Shades, 
27, Eyes, Cracked Glasses, 
28, Eyes, 3 D Glasses, 
29, Eyes, Skull Mask, 
30, Eyes, Open Sockets, 
31, Eyes, Eye Mask, 
32, Eyes, Flame Eyes, 
33, Eyes, Clown Eyes, 
34, Eyes, Earring, 
35, Eyes, Monk, 
36, Eyes, Lizard Eyes, 
37, Eyes, Eyes, 
38, Hat, Dark Hoodie, 
39, Hat, Small Skull, 
40, Hat, Wizard Hat, 
41, Hat, Dark Pyramid, 
42, Hat, Welding Goggles, 
43, Hat, Soulfire Candles, 
44, Hat, Edge Wizard Hat, 
45, Hat, Beanie, 
46, Hat, Red Spiked Hair, 
47, Hat, Red Hair, 
48, Hat, Red Bandana, 
49, Hat, Brain, 
50, Hat, Dark Cowboy, 
51, Hat, Cap, 
52, Hat, Crescent Moon, 
53, Hat, Dark Hair, 
54, Hat, Vampire Hair, 
55, Hat, Scales, 
56, Hat, Scar, 
57, Hat, Pyramid, 
58, Hat, Big Horns, 
59, Hat, Mohawk, 
60, Hat, Small Horns, 
61, Hat, Bat, 
62, Hat, Messy Hair, 
63, Mouth, Tentacle Mouth, 
64, Mouth, Fire Breath, 
65, Mouth, Pipe, 
66, Mouth, Toxic Puke, 
67, Mouth, Bloody Mouth, 
68, Mouth, Cigar, 
69, Mouth, Shadow Beard, 
70, Mouth, Cracked Teeth, 
71, Mouth, Small Fangs, 
72, Mouth, Leather Mask, 
73, Mouth, Dark Beard, 
74, Mouth, Brown Beard, 
75, Mouth, Brown Chinstrap, 
76, Mouth, Teeth, 
77, Mouth, Monster Mouth, 
78, Mouth, Smile, 
79, Mouth, Regular, 
80, Clothes, Poison, 
81, Clothes, Crystal Ball, 
82, Clothes, Enhancement Book, 
83, Clothes, Tentacle, 
84, Clothes, Trimmed Robe, 
85, Clothes, Bloody, 
86, Clothes, Dark Fire, 
87, Clothes, Angel Wings, 
88, Clothes, Dark Suit, 
89, Clothes, Purple Robes, 
90, Clothes, Dark Wings, 
91, Clothes, Fire Robes, 
92, Clothes, Moss Robes, 
93, Clothes, Dark Robe, 
94, Body, Alien, 
95, Body, Ape, 
96, Body, Red Dragon, 
97, Body, Green Lizard, 
98, Body, Cave Lizard, 
99, Body, Brown Lizard, 
100, Body, Dark Green Lizard, 
101, Body, Purple Dragon, 
102, Body, Dark Dragon, 
103, Body, Whited Body, 
104, Body, Purple Body, 
105, Body, Orange Dragon, 
106, Body, Grey Body, 
107, Background, Red, 
108, Background, Purple, 
109, Background, Pink, 
