id, category, name, more_names
0, Neck, Neck : Diamond Chain, Diamond Chain
1, Neck, Neck : Gold Chain, Gold Chain
2, Neck, Neck : Silver Chain, Silver Chain
3, Neck, Neck : No Chains, No Chains
4, Ear, Ear : Diamond Stud, Diamond Stud
5, Ear, Ear : Gold Stud, Gold Stud
6, Ear, Ear : Silver Stud, Silver Stud
7, Ear, Ear : No Earrings, No Earrings
8, Eyes, Eyes : Horn Rimmed Glasses, Horn Rimmed Glasses
9, Eyes, Eyes : Nerd Glasses, Nerd Glasses
10, Eyes, Eyes : 3 D Glasses, 3 D Glasses
11, Eyes, Eyes : Eye Mask, Eye Mask
12, Eyes, Eyes : Big Shades, Big Shades
13, Eyes, Eyes : Goggles, Goggles
14, Eyes, Eyes : Blue Clown Eyes, Blue Clown Eyes
15, Eyes, Eyes : Laser, Laser
16, Eyes, Eyes : Regular Shades, Regular Shades
17, Eyes, Eyes : Eye Patch, Eye Patch
18, Eyes, Eyes : VR, VR
19, Eyes, Eyes : Classic Shades, Classic Shades
20, Eyes, Eyes : Green Clown Eyes, Green Clown Eyes
21, Eyes, Eyes : Eyes, Eyes
22, Mouth, Mouth : Pipe, Pipe
23, Mouth, Mouth : Vape, Vape
24, Mouth, Mouth : Cigar, Cigar
25, Mouth, Mouth : Cigarette, Cigarette
26, Mouth, Mouth : Smile, Smile
27, Mouth, Mouth : Grin, Grin
28, Nose, Nose : Clown Nose, Clown Nose
29, Nose, Nose : Nose, Nose
30, Head, Head : Beanie, Beanie
31, Head, Head : Mohawk Dark, Mohawk Dark
32, Head, Head : Police Cap, Police Cap
33, Head, Head : Cowboy Hat, Cowboy Hat
34, Head, Head : Clown Top Hat, Clown Top Hat
35, Head, Head : Helmet, Helmet
36, Head, Head : Fast Food Cap, Fast Food Cap
37, Head, Head : Knitted Cap, Knitted Cap
38, Head, Head : Stringy Hair, Stringy Hair
39, Head, Head : Crown, Crown
40, Head, Head : Cap, Cap
41, Head, Head : Mohawk Thin, Mohawk Thin
42, Head, Head : Spiky Hair, Spiky Hair
43, Head, Head : Headband, Headband
44, Head, Head : Cap Forward, Cap Forward
45, Head, Head : Fedora, Fedora
46, Head, Head : Purple Hair, Purple Hair
47, Head, Head : Clown Hair, Clown Hair
48, Head, Head : Top Hat, Top Hat
49, Head, Head : Flame, Flame
50, Head, Head : Halo, Halo
51, Head, Head : Wild Hair, Wild Hair
52, Head, Head : Hoodie, Hoodie
53, Head, Head : Crazy Hair, Crazy Hair
54, Head, Head : Messy Hair, Messy Hair
55, Head, Head : Bandana, Bandana
56, Head, Head : Bald Head, Bald Head
57, Beard, Beard : Front Beard, Front Beard
58, Beard, Beard : Chin Strap, Chin Strap
59, Beard, Beard : Beard, Beard
60, Beard, Beard : Shaved, Shaved
61, Type, Type : Iced Out Fuk, Iced Out Fuk
62, Type, Type : 1st Edition Fuk, 1st Edition Fuk
63, Type, Type : Golden Fuk, Golden Fuk
64, Type, Type : Alien Fuk, Alien Fuk
65, Type, Type : Robot Fuk, Robot Fuk
66, Type, Type : Zombie Fuk, Zombie Fuk
67, Type, Type : Undead Fuk, Undead Fuk
68, Type, Type : Human Fuk, Human Fuk
