path, category, name, more_names
0_mouth_accessory/0_rainbow_puke.png, Mouth Accessory, Mouth Accessory : Rainbow Puke, Rainbow Puke
0_mouth_accessory/1_bubble_gum.png, Mouth Accessory, Mouth Accessory : Bubble Gum, Bubble Gum
0_mouth_accessory/2_vape.png, Mouth Accessory, Mouth Accessory : Vape, Vape
0_mouth_accessory/3_none.png, Mouth Accessory, Mouth Accessory : None,
0_mouth_accessory/4_cigarette.png, Mouth Accessory, Mouth Accessory : Cigarette, Cigarette
0_mouth_accessory/5_pipe.png, Mouth Accessory, Mouth Accessory : Pipe, Pipe
1_neck_accessory/0_gold_chain.png, Neck Accessory, Neck Accessory : Gold Chain, Gold Chain
1_neck_accessory/1_bowtie.png, Neck Accessory, Neck Accessory : Bowtie, Bowtie
1_neck_accessory/2_gold_necklace.png, Neck Accessory, Neck Accessory : Gold Necklace, Gold Necklace
1_neck_accessory/3_none.png, Neck Accessory, Neck Accessory : None,
2_eye_accessory/0_eye_patch.png, Eye Accessory, Eye Accessory : Eye Patch, Eye Patch
2_eye_accessory/1_nerd_glasses.png, Eye Accessory, Eye Accessory : Nerd Glasses, Nerd Glasses
2_eye_accessory/2_blue_beams.png, Eye Accessory, Eye Accessory : Blue Beams, Blue Beams
2_eye_accessory/3_purple_eye_shadow.png, Eye Accessory, Eye Accessory : Purple Eye Shadow, Purple Eye Shadow
2_eye_accessory/4_gold_glasses.png, Eye Accessory, Eye Accessory : Gold Glasses, Gold Glasses
2_eye_accessory/5_holographic.png, Eye Accessory, Eye Accessory : Holographic, Holographic
2_eye_accessory/6_clown_eyes_red.png, Eye Accessory, Eye Accessory : Clown Eyes Red, Clown Eyes Red
2_eye_accessory/7_clown_eyes_green.png, Eye Accessory, Eye Accessory : Clown Eyes Green, Clown Eyes Green
2_eye_accessory/8_eye_mask.png, Eye Accessory, Eye Accessory : Eye Mask, Eye Mask
2_eye_accessory/9_laser_eye.png, Eye Accessory, Eye Accessory : Laser Eye, Laser Eye
2_eye_accessory/10_vr.png, Eye Accessory, Eye Accessory : VR, VR
2_eye_accessory/11_3d_glasses.png, Eye Accessory, Eye Accessory : 3D Glasses, 3D Glasses
2_eye_accessory/12_none.png, Eye Accessory, Eye Accessory : None,
2_eye_accessory/13_yellow_glasses.png, Eye Accessory, Eye Accessory : Yellow Glasses, Yellow Glasses
2_eye_accessory/14_cool_glasses.png, Eye Accessory, Eye Accessory : Cool Glasses, Cool Glasses
2_eye_accessory/15_purple_glasses.png, Eye Accessory, Eye Accessory : Purple Glasses, Purple Glasses
2_eye_accessory/16_green_glasses.png, Eye Accessory, Eye Accessory : Green Glasses, Green Glasses
3_earring/0_diamond.png, Earring, Earring : Diamond,
3_earring/1_silver.png, Earring, Earring : Silver,
3_earring/2_gold.png, Earring, Earring : Gold,
3_earring/3_none.png, Earring, Earring : None,
4_headgear/0_crown.png, Headgear, Headgear : Crown, Crown
4_headgear/1_wireless_earphone.png, Headgear, Headgear : Wireless Earphone, Wireless Earphone
4_headgear/2_flower.png, Headgear, Headgear : Flower, Flower
4_headgear/3_fez.png, Headgear, Headgear : Fez, Fez
4_headgear/4_fire.png, Headgear, Headgear : Fire, Fire
4_headgear/5_beanie.png, Headgear, Headgear : Beanie, Beanie
4_headgear/6_headphone.png, Headgear, Headgear : Headphone, Headphone
4_headgear/7_white_shemagh.png, Headgear, Headgear : White Shemagh, White Shemagh
4_headgear/8_red_and_white_shemagh.png, Headgear, Headgear : Red And White Shemagh, Red And White Shemagh
4_headgear/9_angle_ring.png, Headgear, Headgear : Angle Ring, Angle Ring
4_headgear/10_blue_mohawk.png, Headgear, Headgear : Blue Mohawk, Blue Mohawk
4_headgear/11_sombrero.png, Headgear, Headgear : Sombrero, Sombrero
4_headgear/12_red_mohawk.png, Headgear, Headgear : Red Mohawk, Red Mohawk
4_headgear/13_blue_bandana.png, Headgear, Headgear : Blue Bandana, Blue Bandana
4_headgear/14_viking.png, Headgear, Headgear : Viking, Viking
4_headgear/15_pilot_helmet.png, Headgear, Headgear : Pilot Helmet, Pilot Helmet
4_headgear/16_top_hat.png, Headgear, Headgear : Top Hat, Top Hat
4_headgear/17_captain_hat.png, Headgear, Headgear : Captain Hat, Captain Hat
4_headgear/18_thief_hat.png, Headgear, Headgear : Thief Hat, Thief Hat
4_headgear/19_orange_cap.png, Headgear, Headgear : Orange Cap, Orange Cap
4_headgear/20_pirate_bandana.png, Headgear, Headgear : Pirate Bandana, Pirate Bandana
4_headgear/21_knitted_cap.png, Headgear, Headgear : Knitted Cap, Knitted Cap
4_headgear/22_purple_cap.png, Headgear, Headgear : Purple Cap, Purple Cap
4_headgear/23_black_cap.png, Headgear, Headgear : Black Cap, Black Cap
4_headgear/24_pirate_hat.png, Headgear, Headgear : Pirate Hat, Pirate Hat
4_headgear/25_none.png, Headgear, Headgear : None,
4_headgear/26_red_cap.png, Headgear, Headgear : Red Cap, Red Cap
4_headgear/27_cop_hat.png, Headgear, Headgear : Cop Hat, Cop Hat
4_headgear/28_cowboy_hat.png, Headgear, Headgear : Cowboy Hat, Cowboy Hat
4_headgear/29_fedora.png, Headgear, Headgear : Fedora, Fedora
5_face_spot/0_mole.png, Face Spot, Face Spot : Mole, Mole
5_face_spot/1_pimple.png, Face Spot, Face Spot : Pimple, Pimple
5_face_spot/2_none.png, Face Spot, Face Spot : None,
6_base/0_gold.png, Base, Base : Gold, Gold
6_base/1_cyborg.png, Base, Base : Cyborg, Cyborg
6_base/2_skeleton.png, Base, Base : Skeleton, Skeleton
6_base/3_female.png, Base, Base : Female, Female
6_base/4_robot.png, Base, Base : Robot, Robot
6_base/5_zombie.png, Base, Base : Zombie, Zombie
6_base/6_alien.png, Base, Base : Alien, Alien
6_base/7_default.png, Base, Base : Default, Default
7_background/0_desert.png, Background, Background : Desert, Desert
7_background/1_cream.png, Background, Background : Cream, Cream
7_background/2_pink.png, Background, Background : Pink, Pink
7_background/3_purple.png, Background, Background : Purple, Purple
7_background/4_green.png, Background, Background : Green, Green
7_background/5_blue.png, Background, Background : Blue, Blue
