index, dist, name, type, hide
0/0, 99, Rainbow Puke, image/png, false
0/1, 369, Bubble Gum, image/png, false
0/2, 475, Vape, image/png, false
0/3, 1146, None, image/png, false
0/4, 1159, Cigarette, image/png, false
0/5, 1252, Pipe, image/png, false
1/0, 578, Gold Chain, image/png, false
1/1, 902, Bowtie, image/png, false
1/2, 942, Gold Necklace, image/png, false
1/3, 2078, None, image/png, false
2/0, 26, Eye Patch, image/png, false
2/1, 40, Nerd Glasses, image/png, false
2/2, 72, Blue Beams, image/png, false
2/3, 78, Purple Eye Shadow, image/png, false
2/4, 79, Gold Glasses, image/png, false
2/5, 92, Holographic, image/png, false
2/6, 117, Clown Eyes Red, image/png, false
2/7, 138, Clown Eyes Green, image/png, false
2/8, 239, Eye Mask, image/png, false
2/9, 248, Laser Eye, image/png, false
2/10, 305, VR, image/png, false
2/11, 316, 3D Glasses, image/png, false
2/12, 338, None, image/png, false
2/13, 513, Yellow Glasses, image/png, false
2/14, 541, Cool Glasses, image/png, false
2/15, 635, Purple Glasses, image/png, false
2/16, 723, Green Glasses, image/png, false
3/0, 745, Diamond, image/png, false
3/1, 855, Silver, image/png, false
3/2, 1324, Gold, image/png, false
3/3, 1576, None, image/png, false
4/0, 18, Crown, image/png, false
4/1, 28, Wireless Earphone, image/png, false
4/2, 32, Flower, image/png, false
4/3, 33, Fez, image/png, false
4/4, 39, Fire, image/png, false
4/5, 44, Beanie, image/png, false
4/6, 45, Headphone, image/png, false
4/7, 60, White Shemagh, image/png, false
4/8, 66, Red And White Shemagh, image/png, false
4/9, 68, Angle Ring, image/png, false
4/10, 111, Blue Mohawk, image/png, false
4/11, 114, Sombrero, image/png, false
4/12, 119, Red Mohawk, image/png, false
4/13, 121, Blue Bandana, image/png, false
4/14, 130, Viking, image/png, false
4/15, 134, Pilot Helmet, image/png, false
4/16, 161, Top Hat, image/png, false
4/17, 168, Captain Hat, image/png, false
4/18, 181, Thief Hat, image/png, false
4/19, 182, Orange Cap, image/png, false
4/20, 187, Pirate Bandana, image/png, false
4/21, 201, Knitted Cap, image/png, false
4/22, 228, Purple Cap, image/png, false
4/23, 239, Black Cap, image/png, false
4/24, 276, Pirate Hat, image/png, false
4/25, 287, None, image/png, false
4/26, 295, Red Cap, image/png, false
4/27, 301, Cop Hat, image/png, false
4/28, 311, Cowboy Hat, image/png, false
4/29, 321, Fedora, image/png, false
5/0, 170, Mole, image/png, false
5/1, 210, Pimple, image/png, false
5/2, 4120, None, image/png, false
6/0, 1, Gold, image/png, false
6/1, 61, Cyborg, image/png, false
6/2, 119, Skeleton, image/png, false
6/3, 152, Female, image/png, false
6/4, 210, Robot, image/png, false
6/5, 612, Zombie, image/png, false
6/6, 1224, Alien, image/png, false
6/7, 2121, Default, image/png, false
7/0, 66, Desert, image/png, false
7/1, 431, Cream, image/png, false
7/2, 530, Pink, image/png, false
7/3, 1063, Purple, image/png, false
7/4, 1198, Green, image/png, false
7/5, 1212, Blue, image/png, false
