id, category, name, more_names
0, Mouth Accessory, Mouth Accessory : Rainbow Puke, Rainbow Puke
1, Mouth Accessory, Mouth Accessory : Bubble Gum, Bubble Gum
2, Mouth Accessory, Mouth Accessory : Vape, Vape
3, Mouth Accessory, Mouth Accessory : None, 
4, Mouth Accessory, Mouth Accessory : Cigarette, Cigarette
5, Mouth Accessory, Mouth Accessory : Pipe, Pipe
6, Neck Accessory, Neck Accessory : Gold Chain, Gold Chain
7, Neck Accessory, Neck Accessory : Bowtie, Bowtie
8, Neck Accessory, Neck Accessory : Gold Necklace, Gold Necklace
9, Neck Accessory, Neck Accessory : None, 
10, Eye Accessory, Eye Accessory : Eye Patch, Eye Patch
11, Eye Accessory, Eye Accessory : Nerd Glasses, Nerd Glasses
12, Eye Accessory, Eye Accessory : Blue Beams, Blue Beams
13, Eye Accessory, Eye Accessory : Purple Eye Shadow, Purple Eye Shadow
14, Eye Accessory, Eye Accessory : Gold Glasses, Gold Glasses
15, Eye Accessory, Eye Accessory : Holographic, Holographic
16, Eye Accessory, Eye Accessory : Clown Eyes Red, Clown Eyes Red
17, Eye Accessory, Eye Accessory : Clown Eyes Green, Clown Eyes Green
18, Eye Accessory, Eye Accessory : Eye Mask, Eye Mask
19, Eye Accessory, Eye Accessory : Laser Eye, Laser Eye
20, Eye Accessory, Eye Accessory : VR, VR
21, Eye Accessory, Eye Accessory : 3D Glasses, 3D Glasses
22, Eye Accessory, Eye Accessory : None, 
23, Eye Accessory, Eye Accessory : Yellow Glasses, Yellow Glasses
24, Eye Accessory, Eye Accessory : Cool Glasses, Cool Glasses
25, Eye Accessory, Eye Accessory : Purple Glasses, Purple Glasses
26, Eye Accessory, Eye Accessory : Green Glasses, Green Glasses
27, Earring, Earring : Diamond, 
28, Earring, Earring : Silver, 
29, Earring, Earring : Gold, 
30, Earring, Earring : None, 
31, Headgear, Headgear : Crown, Crown
32, Headgear, Headgear : Wireless Earphone, Wireless Earphone
33, Headgear, Headgear : Flower, Flower
34, Headgear, Headgear : Fez, Fez
35, Headgear, Headgear : Fire, Fire
36, Headgear, Headgear : Beanie, Beanie
37, Headgear, Headgear : Headphone, Headphone
38, Headgear, Headgear : White Shemagh, White Shemagh
39, Headgear, Headgear : Red And White Shemagh, Red And White Shemagh
40, Headgear, Headgear : Angle Ring, Angle Ring
41, Headgear, Headgear : Blue Mohawk, Blue Mohawk
42, Headgear, Headgear : Sombrero, Sombrero
43, Headgear, Headgear : Red Mohawk, Red Mohawk
44, Headgear, Headgear : Blue Bandana, Blue Bandana
45, Headgear, Headgear : Viking, Viking
46, Headgear, Headgear : Pilot Helmet, Pilot Helmet
47, Headgear, Headgear : Top Hat, Top Hat
48, Headgear, Headgear : Captain Hat, Captain Hat
49, Headgear, Headgear : Thief Hat, Thief Hat
50, Headgear, Headgear : Orange Cap, Orange Cap
51, Headgear, Headgear : Pirate Bandana, Pirate Bandana
52, Headgear, Headgear : Knitted Cap, Knitted Cap
53, Headgear, Headgear : Purple Cap, Purple Cap
54, Headgear, Headgear : Black Cap, Black Cap
55, Headgear, Headgear : Pirate Hat, Pirate Hat
56, Headgear, Headgear : None, 
57, Headgear, Headgear : Red Cap, Red Cap
58, Headgear, Headgear : Cop Hat, Cop Hat
59, Headgear, Headgear : Cowboy Hat, Cowboy Hat
60, Headgear, Headgear : Fedora, Fedora
61, Face Spot, Face Spot : Mole, Mole
62, Face Spot, Face Spot : Pimple, Pimple
63, Face Spot, Face Spot : None, 
64, Base, Base : Gold, Gold
65, Base, Base : Cyborg, Cyborg
66, Base, Base : Skeleton, Skeleton
67, Base, Base : Female, Female
68, Base, Base : Robot, Robot
69, Base, Base : Zombie, Zombie
70, Base, Base : Alien, Alien
71, Base, Base : Default, Default
72, Background, Background : Desert, Desert
73, Background, Background : Cream, Cream
74, Background, Background : Pink, Pink
75, Background, Background : Purple, Purple
76, Background, Background : Green, Green
77, Background, Background : Blue, Blue
