path, category, name, more_names
0_11/0_zombie.png, 1/1, 1/1 : Zombie,
0_11/1_cline.png, 1/1, 1/1 : Cline, Cline
0_11/2_pauly_devil.png, 1/1, 1/1 : Pauly Devil, Pauly Devil
0_11/3_deal_with_it_devil.png, 1/1, 1/1 : Deal With It Devil, Deal With It Devil
0_11/4_marc.png, 1/1, 1/1 : Marc,
0_11/5_gold.png, 1/1, 1/1 : Gold,
0_11/6_marcdonalds.png, 1/1, 1/1 : Marcdonalds,
0_11/7_marc.png, 1/1, 1/1 : Marc (2),
0_11/8_devil.png, 1/1, 1/1 : Devil,
0_11/9_marc.png, 1/1, 1/1 : Marc (3),
0_11/10_madlad_marc.png, 1/1, 1/1 : Madlad Marc,
0_11/11_chad.png, 1/1, 1/1 : Chad,
0_11/12_ape.png, 1/1, 1/1 : Ape,
0_11/13_claudia_bot.png, 1/1, 1/1 : Claudia Bot, Claudia Bot
0_11/14_marc.png, 1/1, 1/1 : Marc (4),
0_11/15_bot.png, 1/1, 1/1 : Bot,
0_11/16_marc.png, 1/1, 1/1 : Marc (5),
0_11/17_marc.png, 1/1, 1/1 : Marc (6),
0_11/18_alien.png, 1/1, 1/1 : Alien,
0_11/19_claudia_gold.png, 1/1, 1/1 : Claudia Gold, Claudia Gold
0_11/20_marc.png, 1/1, 1/1 : Marc (7),
0_11/21_original.png, 1/1, 1/1 : Original, Original
1_mouth/0_bubble_gum.png, Mouth, Mouth : Bubble Gum, Bubble Gum
1_mouth/1_medical_mask.png, Mouth, Mouth : Medical Mask, Medical Mask
1_mouth/2_hookah.png, Mouth, Mouth : Hookah, Hookah
1_mouth/3_pipe.png, Mouth, Mouth : Pipe, Pipe
1_mouth/4_cigar.png, Mouth, Mouth : Cigar, Cigar
1_mouth/5_vape.png, Mouth, Mouth : Vape, Vape
1_mouth/6_cigarette.png, Mouth, Mouth : Cigarette, Cigarette
1_mouth/7_marc.png, Mouth, Mouth : Marc,
2_eyes/0_tears.png, Eyes, Eyes : Tears, Tears
2_eyes/1_monocle.png, Eyes, Eyes : Monocle, Monocle
2_eyes/2_lasers.png, Eyes, Eyes : Lasers, Lasers
2_eyes/3_pink_shades.png, Eyes, Eyes : Pink Shades, Pink Shades
2_eyes/4_aviators.png, Eyes, Eyes : Aviators, Aviators
2_eyes/5_polarized_white.png, Eyes, Eyes : Polarized White, Polarized White
2_eyes/6_vr_headset.png, Eyes, Eyes : VR Headset, VR Headset
2_eyes/7_gold_glasses.png, Eyes, Eyes : Gold Glasses, Gold Glasses
2_eyes/8_3d_glasses.png, Eyes, Eyes : 3D Glasses, 3D Glasses
2_eyes/9_clown_eyes_blue.png, Eyes, Eyes : Clown Eyes Blue, Clown Eyes Blue
2_eyes/10_eye_mask.png, Eyes, Eyes : Eye Mask, Eye Mask
2_eyes/11_big_shades.png, Eyes, Eyes : Big Shades, Big Shades
2_eyes/12_nerd_glasses.png, Eyes, Eyes : Nerd Glasses, Nerd Glasses
2_eyes/13_small_shades.png, Eyes, Eyes : Small Shades, Small Shades
2_eyes/14_glasses.png, Eyes, Eyes : Glasses, Glasses
2_eyes/15_clown_eyes_green.png, Eyes, Eyes : Clown Eyes Green, Clown Eyes Green
2_eyes/16_eye_patch.png, Eyes, Eyes : Eye Patch, Eye Patch
2_eyes/17_polarized.png, Eyes, Eyes : Polarized, Polarized
2_eyes/18_classic_shades.png, Eyes, Eyes : Classic Shades, Classic Shades
2_eyes/19_deal_with_it.png, Eyes, Eyes : Deal With It, Deal With It
2_eyes/20_regular_shades.png, Eyes, Eyes : Regular Shades, Regular Shades
2_eyes/21_horned_rim_glasses.png, Eyes, Eyes : Horned Rim Glasses, Horned Rim Glasses
2_eyes/22_marc.png, Eyes, Eyes : Marc,
3_lips/0_hot_lipstick.png, Lips, Lips : Hot Lipstick, Hot Lipstick
3_lips/1_purple_lipstick.png, Lips, Lips : Purple Lipstick, Purple Lipstick
3_lips/2_black_lipstick.png, Lips, Lips : Black Lipstick, Black Lipstick
3_lips/3_buck_teeth.png, Lips, Lips : Buck Teeth, Buck Teeth
3_lips/4_marc.png, Lips, Lips : Marc,
4_facial_hair/0_full_mustache.png, Facial Hair, Facial Hair : Full Mustache, Full Mustache
4_facial_hair/1_full_mustache_dark.png, Facial Hair, Facial Hair : Full Mustache Dark, Full Mustache Dark
4_facial_hair/2_front_beard_dark.png, Facial Hair, Facial Hair : Front Beard Dark, Front Beard Dark
4_facial_hair/3_luxurious_beard.png, Facial Hair, Facial Hair : Luxurious Beard, Luxurious Beard
4_facial_hair/4_soul_patch.png, Facial Hair, Facial Hair : Soul Patch, Soul Patch
4_facial_hair/5_big_beard.png, Facial Hair, Facial Hair : Big Beard, Big Beard
4_facial_hair/6_big_beard_white.png, Facial Hair, Facial Hair : Big Beard White, Big Beard White
4_facial_hair/7_front_beard.png, Facial Hair, Facial Hair : Front Beard, Front Beard
4_facial_hair/8_chinstrap.png, Facial Hair, Facial Hair : Chinstrap, Chinstrap
4_facial_hair/9_goat.png, Facial Hair, Facial Hair : Goat, Goat
4_facial_hair/10_mutton_chop.png, Facial Hair, Facial Hair : Mutton Chop, Mutton Chop
4_facial_hair/11_goat_dark.png, Facial Hair, Facial Hair : Goat Dark, Goat Dark
4_facial_hair/12_handlebar.png, Facial Hair, Facial Hair : Handlebar, Handlebar
4_facial_hair/13_normal_beard.png, Facial Hair, Facial Hair : Normal Beard, Normal Beard
4_facial_hair/14_mustache.png, Facial Hair, Facial Hair : Mustache, Mustache
4_facial_hair/15_shadow_beard.png, Facial Hair, Facial Hair : Shadow Beard, Shadow Beard
4_facial_hair/16_normal_beard_black.png, Facial Hair, Facial Hair : Normal Beard Black, Normal Beard Black
4_facial_hair/17_marc.png, Facial Hair, Facial Hair : Marc,
5_head/0_uncle_sam.png, Head, Head : Uncle Sam, Uncle Sam
5_head/1_bunny_ears.png, Head, Head : Bunny Ears, Bunny Ears
5_head/2_marc_three.png, Head, Head : Marc Three, Marc Three
5_head/3_viking.png, Head, Head : Viking, Viking
5_head/4_laurels.png, Head, Head : Laurels, Laurels
5_head/5_shemagh.png, Head, Head : Shemagh, Shemagh
5_head/6_welding_goggles.png, Head, Head : Welding Goggles, Welding Goggles
5_head/7_beanie.png, Head, Head : Beanie, Beanie
5_head/8_top_hat.png, Head, Head : Top Hat, Top Hat
5_head/9_marcdonalds.png, Head, Head : Marcdonalds, Marcdonalds
5_head/10_cap.png, Head, Head : Cap, Cap
5_head/11_roaring_headband.png, Head, Head : Roaring Headband, Roaring Headband
5_head/12_blonde_bob.png, Head, Head : Blonde Bob, Blonde Bob
5_head/13_purple_hoodie.png, Head, Head : Purple Hoodie, Purple Hoodie
5_head/14_do_rag.png, Head, Head : Do Rag, Do Rag
5_head/15_fedora.png, Head, Head : Fedora, Fedora
5_head/16_cowboy_hat.png, Head, Head : Cowboy Hat, Cowboy Hat
5_head/17_police_cap.png, Head, Head : Police Cap, Police Cap
5_head/18_cap_forward.png, Head, Head : Cap Forward, Cap Forward
5_head/19_knitted_cap.png, Head, Head : Knitted Cap, Knitted Cap
5_head/20_tassle_hat.png, Head, Head : Tassle Hat, Tassle Hat
5_head/21_hoodie.png, Head, Head : Hoodie, Hoodie
5_head/22_fast_food.png, Head, Head : Fast Food,
5_head/23_tiarra.png, Head, Head : Tiarra, Tiarra
5_head/24_stringy_hair.png, Head, Head : Stringy Hair, Stringy Hair
5_head/25_purple_hair.png, Head, Head : Purple Hair, Purple Hair
5_head/26_skull_cap.png, Head, Head : Skull Cap, Skull Cap
5_head/27_headband.png, Head, Head : Headband, Headband
5_head/28_clown_hair.png, Head, Head : Clown Hair, Clown Hair
5_head/29_vampire_hair.png, Head, Head : Vampire Hair, Vampire Hair
5_head/30_chad.png, Head, Head : Chad, Chad
5_head/31_bandana.png, Head, Head : Bandana, Bandana
