id, category, name, more_names
0, 1/1, 1/1 : Zombie, 
1, 1/1, 1/1 : Cline, Cline
2, 1/1, 1/1 : Pauly Devil, Pauly Devil
3, 1/1, 1/1 : Deal With It Devil, Deal With It Devil
4, 1/1, 1/1 : Marc, 
5, 1/1, 1/1 : Gold, 
6, 1/1, 1/1 : Marcdonalds, 
7, 1/1, 1/1 : Marc (2), 
8, 1/1, 1/1 : Devil, 
9, 1/1, 1/1 : Marc (3), 
10, 1/1, 1/1 : Madlad Marc, 
11, 1/1, 1/1 : Chad, 
12, 1/1, 1/1 : Ape, 
13, 1/1, 1/1 : Claudia Bot, Claudia Bot
14, 1/1, 1/1 : Marc (4), 
15, 1/1, 1/1 : Bot, 
16, 1/1, 1/1 : Marc (5), 
17, 1/1, 1/1 : Marc (6), 
18, 1/1, 1/1 : Alien, 
19, 1/1, 1/1 : Claudia Gold, Claudia Gold
20, 1/1, 1/1 : Marc (7), 
21, 1/1, 1/1 : Original, Original
22, Mouth, Mouth : Bubble Gum, Bubble Gum
23, Mouth, Mouth : Medical Mask, Medical Mask
24, Mouth, Mouth : Hookah, Hookah
25, Mouth, Mouth : Pipe, Pipe
26, Mouth, Mouth : Cigar, Cigar
27, Mouth, Mouth : Vape, Vape
28, Mouth, Mouth : Cigarette, Cigarette
29, Mouth, Mouth : Marc, 
30, Eyes, Eyes : Tears, Tears
31, Eyes, Eyes : Monocle, Monocle
32, Eyes, Eyes : Lasers, Lasers
33, Eyes, Eyes : Pink Shades, Pink Shades
34, Eyes, Eyes : Aviators, Aviators
35, Eyes, Eyes : Polarized White, Polarized White
36, Eyes, Eyes : VR Headset, VR Headset
37, Eyes, Eyes : Gold Glasses, Gold Glasses
38, Eyes, Eyes : 3D Glasses, 3D Glasses
39, Eyes, Eyes : Clown Eyes Blue, Clown Eyes Blue
40, Eyes, Eyes : Eye Mask, Eye Mask
41, Eyes, Eyes : Big Shades, Big Shades
42, Eyes, Eyes : Nerd Glasses, Nerd Glasses
43, Eyes, Eyes : Small Shades, Small Shades
44, Eyes, Eyes : Glasses, Glasses
45, Eyes, Eyes : Clown Eyes Green, Clown Eyes Green
46, Eyes, Eyes : Eye Patch, Eye Patch
47, Eyes, Eyes : Polarized, Polarized
48, Eyes, Eyes : Classic Shades, Classic Shades
49, Eyes, Eyes : Deal With It, Deal With It
50, Eyes, Eyes : Regular Shades, Regular Shades
51, Eyes, Eyes : Horned Rim Glasses, Horned Rim Glasses
52, Eyes, Eyes : Marc, 
53, Lips, Lips : Hot Lipstick, Hot Lipstick
54, Lips, Lips : Purple Lipstick, Purple Lipstick
55, Lips, Lips : Black Lipstick, Black Lipstick
56, Lips, Lips : Buck Teeth, Buck Teeth
57, Lips, Lips : Marc, 
58, Facial Hair, Facial Hair : Full Mustache, Full Mustache
59, Facial Hair, Facial Hair : Full Mustache Dark, Full Mustache Dark
60, Facial Hair, Facial Hair : Front Beard Dark, Front Beard Dark
61, Facial Hair, Facial Hair : Luxurious Beard, Luxurious Beard
62, Facial Hair, Facial Hair : Soul Patch, Soul Patch
63, Facial Hair, Facial Hair : Big Beard, Big Beard
64, Facial Hair, Facial Hair : Big Beard White, Big Beard White
65, Facial Hair, Facial Hair : Front Beard, Front Beard
66, Facial Hair, Facial Hair : Chinstrap, Chinstrap
67, Facial Hair, Facial Hair : Goat, Goat
68, Facial Hair, Facial Hair : Mutton Chop, Mutton Chop
69, Facial Hair, Facial Hair : Goat Dark, Goat Dark
70, Facial Hair, Facial Hair : Handlebar, Handlebar
71, Facial Hair, Facial Hair : Normal Beard, Normal Beard
72, Facial Hair, Facial Hair : Mustache, Mustache
73, Facial Hair, Facial Hair : Shadow Beard, Shadow Beard
74, Facial Hair, Facial Hair : Normal Beard Black, Normal Beard Black
75, Facial Hair, Facial Hair : Marc, 
76, Head, Head : Uncle Sam, Uncle Sam
77, Head, Head : Bunny Ears, Bunny Ears
78, Head, Head : Marc Three, Marc Three
79, Head, Head : Viking, Viking
80, Head, Head : Laurels, Laurels
81, Head, Head : Shemagh, Shemagh
82, Head, Head : Welding Goggles, Welding Goggles
83, Head, Head : Beanie, Beanie
84, Head, Head : Top Hat, Top Hat
85, Head, Head : Marcdonalds, Marcdonalds
86, Head, Head : Cap, Cap
87, Head, Head : Roaring Headband, Roaring Headband
88, Head, Head : Blonde Bob, Blonde Bob
89, Head, Head : Purple Hoodie, Purple Hoodie
90, Head, Head : Do Rag, Do Rag
91, Head, Head : Fedora, Fedora
92, Head, Head : Cowboy Hat, Cowboy Hat
93, Head, Head : Police Cap, Police Cap
94, Head, Head : Cap Forward, Cap Forward
