index, name, type, hide
0/0, Alien, image/png, false
0/1, Ape, image/png, false
0/2, Female, image/png, false
0/3, Male, image/png, false
0/4, Zombie, image/png, false
0/5, Empty, image/png, true
1/0, Empty, image/png, true
1/1, Run, image/png, false
1/2, Punky, image/png, false
1/3, Propellor Hat, image/png, false
1/4, Strait Cut, image/png, false
1/5, Windy Hair, image/png, false
1/6, Messy Hair, image/png, false
1/7, Open Brain, image/png, false
1/8, Stair Cut, image/png, false
1/9, Volume Hair, image/png, false
1/10, Ninja, image/png, false
1/11, Flowers Hair, image/png, false
1/12, Holy, image/png, false
1/13, Mohawk, image/png, false
1/14, Cool, image/png, false
1/15, Enlighted, image/png, false
1/16, Antlers, image/png, false
1/17, Cap, image/png, false
1/18, Frankenstein, image/png, false
1/19, Hat, image/png, false
1/20, Empty Brain, image/png, false
1/21, Bold, image/png, false
2/0, Empty, image/png, true
2/1, Robot, image/png, false
2/2, Earring, image/png, false
2/3, Big, image/png, false
2/4, Ear Plug, image/png, false
2/5, Smol, image/png, false
2/6, Normal, image/png, false
3/0, Empty, image/png, true
3/1, Robot Eyes, image/png, false
3/2, Skull Eyes, image/png, false
3/3, Square Shades, image/png, false
3/4, Cyber Goggles, image/png, false
3/5, 3 D Glasses, image/png, false
3/6, Long Eyes, image/png, false
3/7, Empty Eyes, image/png, false
3/8, Eye Mask, image/png, false
3/9, Glowing Eyes, image/png, false
3/10, Cool Shades, image/png, false
3/11, Square Eyes, image/png, false
3/12, Three Eyes, image/png, false
3/13, Cross Eyes, image/png, false
3/14, Eye Brow, image/png, false
3/15, Medium Eyes, image/png, false
3/16, Smol Eyes, image/png, false
3/17, Focus Eyes, image/png, false
4/0, Empty, image/png, true
4/1, Wide, image/png, false
4/2, Ape, image/png, false
4/3, None, image/png, false
4/4, Long, image/png, false
4/5, Smol, image/png, false
5/0, Empty, image/png, true
5/1, Muzzle, image/png, false
5/2, Missing Teeth, image/png, false
5/3, Skull Teeth, image/png, false
5/4, Long Tongue, image/png, false
5/5, Moustage, image/png, false
5/6, Skull Smile, image/png, false
5/7, Square, image/png, false
5/8, Smile, image/png, false
5/9, Grill, image/png, false
5/10, Beard, image/png, false
5/11, Grin, image/png, false
5/12, Botox Lips, image/png, false
5/13, Dracula, image/png, false
5/14, Tooth Gap, image/png, false
5/15, Smol, image/png, false
5/16, Smol Beard, image/png, false
5/17, Open Mouth, image/png, false
5/18, Wide Open, image/png, false
6/0, Empty, image/png, true
6/1, Black, image/png, false
