index, name, type, hide
0/0, Brain Blast, image/png, false
0/1, Plaid Balaclava, image/png, false
0/2, Smol Nerdy, image/png, false
0/3, SM Mask, image/png, false
0/4, Undead Adams, image/png, false
0/5, Vitalik In 200 Years, image/png, false
0/6, Blank, image/png, true
1/0, Blank, image/png, true
1/1, Cross Earing, image/png, false
1/2, Earing, image/png, false
1/3, Emtpy, image/png, true
2/0, Blank, image/png, true
2/1, Mohawk, image/png, false
2/2, Mokawk Buzz Cut, image/png, false
2/3, Bob Cut, image/png, false
2/4, Pirate Hat, image/png, false
2/5, Bob Cut, image/png, false
2/6, Bob Cut, image/png, false
2/7, None, image/png, true
2/8, Old Hair, image/png, false
2/9, Tarboosh, image/png, false
2/10, Elvis, image/png, false
2/11, Hairnet, image/png, false
2/12, Crazy Hair, image/png, false
2/13, Crown, image/png, false
2/14, Knitted, image/png, false
2/15, Windy Hair, image/png, false
2/16, Bandana, image/png, false
2/17, Fisher Hat, image/png, false
2/18, Skater Cap, image/png, false
2/19, Biker Cap, image/png, false
2/20, Long Hair, image/png, false
2/21, Mohawk Buzz Cut, image/png, false
2/22, Mohawk, image/png, false
2/23, Bindi, image/png, false
2/24, Emtpy, image/png, true
3/0, Blank, image/png, true
3/1, Nouns Glasses, image/png, false
3/2, Round Eyes, image/png, false
3/3, Alien Eyes, image/png, false
3/4, Nerd Glasses, image/png, false
3/5, 3 D Glasses, image/png, false
3/6, Eye Mask, image/png, false
3/7, Lorgnette, image/png, false
3/8, Cool Shades, image/png, false
3/9, 80 S Shades, image/png, false
3/10, Eye Patch, image/png, false
3/11, Evil Eyes, image/png, false
3/12, Stoned Eyes, image/png, false
3/13, Cross Eyes, image/png, false
3/14, Dangerous Eyes, image/png, false
3/15, Glowing Eyes, image/png, false
3/16, Pixel Eyes, image/png, false
4/0, Blank, image/png, true
4/1, Collar, image/png, false
4/2, Cigarette, image/png, false
4/3, Pipe, image/png, false
4/4, Emtpy, image/png, true
5/0, Blank, image/png, true
5/1, Grinning Teeth, image/png, false
5/2, Sad, image/png, false
5/3, Three Teeth, image/png, false
5/4, Tooth Gap, image/png, false
5/5, Three Teeth, image/png, false
5/6, Long Teeth, image/png, false
5/7, Full Beard, image/png, false
5/8, Horseshoe Moustache, image/png, false
5/9, One Teeth, image/png, false
5/10, Big Grin, image/png, false
5/11, Lower Teeth, image/png, false
5/12, Smile, image/png, false
5/13, Grinning Teeth, image/png, false
5/14, Slight Grin, image/png, false
5/15, Tooth Gaps, image/png, false
5/16, Strait Teeth, image/png, false
5/17, Three Teeth, image/png, false
6/0, Smol Skull, image/png, false
6/1, Blank, image/png, true
6/2, Undead, image/png, false
6/3, Punk, image/png, false
6/4, Skull, image/png, false
