index, name, type, hide
0/0, Crown, image/svg+xml, false
0/1, Farmers Hat, image/svg+xml, false
0/2, Aqua Mohawk, image/svg+xml, false
0/3, Pink Mohawk, image/svg+xml, false
0/4, Black Top Hat, image/svg+xml, false
0/5, Maroon Cap, image/svg+xml, false
0/6, Red Mohawk, image/svg+xml, false
0/7, Blue Cap, image/svg+xml, false
0/8, Orange Cap, image/svg+xml, false
0/9, No Hat, image/svg+xml, false
1/0, Toothy, image/svg+xml, false
1/1, Straight Mouth, image/svg+xml, false
1/2, Sad, image/svg+xml, false
1/3, Tongue Out, image/svg+xml, false
1/4, O Mouth, image/svg+xml, false
1/5, Happy, image/svg+xml, false
2/0, Spiderman, image/svg+xml, false
2/1, Tiny, image/svg+xml, false
2/2, Aqua Red, image/svg+xml, false
2/3, Little Crazy, image/svg+xml, false
2/4, Gold, image/svg+xml, false
2/5, Red , image/svg+xml, false
2/6, Crazy, image/svg+xml, false
2/7, Down, image/svg+xml, false
2/8, Fuchsia, image/svg+xml, false
2/9, Eye Roll, image/svg+xml, false
2/10, Green, image/svg+xml, false
2/11, Normal, image/svg+xml, false
2/12, Cute , image/svg+xml, false
3/0, Spiderman Mask, image/svg+xml, false
3/1, Elf Kev, image/svg+xml, false
3/2, Two Earings, image/svg+xml, false
3/3, Rosey Cheeks, image/svg+xml, false
3/4, One Earing, image/svg+xml, false
3/5, Clean, image/svg+xml, false
4/0, Spiderman, image/svg+xml, false
4/1, Gold Chain, image/svg+xml, false
4/2, Diamonds 1, image/svg+xml, false
4/3, Pearls, image/svg+xml, false
4/4, Nothing, image/svg+xml, false
5/0, Spiderman , image/svg+xml, false
5/1, Aqua , image/svg+xml, false
5/2, Lab, image/svg+xml, false
5/3, Invisible, image/svg+xml, false
5/4, Purple , image/svg+xml, false
5/5, Pink , image/svg+xml, false
5/6, Orange , image/svg+xml, false
5/7, Yellow , image/svg+xml, false
6/0, Khaki, image/svg+xml, false
6/1, Spiderman BG, image/svg+xml, false
6/2, Grey, image/svg+xml, false
6/3, Mint, image/svg+xml, false
6/4, Lilac, image/svg+xml, false
6/5, Lemon, image/svg+xml, false
6/6, Light Blue, image/svg+xml, false
6/7, Sky Blue, image/svg+xml, false
6/8, Jungle, image/svg+xml, false
6/9, Moss, image/svg+xml, false
6/10, Green, image/svg+xml, false
6/11, Emerald, image/svg+xml, false
