index, name, type, hide
0/0, Light Brew, image/png, false
0/1, Flamingo Horde , image/png, false
0/2, Dark Brew, image/png, false
0/3, Curses, image/png, false
0/4, Quit Trippin, image/png, false
0/5, For The Homies, image/png, false
0/6, Messy Death, image/png, false
0/7, Float Away, image/png, false
0/8, Pinky Out, image/png, false
0/9, Prickly Pal, image/png, false
0/10, Unlock Life, image/png, false
0/11, Yo Yo Ma, image/png, false
0/12, Long Game, image/png, false
0/13, Death Metal, image/png, false
0/14, Dandy, image/png, false
0/15, Cool Prickly Pal, image/png, false
0/16, Your Time, image/png, false
0/17, Death Rider, image/png, false
0/18, Sherlock, image/png, false
0/19, Final Wish, image/png, false
0/20, Smokin Death, image/png, false
0/21, Roses Are Red, image/png, false
0/22, Happy Boy, image/png, false
0/23, Messing Around, image/png, false
0/24, Messing About, image/png, false
0/25, Pizza Party, image/png, false
0/26, Birds Of A Feather , image/png, false
0/27, Smokin Flamingo, image/png, false
0/28, Polly Want A Cracker, image/png, false
0/29, Bloody Mess, image/png, false
0/30, I Scream, You Scream, image/png, false
0/31, Slow Death, image/png, false
0/32, Very Slow Death, image/png, false
0/33, Vulture Chillin, image/png, false
0/34, Left Handed, image/png, false
0/35, Right Handed, image/png, false
0/36, Gripped up, image/png, false
0/37, Who, Me?, image/png, false
0/38, Down Town, image/png, false
1/0, Killer Clown, image/png, false
1/1, Flip Your Lid Skull, image/png, false
1/2, Kool Zombie, image/png, false
1/3, Dead Spitfire, image/png, false
1/4, Weird Faced, image/png, false
1/5, Pall Mall, image/png, false
1/6, Chesterfield, image/png, false
1/7, Tired Eye Yai YAi, image/png, false
1/8, Dumb Yuck, image/png, false
1/9, Destiny, image/png, false
1/10, Darlean , image/png, false
1/11, Donna, image/png, false
1/12, Swarm, image/png, false
1/13, Smokin Spitfire, image/png, false
1/14, Morris, image/png, false
1/15, Winston, image/png, false
1/16, Parliament, image/png, false
1/17, Maverick, image/png, false
1/18, Cheese The Cat, image/png, false
1/19, Eye Yai Yai, image/png, false
1/20, Bird Skull, image/png, false
1/21, Ayyyye Guy Over There, image/png, false
1/22, Zombie Yuck, image/png, false
1/23, King Skull, image/png, false
1/24, Phillip, image/png, false
1/25, Rainbow Eyes, image/png, false
1/26, King Close Encounter, image/png, false
1/27, Homer , image/png, false
1/28, Wingnut The Cat, image/png, false
1/29, Flat Brim Skull, image/png, false
1/30, Ayyyye Guy Over Here, image/png, false
1/31, Oh My Gosh Yuck, image/png, false
1/32, Peepers Peepin, image/png, false
1/33, Nerdy Close Encounter , image/png, false
1/34, Yuck, image/png, false
1/35, Perfect Peepers, image/png, false
1/36, Miami Skull, image/png, false
1/37, Happy Spitfire, image/png, false
1/38, What Up Skull, image/png, false
1/39, Green Peepers, image/png, false
1/40, Gold Teef Skull, image/png, false
1/41, Longhorn Skull, image/png, false
1/42, Gold Tooth Yuck, image/png, false
1/43, 3D Glasses Skull, image/png, false
1/44, Cool Skull, image/png, false
1/45, Blood Shot Skull, image/png, false
1/46, Blue Peepers, image/png, false
1/47, Close Encounter, image/png, false
1/48, Red Peepers, image/png, false
1/49, Fresh Skull, image/png, false
2/0, Green Chucks, image/png, false
2/1, Red Stripe Socks, image/png, false
2/2, Bare Foot, image/png, false
2/3, Hikers, image/png, false
2/4, Red Stiletto, image/png, false
2/5, Blue Stripe Socks, image/png, false
2/6, Red Chucks, image/png, false
2/7, Green Stripe Socks, image/png, false
2/8, Black Chucks, image/png, false
2/9, Cloaked Toes, image/png, false
3/0, Stuntin Death, image/png, false
3/1, Crimson Ghost, image/png, false
3/2, Royal Death, image/png, false
3/3, Pale Death, image/png, false
3/4, OG Death, image/png, false
4/0, Green Lightning, image/png, false
4/1, End Of The Rainbow, image/png, false
4/2, Islander, image/png, false
4/3, Love Is In The Air, image/png, false
4/4, Blue Lightning, image/png, false
4/5, Hot To Trot , image/png, false
4/6, White Lightning, image/png, false
4/7, Kool It, image/png, false
4/8, Hopes & Dreams, image/png, false
4/9, Faded, image/png, false
4/10, Archangel , image/png, false
5/0, Midnight Oil, image/png, false
5/1, Pink Eye, image/png, false
5/2, Touch Grass, image/png, false
5/3, Cotton Candy, image/png, false
5/4, Up In Smoke, image/png, false
5/5, Lights Out, image/png, false
