index, name, type, hide
0/0, Yellow Crazy, image/png, false
0/1, Pink Crazy, image/png, false
0/2, Teal Crazy, image/png, false
0/3, Pink, image/png, false
0/4, Yellow, image/png, false
0/5, Teal, image/png, false
0/6, None, image/png, false
1/0, Flames, image/png, false
1/1, Blitmap Hat, image/png, false
1/2, Flies, image/png, false
1/3, Quixote Hat, image/png, false
1/4, Cheese Head, image/png, false
1/5, Monkey Hat, image/png, false
1/6, E Girl Hair, image/png, false
1/7, Sun Wukong, image/png, false
1/8, Floppy Hat, image/png, false
1/9, Faustian, image/png, false
1/10, Third Eye, image/png, false
1/11, Balapa Hat, image/png, false
1/12, Clown Hair, image/png, false
1/13, Arrow, image/png, false
1/14, Leather Bandana, image/png, false
1/15, Hungry Fish, image/png, false
1/16, None, image/png, false
1/17, Brain Full, image/png, false
1/18, Brain, image/png, false
2/0, Rainbow, image/png, false
2/1, Pipe, image/png, false
2/2, Tongue Out, image/png, false
2/3, Cigar, image/png, false
2/4, Cigarette, image/png, false
2/5, Toothpick, image/png, false
2/6, None, image/png, false
3/0, Mf Doom, image/png, false
3/1, Deal With It, image/png, false
3/2, Nouns, image/png, false
3/3, Luchadores, image/png, false
3/4, Led Rip, image/png, false
3/5, Robocop, image/png, false
3/6, Kongz Rainbow, image/png, false
3/7, Groucho, image/png, false
3/8, Hacker Heart Eyes, image/png, false
3/9, Marylin, image/png, false
3/10, Heart Eyes, image/png, false
3/11, Glasses Red, image/png, false
3/12, Sun Glasses Blue, image/png, false
3/13, 3 D Glasses, image/png, false
3/14, Glasses Teal, image/png, false
3/15, None, image/png, false
3/16, Sun Glasses Black, image/png, false
4/0, Black, image/png, false
4/1, Skull, image/png, false
4/2, Beedy, image/png, false
4/3, Beedy Red, image/png, false
4/4, Beedy Bold, image/png, false
4/5, Derpy Red, image/png, false
4/6, Derpy, image/png, false
5/0, Skull, image/png, false
5/1, Holes, image/png, false
5/2, Upturned, image/png, false
5/3, Droopy, image/png, false
5/4, Downturned, image/png, false
6/0, White, image/png, false
6/1, Soft Stripes, image/png, false
6/2, Middle Stripes, image/png, false
6/3, Light Stripes, image/png, false
6/4, Dark Stripes, image/png, false
6/5, 60%, image/png, false
6/6, 40%, image/png, false
6/7, 20%, image/png, false
6/8, 10%, image/png, false
7/0, 1337, image/png, false
7/1, Dead Pixels, image/png, false
7/2, Dead, image/png, false
8/0, Sun, image/png, false
8/1, Bricks, image/png, false
8/2, Gras, image/png, false
8/3, White, image/png, false
8/4, 90, image/png, false
8/5, 80, image/png, false
8/6, 70, image/png, false
