index, name, type, hide
0/0, Trident, image/png, false
0/1, Lollipop, image/png, false
0/2, Spiked Club, image/png, false
0/3, Gavel, image/png, false
0/4, Boxing Glove, image/png, false
0/5, None, image/png, false
1/0, White Mask, image/png, false
1/1, Skull Mask, image/png, false
1/2, Gas Mask, image/png, false
1/3, Third Eye, image/png, false
1/4, Designer, image/png, false
1/5, Cyborg, image/png, false
1/6, Steampunk, image/png, false
1/7, Blinfold, image/png, false
1/8, 3 D Glasses, image/png, false
1/9, Alien, image/png, false
1/10, Potter, image/png, false
1/11, Masquerade, image/png, false
1/12, Single Lens, image/png, false
1/13, Blue, image/png, false
1/14, Hippie, image/png, false
1/15, Googly, image/png, false
1/16, Swimming Goggles, image/png, false
1/17, Nerd, image/png, false
1/18, Clout, image/png, false
1/19, Heart, image/png, false
1/20, Ski Goggles, image/png, false
1/21, None, image/png, false
2/0, Squid, image/png, false
2/1, Pierced, image/png, false
2/2, None, image/png, false
3/0, Clown, image/png, false
3/1, Cigar, image/png, false
3/2, Cigarette, image/png, false
3/3, None, image/png, false
4/0, Umbrella, image/png, false
4/1, Mushroom, image/png, false
4/2, Tentacle, image/png, false
4/3, Oh France, image/png, false
4/4, Elephant Trunk, image/png, false
4/5, Rainbow, image/png, false
4/6, Rocket, image/png, false
4/7, Dynamite, image/png, false
4/8, Fox, image/png, false
4/9, Flame, image/png, false
4/10, Old Sock, image/png, false
4/11, Fuse, image/png, false
4/12, None, image/png, false
5/0, Party Hat, image/png, false
5/1, Poop, image/png, false
5/2, Pharaoh, image/png, false
5/3, Blklava, image/png, false
5/4, Purple Hair, image/png, false
5/5, Witch, image/png, false
5/6, Mohawk, image/png, false
5/7, Horns, image/png, false
5/8, Unicorn, image/png, false
5/9, Your Future, image/png, false
5/10, Top Hat, image/png, false
5/11, Jester, image/png, false
5/12, Leeloo, image/png, false
5/13, Trucker, image/png, false
5/14, Toque, image/png, false
5/15, Beanie, image/png, false
5/16, Birthday Hat, image/png, false
5/17, Police, image/png, false
5/18, Detective, image/png, false
5/19, Fur Hat, image/png, false
5/20, Bunny, image/png, false
5/21, Sombrero, image/png, false
5/22, Cowboy, image/png, false
5/23, Hero, image/png, false
5/24, Marge, image/png, false
5/25, Sanchez, image/png, false
5/26, Santa, image/png, false
5/27, Army, image/png, false
5/28, Knitted Cap, image/png, false
5/29, Mullet, image/png, false
5/30, Afro, image/png, false
5/31, Buns, image/png, false
5/32, Exposed Brain, image/png, false
5/33, Siren, image/png, false
5/34, None, image/png, false
5/35, Long Hair, image/png, false
6/0, Gassy, image/png, false
6/1, Lipstick, image/png, false
6/2, Wounded, image/png, false
6/3, Reddish, image/png, false
6/4, None, image/png, false
7/0, Alien, image/png, false
7/1, Ape, image/png, false
7/2, Zombie, image/png, false
7/3, Dark, image/png, false
7/4, Mid, image/png, false
7/5, Light, image/png, false
8/0, Grassy Knoll, image/png, false
8/1, Periwinkle, image/png, false
8/2, Picnic Day, image/png, false
8/3, Ocean Mist, image/png, false
8/4, Sunset, image/png, false
8/5, Stone Grey, image/png, false
