index, name, type, hide
0/0, Clown Nose, image/png, false
0/1, None, image/png, false
1/0, Medical Mask, image/png, false
1/1, Vape, image/png, false
1/2, Pipe, image/png, false
1/3, Cigarrete, image/png, false
1/4, None, image/png, false
2/0, Big Beard, image/png, false
2/1, Front Beard, image/png, false
2/2, Handlebars, image/png, false
2/3, Chinstrap, image/png, false
2/4, Luxurious Beard, image/png, false
2/5, Mustache, image/png, false
2/6, Normal Bread Black, image/png, false
2/7, Normal Beard, image/png, false
2/8, Goat, image/png, false
2/9, Muttonchops, image/png, false
2/10, Shadow Beard, image/png, false
2/11, None, image/png, false
3/0, Rosy Cheeks, image/png, false
3/1, None, image/png, false
4/0, Earring, image/png, false
4/1, None, image/png, false
5/0, Frown, image/png, false
5/1, Smile, image/png, false
5/2, None, image/png, false
6/0, Nouns, image/png, false
6/1, 3D Glasses, image/png, false
6/2, Eye Mask, image/png, false
6/3, Vr, image/png, false
6/4, Clown Eyes Green, image/png, false
6/5, Clown Blue Eyes, image/png, false
6/6, Eye Patch, image/png, false
6/7, Classic Shades, image/png, false
6/8, Regular Shades, image/png, false
6/9, Big Shades, image/png, false
6/10, Nerd Glasses, image/png, false
6/11, None, image/png, false
7/0, Spots, image/png, false
7/1, Mole, image/png, false
7/2, None, image/png, false
8/0, Beanie, image/png, false
8/1, Hoodie, image/png, false
8/2, Top Hat, image/png, false
8/3, Cowboy Hat, image/png, false
8/4, Vampire Hair, image/png, false
8/5, Clown Hair Green, image/png, false
8/6, Purple Hair, image/png, false
8/7, Fedora, image/png, false
8/8, Police Cap, image/png, false
8/9, Cap Forward, image/png, false
8/10, Cap, image/png, false
8/11, Peak Spike, image/png, false
8/12, Headband, image/png, false
8/13, Crazy Hair, image/png, false
8/14, Knitted Cap, image/png, false
8/15, Mohawk Dark, image/png, false
8/16, Mohawk Thin, image/png, false
8/17, Frumpy Hair, image/png, false
8/18, Wild Hair, image/png, false
8/19, Messy Hair, image/png, false
8/20, Stringy, image/png, false
8/21, Bandana, image/png, false
8/22, None, image/png, false
9/0, Choker, image/png, false
9/1, Gold Chain, image/png, false
9/2, Silver Chain, image/png, false
9/3, None, image/png, false
10/0, Buck Teeth, image/png, false
10/1, None, image/png, false
11/0, Alien, image/png, false
11/1, Ape, image/png, false
11/2, Zombie , image/png, false
11/3, Dos Phunks Albino, image/png, false
11/4, Dos Phunks Dark, image/png, false
11/5, Dos Phunks Mid, image/png, false
12/0, Black, image/png, false
12/1, White, image/png, false
12/2, Purple, image/png, false
12/3, Red, image/png, false
12/4, Yellow, image/png, false
12/5, Blue, image/png, false
