index, name, type, hide
0/0, UFO, image/svg+xml, false
0/1, Banana, image/svg+xml, false
0/2, Oo, image/svg+xml, false
0/3, Lightning, image/svg+xml, false
0/4, Taco, image/svg+xml, false
0/5, Idea, image/svg+xml, false
0/6, BTC, image/svg+xml, false
0/7, Kite, image/svg+xml, false
0/8, Winner, image/svg+xml, false
0/9, Pizza, image/svg+xml, false
0/10, UFO, image/svg+xml, false
0/11, ETH, image/svg+xml, false
0/12, Star, image/svg+xml, false
0/13, Balloon, image/svg+xml, false
0/14, Rocket, image/svg+xml, false
0/15, XO, image/svg+xml, false
0/16, Diamond, image/svg+xml, false
0/17, Luck, image/svg+xml, false
0/18, Heart, image/svg+xml, false
0/19, Zz, image/svg+xml, false
0/20, GM Coffee, image/svg+xml, false
0/21, La, image/svg+xml, false
0/22, GM Sun, image/svg+xml, false
0/23, Hi, image/svg+xml, false
0/24, LOL, image/svg+xml, false
0/25, Yo, image/svg+xml, false
0/26, OK, image/svg+xml, false
0/27, Ha, image/svg+xml, false
0/28, GN, image/svg+xml, false
0/29, None, image/svg+xml, false
1/0, Snorkel Mask, image/svg+xml, false
1/1, Monkey, image/svg+xml, false
1/2, Bubblegum, image/svg+xml, false
1/3, Goatee, image/svg+xml, false
1/4, Mustache, image/svg+xml, false
1/5, Meh, image/svg+xml, false
1/6, Tongue, image/svg+xml, false
1/7, Joy, image/svg+xml, false
1/8, Smile, image/svg+xml, false
1/9, Laugh, image/svg+xml, false
2/0, Alien, image/svg+xml, false
2/1, Snorkel Goggles, image/svg+xml, false
2/2, VR Headset, image/svg+xml, false
2/3, Ski Goggles, image/svg+xml, false
2/4, Orange Shades, image/svg+xml, false
2/5, Heart Glasses, image/svg+xml, false
2/6, Blue Shades, image/svg+xml, false
2/7, Glasses, image/svg+xml, false
2/8, Black Shades, image/svg+xml, false
2/9, Squint, image/svg+xml, false
2/10, Resting, image/svg+xml, false
2/11, Joyful, image/svg+xml, false
2/12, Open, image/svg+xml, false
2/13, Wink, image/svg+xml, false
3/0, Alien, image/svg+xml, false
3/1, Balloon, image/svg+xml, false
3/2, Robot, image/svg+xml, false
3/3, Bald, image/svg+xml, false
3/4, Blue Headband, image/svg+xml, false
3/5, Calamari, image/svg+xml, false
3/6, Space Helmet, image/svg+xml, false
3/7, Turkey, image/svg+xml, false
