index, name, type, hide
0/0, Gold Crazy, image/gif, false
0/1, Pink Crazy, image/gif, false
0/2, Blue Crazy, image/gif, false
0/3, Gold, image/gif, false
0/4, Pink, image/gif, false
0/5, Blue, image/gif, false
0/6, None, image/png, false
1/0, Rainbow, image/gif, false
1/1, Pipe, image/gif, false
1/2, Cigar, image/gif, false
1/3, Cigarette, image/gif, false
1/4, Missing Teeth, image/gif, false
1/5, Toothpick, image/gif, false
1/6, Tongue Out, image/gif, false
1/7, Drool, image/gif, false
1/8, Open Wide, image/gif, false
1/9, Open, image/gif, false
1/10, Smile, image/gif, false
2/0, Flames, image/gif, false
2/1, Blitmap Hat, image/gif, false
2/2, Flies, image/gif, false
2/3, Quixote Hat, image/gif, false
2/4, Monkey Hat, image/gif, false
2/5, Cheese Head, image/gif, false
2/6, E-Girl, image/gif, false
2/7, Floppy Hat, image/gif, false
2/8, Sun Wukong, image/gif, false
2/9, Third Eye, image/gif, false
2/10, Faustian, image/gif, false
2/11, Balapa Hat, image/gif, false
2/12, Clown Hair, image/gif, false
2/13, Leather Bandana, image/gif, false
2/14, Arrow, image/gif, false
2/15, Hungry Fish, image/gif, false
2/16, Brains, image/png, false
2/17, None, image/png, false
2/18, Full Brain, image/gif, false
3/0, Mf Doom, image/png, false
3/1, Nouns, image/png, false
3/2, Deal With It, image/png, false
3/3, Marilyn, image/png, false
3/4, Luchadores, image/png, false
3/5, Beard Black, image/png, false
3/6, Groucho, image/png, false
3/7, Beard Brown, image/png, false
3/8, Kongz Rainbow, image/png, false
3/9, Heart Eyes, image/png, false
3/10, Sun Glasses Blue, image/png, false
3/11, Hacker Heart Eyes, image/png, false
3/12, Glasses White, image/png, false
3/13, Glasses Red, image/png, false
3/14, Sun Glasses White, image/png, false
3/15, 3 D Glasses, image/png, false
3/16, None, image/png, false
4/0, Clown, image/png, false
4/1, Holes, image/png, false
4/2, Flat, image/png, false
4/3, Upturned, image/png, false
4/4, Droopy, image/png, false
4/5, Downturned, image/png, false
5/0, White, image/png, false
5/1, Beedy Bold Red, image/png, false
5/2, Beedy Red, image/png, false
5/3, Derpy Red, image/png, false
5/4, Beedy Bold, image/png, false
5/5, Beedy, image/png, false
5/6, Derpy, image/png, false
6/0, Blue Stripes, image/png, false
6/1, Purple Stripes, image/png, false
6/2, Green Stripes, image/png, false
6/3, Yellow Stripes, image/png, false
6/4, Orange Stripes, image/png, false
6/5, Peach Stripes, image/png, false
6/6, Red Stripes, image/png, false
6/7, Gray Stripes, image/png, false
6/8, Blue, image/png, false
6/9, Purple, image/png, false
6/10, Green, image/png, false
6/11, Yellow, image/png, false
6/12, Orange, image/png, false
6/13, Peach, image/png, false
6/14, Red, image/png, false
6/15, Gray, image/png, false
7/0, Gold, image/png, false
7/1, Green Pixels, image/png, false
7/2, Green, image/png, false
8/0, Warp Speed, image/gif, false
8/1, Sun, image/png, false
8/2, Gold Bricks, image/png, false
8/3, Grass, image/png, false
8/4, Peach, image/png, false
8/5, Red, image/png, false
8/6, Orange, image/png, false
8/7, Blue, image/png, false
8/8, Yellow, image/png, false
8/9, Green, image/png, false
8/10, Purple, image/png, false
8/11, Gray, image/png, false
