index, name, type, hide
0/0, Nouns, image/png, false
0/1, Red, image/png, false
0/2, Glasses, image/png, false
0/3, Orange, image/png, false
0/4, Blue, image/png, false
0/5, White, image/png, false
0/6, Dark, image/png, false
0/7, Novo, image/png, false
1/0, Fire, image/png, false
1/1, Dark, image/png, false
1/2, Brown, image/png, false
1/3, Red, image/png, false
1/4, Blue, image/png, false
1/5, Novo, image/png, false
2/0, Apple, image/png, false
2/1, Medical Mask, image/png, false
2/2, None, image/png, false
3/0, Skeleton, image/png, false
3/1, Alien, image/png, false
3/2, Zombie, image/png, false
3/3, Ape, image/png, false
3/4, Novo, image/png, false
4/0, Bookshelf, image/png, false
4/1, Chalkboard, image/png, false
4/2, Warp Speed, image/png, false
4/3, Sun, image/png, false
4/4, Punk, image/png, false
4/5, Wildblonde, image/png, false
4/6, Headband, image/png, false
4/7, 3D, image/png, false
4/8, Pinkwave, image/png, false
4/9, Purple, image/png, false
4/10, Peach, image/png, false
4/11, Red, image/png, false
4/12, Orange, image/png, false
4/13, Green, image/png, false
4/14, Novo, image/png, false
