index, name, type, hide
0/0, Banana Time, image/gif, false
0/1, Dark Side, image/gif, false
0/2, Junior, image/png, false
0/3, War Mech, image/png, false
0/4, The Champion, image/png, false
0/5, The Secretary, image/png, false
0/6, Village Hero, image/png, false
0/7, none, image/png, false
1/0, None, image/png, false
1/1, 1 of 1, image/png, true
1/2, King Crown, image/png, false
1/3, Bear Suit, image/png, false
1/4, Astronaut Suit, image/png, false
1/5, The Helmet, image/gif, false
1/6, Bananas!, image/gif, false
1/7, Penguin Hood, image/png, false
1/8, Devil Horns, image/gif, false
1/9, Pink Oversized Fash Hoodie, image/png, false
1/10, Oversized Fash Hoodie, image/png, false
1/11, Pirate Hat, image/png, false
1/12, Law Hat, image/png, false
1/13, Orange Beenie, image/png, false
1/14, Straw Hat, image/png, false
1/15, Sunflower Hat, image/png, false
1/16, Blit Bandana, image/png, false
1/17, Cat Ears, image/png, false
1/18, Purple Devil Horns, image/png, false
1/19, Bunny Ears, image/png, false
1/20, Artist Beret, image/png, false
1/21, Hair Bow, image/png, false
2/0, 1 OF 1, image/png, true
2/1, Trading Visor, image/gif, false
2/2, Analyzer Visor, image/gif, false
2/3, Neon Shades, image/gif, false
2/4, Snow Wipers, image/gif, false
2/5, Vibe Shades, image/gif, false
2/6, Cyber Monacle, image/png, false
2/7, 3D Glasses, image/png, false
2/8, Classics, image/png, false
2/9, None, image/png, false
3/0, 1 of 1, image/png, true
3/1, None, image/png, false
3/2, Buzz Cut, image/png, false
3/3, Golden Warrior, image/gif, false
3/4, Bulma, image/png, false
3/5, Fade, image/png, false
3/6, Afro, image/png, false
3/7, Miami Vice, image/png, false
3/8, Black Bob, image/png, false
3/9, Caesar Cut Pink, image/png, false
3/10, Swoop Pink, image/png, false
3/11, Flat Top, image/png, false
3/12, Pony Tail, image/png, false
3/13, Swoop Blonde, image/png, false
3/14, Swoop Brunette, image/png, false
3/15, Caesar Cut Blond, image/png, false
3/16, Caesar Cut Brunette, image/png, false
4/0, 1 of 1, image/png, true
4/1, Pipe, image/gif, false
4/2, Broken Tooth, image/gif, false
4/3, Drool, image/gif, false
4/4, Glitch Beard, image/png, false
4/5, Sad, image/png, false
4/6, Beard, image/png, false
4/7, Happy, image/png, false
4/8, A H, image/png, false
4/9, O H, image/png, false
5/0, 1 of 1, image/png, true
5/1, Fire Emoji, image/png, false
5/2, Rainbow Eyes, image/gif, false
5/3, Cucumbers, image/png, false
5/4, Surpised, image/png, false
5/5, Intense Red, image/png, false
5/6, Calm Green, image/png, false
5/7, Intense Green, image/png, false
5/8, Intense Blue, image/png, false
5/9, Calm Blue, image/png, false
5/10, Intense Brown, image/png, false
5/11, Calm Brown, image/png, false
6/0, 1 of 1, image/png, true
6/1, Gold Head, image/gif, false
6/2, Bionic, image/gif, false
6/3, Zombie, image/png, false
6/4, Brown, image/png, false
6/5, White, image/png, false
7/0, 1 of 1, image/png, true
7/1, Icy Hoodie, image/png, false
7/2, Wackdonalds, image/png, false
7/3, Detective, image/png, false
7/4, Penguin Jacket, image/png, false
7/5, Tek Vest Green And Purple, image/png, false
7/6, Meta Suit Blue, image/png, false
7/7, Tek Vest OG, image/png, false
7/8, Moto Jacket, image/png, false
7/9, Suspenders, image/png, false
7/10, Developer Hoodie Red, image/png, false
7/11, Hipster Cross Body Lime Green, image/png, false
7/12, Developer Hoodie Blue, image/png, false
7/13, Pink Zip Up, image/png, false
7/14, Bear Sweater, image/png, false
7/15, Hipster Cross Body Orange, image/png, false
7/16, Meta Suit Green, image/png, false
7/17, Overalls, image/png, false
7/18, White Windbreaker, image/png, false
7/19, Hipster Cross Body Blue, image/png, false
8/0, 1 of 1, image/png, true
8/1, Binary, image/png, false
8/2, ASCII, image/png, false
8/3, 1 BIT, image/png, false
8/4, City Night, image/png, false
8/5, Muted Vermillion Tiles, image/png, false
8/6, Obsidian Tiles, image/png, false
8/7, Digital Screen, image/png, false
8/8, Cherry Gradient, image/png, false
8/9, Lime Gradient, image/png, false
8/10, Banana Gradient, image/png, false
8/11, Dragon Fruit Gradient, image/png, false
8/12, OCP Green, image/png, false
8/13, Tang, image/png, false
8/14, Sky Blue, image/png, false
8/15, Blue Razz Gradient, image/png, false
