index, name, type, hide
0/0, Coffe Golden, image/png, false
0/1, Blood, image/png, false
0/2, Chia Sprouts, image/png, false
0/3, Drool, image/png, false
0/4, Rainbow, image/png, false
0/5, Joint, image/png, false
0/6, Bowtie Red, image/png, false
0/7, Caesar, image/png, false
0/8, Cigarette, image/png, false
0/9, Cozy, image/png, false
0/10, Pipe, image/png, false
0/11, Vape Menthol, image/png, false
0/12, Vape Tobacco, image/png, false
0/13, Wizard, image/png, false
0/14, Coffee Red, image/png, false
0/15, Coffee White, image/png, false
0/16, None, image/png, false
1/0, Rune Black , image/png, false
1/1, Rune Red, image/png, false
1/2, Rune Blue, image/png, false
1/3, Rune Green, image/png, false
1/4, Sparkles Golden, image/png, false
1/5, Bubbles, image/png, false
1/6, Flies, image/png, false
1/7, Honeybees, image/png, false
1/8, Rage, image/png, false
1/9, Sparkles Blue, image/png, false
1/10, None, image/png, false
2/0, Crown King Golden, image/png, false
2/1, Crown Queen Golden, image/png, false
2/2, Earring Golden, image/png, false
2/3, Halo Golden, image/png, false
2/4, Laser Golden Blue, image/png, false
2/5, Laser Golden Red, image/png, false
2/6, Noggle Golden, image/png, false
2/7, Wine Blanco, image/png, false
2/8, Wine Abruzzi, image/png, false
2/9, Bashful, image/png, false
2/10, Clown Makeup, image/png, false
2/11, Eyepatch, image/png, false
2/12, Headband Yacht Club, image/png, false
2/13, Laser Chrome Blue, image/png, false
2/14, Laser Chrome Red, image/png, false
2/15, Max Bidding, image/png, false
2/16, Punk Pink, image/png, false
2/17, Rubber Duck, image/png, false
2/18, Tears, image/png, false
2/19, Tiny Dino Pepe, image/png, false
2/20, Noggle Chrome, image/png, false
2/21, Deal With It Shades, image/png, false
2/22, Headband Trippy, image/png, false
2/23, Wizard, image/png, false
2/24, White Hat, image/png, false
2/25, Whirl Beanie, image/png, false
2/26, Turban Blue, image/png, false
2/27, Ash Hat, image/png, false
2/28, Bandana, image/png, false
2/29, Black Hat, image/png, false
2/30, Chef Hat, image/png, false
2/31, Clown, image/png, false
2/32, Cowboy Hat, image/png, false
2/33, Farmer, image/png, false
2/34, New Era Hat WSH, image/png, false
2/35, Gray Hat, image/png, false
2/36, Q Hat, image/png, false
2/37, New Era Hat BAL, image/png, false
2/38, New Era Hat COL, image/png, false
2/39, New Era Hat DET, image/png, false
2/40, New Era Hat FLA, image/png, false
2/41, New Era Hat LA, image/png, false
2/42, New Era Hat OAK, image/png, false
2/43, New Era Hat NYM, image/png, false
2/44, New Era Hat NYY, image/png, false
2/45, New Era Hat PIT, image/png, false
2/46, New Era Hat PHI , image/png, false
2/47, New Era Hat PHI TB, image/png, false
2/48, New Era Hat TEX, image/png, false
2/49, New Era Hat WSH, image/png, false
2/50, Party Hat, image/png, false
2/51, Pirate Hat, image/png, false
2/52, Police, image/png, false
2/53, Punk Beanie, image/png, false
2/54, Punk Hat, image/png, false
2/55, Punk Mohawk, image/png, false
2/56, Santa Hat, image/png, false
2/57, Toad, image/png, false
2/58, Front WTF, image/png, false
2/59, Turban Red, image/png, false
2/60, None, image/png, false
3/0, Golden, image/png, false
3/1, Blue, image/png, false
3/2, Crossed, image/png, false
3/3, Down, image/png, false
3/4, Red, image/png, false
3/5, Up, image/png, false
3/6, Left, image/png, false
3/7, Right, image/png, false
4/0, Golden, image/png, false
4/1, Blue, image/png, false
4/2, Orange, image/png, false
4/3, Pink, image/png, false
4/4, Purple, image/png, false
4/5, Red, image/png, false
4/6, White, image/png, false
4/7, Yellow, image/png, false
4/8, Teal, image/png, false
4/9, Brown, image/png, false
4/10, Gray, image/png, false
4/11, Green, image/png, false
5/0, Golden, image/png, false
5/1, Yellow, image/png, false
5/2, White, image/png, false
5/3, Red, image/png, false
5/4, Purple, image/png, false
5/5, Pink, image/png, false
5/6, Orange, image/png, false
5/7, Blue, image/png, false
5/8, Gray, image/png, false
5/9, Teal, image/png, false
5/10, Brown, image/png, false
5/11, Green, image/png, false
