index, name, type, hide
0/0, Bubble Gum, image/png, false
0/1, No Trait 2, image/png, false
1/0, Big Shades, image/png, false
1/1, Nerds Glasses, image/png, false
1/2, No Trait 2, image/png, false
1/3, Pirate Patch, image/png, false
1/4, Deal With It, image/png, false
1/5, VR, image/png, false
1/6, Smol 3D Low, image/png, false
1/7, No Trait 2, image/png, false
1/8, Smol 3D, image/png, false
1/9, Big 3D, image/png, false
1/10, No Trait 2, image/png, false
2/0, Juice, image/png, false
2/1, Spoon, image/png, false
2/2, Mediaeval, image/png, false
2/3, Sword, image/png, false
2/4, No Trait 2, image/png, false
2/5, Gold Chain, image/png, false
2/6, Mike Three Low Hoody, image/png, false
3/0, Fire, image/png, false
3/1, Pink Mohawk, image/png, false
3/2, Multicolor Mohawk, image/png, false
3/3, Sombrero Violet, image/png, false
3/4, Sombrero Purple, image/png, false
3/5, Sombrero Pink, image/png, false
3/6, No Trait 2, image/png, false
3/7, Sombrero Blue, image/png, false
3/8, Maccas Black, image/png, false
3/9, Maccas Red, image/png, false
3/10, Hoody, image/png, false
3/11, Knitted Cap, image/png, false
3/12, Black Afro, image/png, false
3/13, Violet Afro, image/png, false
3/14, Pink Dreads, image/png, false
3/15, Multicolor Afro, image/png, false
3/16, Yellow Dreads, image/png, false
3/17, Fuchsia Afro, image/png, false
4/0, Tounge, image/png, false
4/1, Frown, image/png, false
4/2, No Trait 2, image/png, false
4/3, Buck Tooth, image/png, false
4/4, Big Smile, image/png, false
4/5, Smile, image/png, false
4/6, Mouth, image/png, false
5/0, Ape, image/png, false
5/1, Alien, image/png, false
5/2, Zombro, image/png, false
5/3, Hot, image/png, false
5/4, Violet, image/png, false
5/5, More Orange, image/png, false
5/6, Orange, image/png, false
5/7, Frog, image/png, false
5/8, Teal, image/png, false
5/9, Bubble Gum, image/png, false
5/10, Ice, image/png, false
5/11, Different Frog, image/png, false
5/12, Green, image/png, false
6/0, Violet Spots, image/png, false
6/1, Blue Spots, image/png, false
6/2, Light Green Spots, image/png, false
6/3, Pink Cotton, image/png, false
6/4, Pistachio, image/png, false
6/5, Phunk Blue, image/png, false
6/6, Violet Blue, image/png, false
6/7, Celeste, image/png, false
6/8, Pastel Yellow, image/png, false
6/9, Violet, image/png, false
6/10, Green Dark, image/png, false
6/11, Low Green, image/png, false
6/12, Low Lime, image/png, false
