index, name, type, hide
0/0, None, image/png, true
0/1, Glitch, image/png, true
0/2, Ninja, image/png, true
0/3, Blink2, image/png, false
0/4, Blink1, image/png, false
0/5, Blink3, image/png, false
0/6, Anomaly, image/png, false
0/7, Green Imposter, image/png, true
0/8, Yellow Imposter, image/png, true
0/9, Blue Imposter, image/png, true
0/10, Red Imposter, image/png, true
0/11, Super BON, image/png, false
1/0, None, image/png, true
1/1, Wooden Stick, image/png, false
1/2, Flashlight, image/png, false
1/3, Banana, image/png, false
1/4, Flower, image/png, false
1/5, Cutlas, image/png, false
1/6, Magic Wand, image/png, false
1/7, Lollipop, image/png, false
1/8, Blue Lightsaber, image/png, false
1/9, Christmas Tree, image/png, false
1/10, Staff, image/png, false
1/11, Pink Tube, image/png, false
1/12, Green Lightsaber, image/png, false
1/13, Devil's Pitchfork, image/png, false
1/14, Knife, image/png, false
1/15, Red Lightsaber, image/png, false
1/16, Knife, image/png, false
1/17, Bomb, image/png, false
1/18, Devil's Pitchfork, image/png, false
1/19, Bomb, image/png, false
1/20, Live Bomb, image/png, false
1/21, Live Bomb, image/png, false
1/22, Pink Tube, image/png, false
1/23, Pink Tube, image/png, false
1/24, Pink Tube, image/png, false
1/25, Knife, image/png, false
1/26, Flower, image/png, false
1/27, Red Lightsaber, image/png, false
1/28, None (Glitch), image/png, true
1/29, Crimson Shuriken, image/png, false
2/0, None1, image/png, true
2/1, Bubblegum, image/png, true
2/2, Old Fashioned, image/png, true
2/3, Gas Mask, image/png, true
2/4, Rainbow, image/png, true
2/5, Bunny Suit, image/png, true
2/6, Rainbow Gold, image/png, true
2/7, None (Glitch), image/png, true
2/8, None (Ninja), image/png, true
2/9, None, image/png, true
2/10, None, image/png, true
3/0, None, image/png, true
3/1, Gray Onesie, image/png, false
3/2, Green Onesie, image/png, false
3/3, Blue Onesie, image/png, false
3/4, Red Onesie, image/png, false
3/5, Orange Onesie, image/png, false
3/6, Yellow Onesie, image/png, false
3/7, None (Glitch), image/png, true
3/8, None (Gas Mask), image/png, true
3/9, None (Bunny Suit), image/png, true
3/10, None (Ninja), image/png, true
4/0, None, image/png, false
4/1, Clear, image/png, false
4/2, Nerdy, image/png, false
4/3, Sly, image/png, false
4/4, Purple Tint, image/png, false
4/5, Browne, image/png, false
4/6, 3 D, image/png, false
4/7, Rose Gold, image/png, false
4/8, Googley, image/png, false
4/9, Blind, image/png, false
4/10, Shades, image/png, false
4/11, Pixelated, image/png, false
4/12, XX, image/png, false
4/13, Single Frame, image/png, false
4/14, Nounish Blue, image/png, false
