index, name, type, hide
0/0, Clown, image/png, false
0/1, nose nose , image/png, false
0/2, round, image/png, false
0/3, long, image/png, false
0/4, snub, image/png, false
1/0, laser eyes , image/gif, false
1/1, red nouns glasses, image/png, false
1/2, Cyborg, image/png, false
1/3, White sunnies, image/png, false
1/4, Glitch eyes , image/gif, false
1/5, nouns eyes, image/png, false
1/6, big eyes, image/png, false
1/7, Bloodshot, image/png, false
1/8, Square inverse , image/png, false
1/9, Toadz eyes, image/png, false
1/10, blue nouns, image/png, false
1/11, Square, image/png, false
1/12, 3D glasses, image/png, false
1/13, green nouns glasses, image/png, false
1/14, pirate patch, image/png, false
1/15, sunnies , image/png, false
1/16, sunnies, image/gif, false
1/17, Square glitch, image/gif, false
1/18, Blue eyes, image/png, false
1/19, Normal, image/png, false
2/0, rainbow, image/gif, false
2/1, Blushing, image/gif, false
2/2, freckles, image/png, false
2/3, Red, image/png, false
2/4, Pink , image/png, false
2/5, Flashing, image/gif, false
2/6, none, image/png, false
3/0, cigar, image/gif, false
3/1, dribble, image/gif, false
3/2, Pill, image/gif, false
3/3, Rainbow , image/gif, false
3/4, Tongue Poke , image/gif, false
3/5, none, image/gif, false
4/0, Bright yellow smiley, image/png, false
4/1, panda smiley, image/png, false
4/2, skelly, image/png, false
4/3, stripey animated, image/gif, false
4/4, Squish, image/png, false
4/5, stripey, image/png, false
4/6, Smiley , image/png, false
5/0, "#1", image/png, false
5/1, "#2", image/png, false
5/2, none, image/png, false
6/0, sun rays, image/gif, false
6/1, glitch, image/gif, false
6/2, bad TV, image/gif, false
6/3, stars, image/gif, false
6/4, levels, image/gif, false
6/5, None, image/png, false
7/0, Blue, image/png, false
7/1, Pink, image/png, false
7/2, Smiley yellow , image/png, false
7/3, Bright yellow , image/png, false
