index, name, type, hide
0/0, Nouns Glasses, image/png, false
0/1, C Form, image/png, false
0/2, Blue, image/png, false
0/3, Green, image/png, false
0/4, 3D Glasses, image/png, false
0/5, Eye Mask, image/png, false
0/6, VR, image/png, false
0/7, Small Shades, image/png, false
0/8, Eye Patch, image/png, false
0/9, Classic Shades, image/png, false
0/10, Regular Shades, image/png, false
0/11, Horn Rim Glasses, image/png, false
0/12, Big Shades, image/png, false
0/13, Nerd Glasses, image/png, false
0/14, Black, image/png, false
1/0, Forbidden Helmet, image/png, false
1/1, Crown, image/png, false
1/2, Beanie, image/png, false
1/3, Pilot Helmet, image/png, false
1/4, Tiara, image/png, false
1/5, Top Hat, image/png, false
1/6, Orange Side, image/png, false
1/7, Welding Goggles, image/png, false
1/8, Blond Ribbon, image/png, false
1/9, Cowboy Hat, image/png, false
1/10, Mohawk Red, image/png, false
1/11, Straight Blonde Hair, image/png, false
1/12, Pink Ribbon, image/png, false
1/13, Straight Hair, image/png, false
1/14, Black Ribbon, image/png, false
1/15, Half Shaved, image/png, false
1/16, Straight Dark Hair, image/png, false
1/17, Tassle Hat, image/png, false
1/18, Dark Hair, image/png, false
1/19, Purple Hair, image/png, false
1/20, Cap Forward, image/png, false
1/21, Fedora, image/png, false
1/22, Police Cap, image/png, false
1/23, Do Rag, image/png, false
1/24, Hoodie, image/png, false
1/25, Cap, image/png, false
1/26, Peak Spike, image/png, false
1/27, Knitted Cap, image/png, false
1/28, Mohawk Dark, image/png, false
1/29, Headband, image/png, false
1/30, Mohawk, image/png, false
1/31, Crazy Hair, image/png, false
1/32, Frumpy Hair, image/png, false
1/33, Mohawk Thin, image/png, false
1/34, Wild Hair, image/png, false
1/35, Bandana, image/png, false
1/36, Messy Hair, image/png, false
1/37, Stringy Hair, image/png, false
1/38, None, image/png, false
2/0, Rose, image/png, false
2/1, Buck Teeth, image/png, false
2/2, Pacifier, image/png, false
2/3, Medical Mask, image/png, false
2/4, Clown Nose, image/png, false
2/5, Frown, image/png, false
2/6, Flute, image/png, false
2/7, Smile, image/png, false
2/8, Milky Lips, image/png, false
2/9, Chocolate Lips, image/png, false
2/10, Tounge Out, image/png, false
2/11, Normal, image/png, false
3/0, Fluffi, image/png, false
3/1, Crystal Ball, image/png, false
3/2, Choker, image/png, false
3/3, Gold Chain, image/png, false
3/4, Silver Chain, image/png, false
3/5, Earring, image/png, false
3/6, None, image/png, false
4/0, Rosy Cheek, image/png, false
4/1, Spots, image/png, false
4/2, Mole, image/png, false
4/3, None, image/png, false
5/0, Alien, image/png, false
5/1, Ape, image/png, false
5/2, Zombie, image/png, false
5/3, Black, image/png, false
5/4, Gojo, image/png, false
5/5, Jaas, image/png, false
5/6, Nani, image/png, false
5/7, Polar, image/png, false
5/8, Qubo, image/png, false
5/9, Teddy, image/png, false
6/0, Chain Runners, image/png, false
6/1, OKPC, image/png, false
6/2, Alien, image/png, false
6/3, Ape, image/png, false
6/4, Zombie, image/png, false
6/5, Boy, image/png, false
6/6, Girl, image/png, false
