path, category, name, more_names
0_elites/0_leading_scientist.png, Elites, Elites : Leading Scientist, Leading Scientist
0_elites/1_watermelon_emoji_x_3.png, Elites, Elites : Watermelon Emoji x 3, Watermelon Emoji x 3
0_elites/2_not_elite.png, Elites, Elites : Not Elite, Not Elite
1_accessory/0_devs_caught_sleeping.png, Accessory, Accessory : devs caught sleeping, devs caught sleeping
1_accessory/1_flexin_that_nomad_money.png, Accessory, Accessory : Flexin That Nomad Money, Flexin That Nomad Money
1_accessory/2_beanie_orhcestrated_this.png, Accessory, Accessory : Beanie Orhcestrated This, Beanie Orhcestrated This
1_accessory/3_nomad_hunter.png, Accessory, Accessory : Nomad Hunter, Nomad Hunter
1_accessory/4_you_are_fucked_mate.png, Accessory, Accessory : You Are Fucked Mate, You Are Fucked Mate
1_accessory/5_jacked_in_for_the_hack.png, Accessory, Accessory : Jacked in for The Hack, Jacked in for The Hack
1_accessory/6_clown_hair_aka_nomad_hair.png, Accessory, Accessory : Clown Hair aka. Nomad hair, Clown Hair aka. Nomad hair
1_accessory/7_basement_dwellin.png, Accessory, Accessory : Basement Dwellin, Basement Dwellin
1_accessory/8_slurrrp.png, Accessory, Accessory : slurrrp, slurrrp
1_accessory/9_these_glasses_will_disguise_my_public_ens_right.png, Accessory, Accessory : these glasses will disguise my public ens right, these glasses will disguise my public ens right
1_accessory/10_vape.png, Accessory, Accessory : Vape, Vape
1_accessory/11_smoking.png, Accessory, Accessory : Smoking, Smoking
1_accessory/12_held_ransom.png, Accessory, Accessory : Held Ransom, Held Ransom
1_accessory/13_pipe.png, Accessory, Accessory : Pipe, Pipe
1_accessory/14_how_could_the_sec_let_this_happen.png, Accessory, Accessory : how could the SEC let this happen?, how could the SEC let this happen?
1_accessory/15_horny.png, Accessory, Accessory : Horny, Horny
1_accessory/16_bearded.png, Accessory, Accessory : Bearded, Bearded
1_accessory/17_strapped_in.png, Accessory, Accessory : Strapped In, Strapped In
1_accessory/18_malding.png, Accessory, Accessory : Malding, Malding
1_accessory/19_wild_hair.png, Accessory, Accessory : Wild Hair, Wild Hair
1_accessory/20_mohawkin.png, Accessory, Accessory : Mohawkin, Mohawkin
