index, dist, name, type, hide
0/0, 1, Leading Scientist, image/png, false
0/1, 1, Watermelon Emoji x 3, image/png, false
0/2, 4998, Not Elite, image/png, false
1/0, 5, devs caught sleeping, image/png, false
1/1, 10, Flexin That Nomad Money, image/png, false
1/2, 25, Beanie Orhcestrated This, image/png, false
1/3, 25, Nomad Hunter, image/png, false
1/4, 25, You Are Fucked Mate, image/png, false
1/5, 69, Jacked in for The Hack, image/png, false
1/6, 100, Clown Hair aka. Nomad hair, image/png, false
1/7, 125, Basement Dwellin, image/png, false
1/8, 125, slurrrp, image/png, false
1/9, 125, these glasses will disguise my public ens right, image/png, false
1/10, 150, Vape, image/png, false
1/11, 150, Smoking, image/png, false
1/12, 150, Held Ransom, image/png, false
1/13, 200, Pipe, image/png, false
1/14, 250, how could the SEC let this happen?, image/png, false
1/15, 250, Horny, image/png, false
1/16, 250, Bearded, image/png, false
1/17, 300, Strapped In, image/png, false
1/18, 400, Malding, image/png, false
1/19, 400, Wild Hair, image/png, false
1/20, 666, Mohawkin, image/png, false
1/21, 1200, learn to code next time. nothing for you., image/png, false
2/0, 50, Babe Were Moving To Bali, image/png, false
2/1, 140, I WILL RETURN THE FUNDS I PROMISE PLS DONT ARREST ME, image/png, false
2/2, 243, REEEEEEEEEEEEEEE, image/png, false
2/3, 344, I SWEAR I WAS JUST TESTING IT OUT, image/png, false
2/4, 464, I AM NOT F ING MAD, image/png, false
2/5, 603, REALLY NO MAD, image/png, false
2/6, 623, No Really No Mad, image/png, false
2/7, 765, No Mad, image/png, false
2/8, 1768, Just Observing, image/png, false
3/0, 98, Laser, image/png, false
3/1, 111, Up All Night Draining Funds, image/png, false
3/2, 443, Money In Your Eyes, image/png, false
3/3, 461, Blue, image/png, false
3/4, 496, White, image/png, false
3/5, 688, Purple, image/png, false
3/6, 832, Green, image/png, false
3/7, 1871, No Mad Eyes, image/png, false
4/0, 5, Alien, image/png, false
4/1, 25, Ape, image/png, false
4/2, 50, Zombie, image/png, false
4/3, 695, Male 6, image/png, false
4/4, 745, Male 5, image/png, false
4/5, 795, Male 4, image/png, false
4/6, 845, Male 3, image/png, false
4/7, 895, Male 2, image/png, false
4/8, 945, Male 1, image/png, false
5/0, 35, Hacking Into The Nomad, image/png, false
5/1, 74, Sun, image/png, false
5/2, 116, RIP nomad, image/png, false
5/3, 121, Straight Hackin, image/png, false
5/4, 130, Chain Runners BG 5, image/png, false
5/5, 133, Chain Runners BG 3, image/png, false
5/6, 151, Chain Runners BG 2, image/png, false
5/7, 185, Chain Runners BG 1, image/png, false
5/8, 349, Chain Runners BG 4, image/png, false
5/9, 450, Over the rainbow bridge for nomad bridge, image/png, false
5/10, 571, Dark Plain, image/png, false
5/11, 577, In the Swamp, image/png, false
5/12, 759, Plain 2, image/png, false
5/13, 1349, Plain, image/png, false
