id, category, name, more_names
0, Elites, Elites : Leading Scientist, Leading Scientist
1, Elites, Elites : Watermelon Emoji x 3, Watermelon Emoji x 3
2, Elites, Elites : Not Elite, Not Elite
3, Accessory, Accessory : devs caught sleeping, devs caught sleeping
4, Accessory, Accessory : Flexin That Nomad Money, Flexin That Nomad Money
5, Accessory, Accessory : Beanie Orhcestrated This, Beanie Orhcestrated This
6, Accessory, Accessory : Nomad Hunter, Nomad Hunter
7, Accessory, Accessory : You Are Fucked Mate, You Are Fucked Mate
8, Accessory, Accessory : Jacked in for The Hack, Jacked in for The Hack
9, Accessory, Accessory : Clown Hair aka. Nomad hair, Clown Hair aka. Nomad hair
10, Accessory, Accessory : Basement Dwellin, Basement Dwellin
11, Accessory, Accessory : slurrrp, slurrrp
12, Accessory, Accessory : these glasses will disguise my public ens right, these glasses will disguise my public ens right
13, Accessory, Accessory : Vape, Vape
14, Accessory, Accessory : Smoking, Smoking
15, Accessory, Accessory : Held Ransom, Held Ransom
16, Accessory, Accessory : Pipe, Pipe
17, Accessory, Accessory : how could the SEC let this happen?, how could the SEC let this happen?
18, Accessory, Accessory : Horny, Horny
19, Accessory, Accessory : Bearded, Bearded
20, Accessory, Accessory : Strapped In, Strapped In
21, Accessory, Accessory : Malding, Malding
22, Accessory, Accessory : Wild Hair, Wild Hair
23, Accessory, Accessory : Mohawkin, Mohawkin
24, Accessory, Accessory : learn to code next time. nothing for you., learn to code next time. nothing for you.
25, Emotion, Emotion : Babe Were Moving To Bali, Babe Were Moving To Bali
26, Emotion, Emotion : I WILL RETURN THE FUNDS I PROMISE PLS DONT ARREST ME, I WILL RETURN THE FUNDS I PROMISE PLS DONT ARREST ME
27, Emotion, Emotion : REEEEEEEEEEEEEEE, REEEEEEEEEEEEEEE
28, Emotion, Emotion : I SWEAR I WAS JUST TESTING IT OUT, I SWEAR I WAS JUST TESTING IT OUT
29, Emotion, Emotion : I AM NOT F ING MAD, I AM NOT F ING MAD
30, Emotion, Emotion : REALLY NO MAD, REALLY NO MAD
31, Emotion, Emotion : No Really No Mad, No Really No Mad
32, Emotion, Emotion : No Mad, No Mad
33, Emotion, Emotion : Just Observing, Just Observing
34, Eyes, Eyes : Laser, Laser
35, Eyes, Eyes : Up All Night Draining Funds, Up All Night Draining Funds
36, Eyes, Eyes : Money In Your Eyes, Money In Your Eyes
37, Eyes, Eyes : Blue, Blue
38, Eyes, Eyes : White, White
39, Eyes, Eyes : Purple, Purple
40, Eyes, Eyes : Green, Green
41, Eyes, Eyes : No Mad Eyes, No Mad Eyes
42, No Mad Type, No Mad Type : Alien, Alien
43, No Mad Type, No Mad Type : Ape, Ape
44, No Mad Type, No Mad Type : Zombie, Zombie
45, No Mad Type, No Mad Type : Male 6, Male 6
46, No Mad Type, No Mad Type : Male 5, Male 5
47, No Mad Type, No Mad Type : Male 4, Male 4
48, No Mad Type, No Mad Type : Male 3, Male 3
49, No Mad Type, No Mad Type : Male 2, Male 2
50, No Mad Type, No Mad Type : Male 1, Male 1
51, Background, Background : Hacking Into The Nomad, Hacking Into The Nomad
52, Background, Background : Sun, Sun
53, Background, Background : RIP nomad, RIP nomad
54, Background, Background : Straight Hackin, Straight Hackin
55, Background, Background : Chain Runners BG 5, Chain Runners BG 5
56, Background, Background : Chain Runners BG 3, Chain Runners BG 3
57, Background, Background : Chain Runners BG 2, Chain Runners BG 2
58, Background, Background : Chain Runners BG 1, Chain Runners BG 1
59, Background, Background : Chain Runners BG 4, Chain Runners BG 4
60, Background, Background : Over the rainbow bridge for nomad bridge, Over the rainbow bridge for nomad bridge
61, Background, Background : Dark Plain, Dark Plain
62, Background, Background : In the Swamp, In the Swamp
63, Background, Background : Plain 2, Plain 2
64, Background, Background : Plain, Plain
