path, category, name, more_names
0_legendaries/0_creature_pepe.png, Legendaries, Legendaries : Creature Pepe, Creature Pepe
0_legendaries/1_fvck_pepe.png, Legendaries, Legendaries : Fvck_Pepe, Fvck_Pepe
0_legendaries/2_chopper.png, Legendaries, Legendaries : Chopper, Chopper
0_legendaries/3_doodle_pepe.png, Legendaries, Legendaries : Doodle Pepe, Doodle Pepe
0_legendaries/4_pauly.png, Legendaries, Legendaries : Pauly, Pauly
0_legendaries/5_xcopepe.png, Legendaries, Legendaries : Xcopepe, Xcopepe
0_legendaries/6_cool_pepe.png, Legendaries, Legendaries : Cool Pepe, Cool Pepe
0_legendaries/7_pepe_frens.png, Legendaries, Legendaries : Pepe Frens, Pepe Frens
0_legendaries/8_jason_marc.png, Legendaries, Legendaries : Jason Marc, Jason Marc
0_legendaries/9_kenobi.png, Legendaries, Legendaries : Kenobi, Kenobi
0_legendaries/10_wiiide_pepe.png, Legendaries, Legendaries : Wiiide Pepe, Wiiide Pepe
0_legendaries/11_none.png, Legendaries, Legendaries : None,
1_mouth/0_pipe.png, Mouth, Mouth : Pipe, Pipe
1_mouth/1_vape.png, Mouth, Mouth : Vape, Vape
1_mouth/2_cig.png, Mouth, Mouth : Cig, Cig
1_mouth/3_none.png, Mouth, Mouth : None,
2_eyewear/0_3d.png, Eyewear, Eyewear : 3D, 3D
2_eyewear/1_vr.png, Eyewear, Eyewear : VR, VR
2_eyewear/2_nouns_glasses_(yellow).png, Eyewear, Eyewear : Nouns Glasses (Yellow), Nouns Glasses (Yellow)
2_eyewear/3_nouns_glasses_(blue).png, Eyewear, Eyewear : Nouns Glasses (Blue), Nouns Glasses (Blue)
2_eyewear/4_nouns_glasses_(red).png, Eyewear, Eyewear : Nouns Glasses (Red), Nouns Glasses (Red)
2_eyewear/5_rose-colored_sunglasses.png, Eyewear, Eyewear : Rose-Colored Sunglasses, Rose-Colored Sunglasses
2_eyewear/6_big_shaes.png, Eyewear, Eyewear : Big Shaes, Big Shaes
2_eyewear/7_hipster_glasses.png, Eyewear, Eyewear : Hipster Glasses, Hipster Glasses
2_eyewear/8_deal_with_it_sunglasses.png, Eyewear, Eyewear : Deal With It Sunglasses, Deal With It Sunglasses
2_eyewear/9_cazal_glasses.png, Eyewear, Eyewear : Cazal Glasses, Cazal Glasses
2_eyewear/10_sunglasses.png, Eyewear, Eyewear : Sunglasses, Sunglasses
2_eyewear/11_none.png, Eyewear, Eyewear : None,
3_nose/0_clown_nose.png, Nose, Nose : Clown Nose, Clown Nose
3_nose/1_none.png, Nose, Nose : None,
4_headwear/0_dickbutt_cap.png, Headwear, Headwear : Dickbutt Cap, Dickbutt Cap
4_headwear/1_squiggs.png, Headwear, Headwear : Squiggs, Squiggs
4_headwear/2_police_hat.png, Headwear, Headwear : Police Hat, Police Hat
4_headwear/3_brains.png, Headwear, Headwear : Brains, Brains
4_headwear/4_tiara.png, Headwear, Headwear : Tiara, Tiara
4_headwear/5_gremps.png, Headwear, Headwear : Gremps, Gremps
4_headwear/6_bow.png, Headwear, Headwear : Bow, Bow
4_headwear/7_purple_flower.png, Headwear, Headwear : Purple Flower, Purple Flower
4_headwear/8_pirates_hat.png, Headwear, Headwear : Pirate's Hat, Pirate's Hat
4_headwear/9_witchs_hat.png, Headwear, Headwear : Witch's Hat, Witch's Hat
4_headwear/10_top_hat.png, Headwear, Headwear : Top Hat, Top Hat
4_headwear/11_mohawk_(pink).png, Headwear, Headwear : Mohawk (Pink), Mohawk (Pink)
4_headwear/12_aviators_cap.png, Headwear, Headwear : Aviator's Cap, Aviator's Cap
4_headwear/13_cowboy_hat.png, Headwear, Headwear : Cowboy Hat, Cowboy Hat
4_headwear/14_wizards_hat.png, Headwear, Headwear : Wizard's Hat, Wizard's Hat
4_headwear/15_orange_crazy_hair.png, Headwear, Headwear : Orange Crazy Hair, Orange Crazy Hair
4_headwear/16_queens_crown.png, Headwear, Headwear : Queen's Crown, Queen's Crown
4_headwear/17_captains_hat.png, Headwear, Headwear : Captain's Hat, Captain's Hat
4_headwear/18_dancing_flame.png, Headwear, Headwear : Dancing Flame, Dancing Flame
4_headwear/19_halo.png, Headwear, Headwear : Halo, Halo
4_headwear/20_cloud.png, Headwear, Headwear : Cloud, Cloud
4_headwear/21_space_helmet.png, Headwear, Headwear : Space Helmet, Space Helmet
4_headwear/22_flame.png, Headwear, Headwear : Flame, Flame
4_headwear/23_purple_crazy_hair.png, Headwear, Headwear : Purple Crazy Hair, Purple Crazy Hair
4_headwear/24_headband.png, Headwear, Headwear : Headband, Headband
4_headwear/25_forest_ranger.png, Headwear, Headwear : Forest Ranger, Forest Ranger
4_headwear/26_mohawk_(purple).png, Headwear, Headwear : Mohawk (Purple), Mohawk (Purple)
