index, dist, name, type, hide
0/0, 1, Creature Pepe , image/png, false
0/1, 1, Fvck_Pepe, image/png, false
0/2, 1, Chopper, image/png, false
0/3, 1, Doodle Pepe , image/png, false
0/4, 1, Pauly, image/png, false
0/5, 1, Xcopepe, image/png, false
0/6, 1, Cool Pepe, image/png, false
0/7, 1, Pepe Frens, image/png, false
0/8, 1, Jason Marc, image/png, false
0/9, 1, Kenobi, image/png, false
0/10, 1, Wiiide Pepe, image/png, false
0/11, 4989, None, image/png, false
1/0, 250, Pipe, image/png, false
1/1, 600, Vape, image/png, false
1/2, 900, Cig, image/png, false
1/3, 3250, None, image/png, false
2/0, 75, 3D, image/png, false
2/1, 90, VR, image/png, false
2/2, 105, Nouns Glasses (Yellow), image/png, false
2/3, 120, Nouns Glasses (Blue), image/png, false
2/4, 200, Nouns Glasses (Red), image/png, false
2/5, 320, Rose-Colored Sunglasses, image/png, false
2/6, 320, Big Shaes, image/png, false
2/7, 435, Hipster Glasses, image/png, false
2/8, 435, Deal With It Sunglasses, image/png, false
2/9, 550, Cazal Glasses, image/png, false
2/10, 650, Sunglasses, image/png, false
2/11, 1700, None, image/png, false
3/0, 500, Clown Nose , image/png, false
3/1, 4500, None, image/png, false
4/0, 30, Dickbutt Cap, image/png, false
4/1, 70, Squiggs, image/png, false
4/2, 80, Police Hat, image/png, false
4/3, 80, Brains, image/png, false
4/4, 80, Tiara, image/png, false
4/5, 80, Gremps , image/png, false
4/6, 100, Bow, image/png, false
4/7, 100, Purple Flower, image/png, false
4/8, 100, Pirate's Hat, image/png, false
4/9, 100, Witch's Hat, image/png, false
4/10, 120, Top Hat, image/png, false
4/11, 120, Mohawk (Pink), image/png, false
4/12, 140, Aviator's Cap, image/png, false
4/13, 150, Cowboy Hat, image/png, false
4/14, 150, Wizard's Hat, image/png, false
4/15, 170, Orange Crazy Hair, image/png, false
4/16, 170, Queen's Crown, image/png, false
4/17, 170, Captain's Hat, image/png, false
