id, category, name, more_names
0, Legendaries, Legendaries : Creature Pepe, Creature Pepe
1, Legendaries, Legendaries : Fvck_Pepe, Fvck_Pepe
2, Legendaries, Legendaries : Chopper, Chopper
3, Legendaries, Legendaries : Doodle Pepe, Doodle Pepe
4, Legendaries, Legendaries : Pauly, Pauly
5, Legendaries, Legendaries : Xcopepe, Xcopepe
6, Legendaries, Legendaries : Cool Pepe, Cool Pepe
7, Legendaries, Legendaries : Pepe Frens, Pepe Frens
8, Legendaries, Legendaries : Jason Marc, Jason Marc
9, Legendaries, Legendaries : Kenobi, Kenobi
10, Legendaries, Legendaries : Wiiide Pepe, Wiiide Pepe
11, Legendaries, Legendaries : None, 
12, Mouth, Mouth : Pipe, Pipe
13, Mouth, Mouth : Vape, Vape
14, Mouth, Mouth : Cig, Cig
15, Mouth, Mouth : None, 
16, Eyewear, Eyewear : 3D, 3D
17, Eyewear, Eyewear : VR, VR
18, Eyewear, Eyewear : Nouns Glasses (Yellow), Nouns Glasses (Yellow)
19, Eyewear, Eyewear : Nouns Glasses (Blue), Nouns Glasses (Blue)
20, Eyewear, Eyewear : Nouns Glasses (Red), Nouns Glasses (Red)
21, Eyewear, Eyewear : Rose-Colored Sunglasses, Rose-Colored Sunglasses
22, Eyewear, Eyewear : Big Shaes, Big Shaes
23, Eyewear, Eyewear : Hipster Glasses, Hipster Glasses
24, Eyewear, Eyewear : Deal With It Sunglasses, Deal With It Sunglasses
25, Eyewear, Eyewear : Cazal Glasses, Cazal Glasses
26, Eyewear, Eyewear : Sunglasses, Sunglasses
27, Eyewear, Eyewear : None, 
28, Nose, Nose : Clown Nose, Clown Nose
29, Nose, Nose : None, 
30, Headwear, Headwear : Dickbutt Cap, Dickbutt Cap
31, Headwear, Headwear : Squiggs, Squiggs
32, Headwear, Headwear : Police Hat, Police Hat
33, Headwear, Headwear : Brains, Brains
34, Headwear, Headwear : Tiara, Tiara
35, Headwear, Headwear : Gremps, Gremps
36, Headwear, Headwear : Bow, Bow
37, Headwear, Headwear : Purple Flower, Purple Flower
38, Headwear, Headwear : Pirate's Hat, Pirate's Hat
39, Headwear, Headwear : Witch's Hat, Witch's Hat
40, Headwear, Headwear : Top Hat, Top Hat
41, Headwear, Headwear : Mohawk (Pink), Mohawk (Pink)
42, Headwear, Headwear : Aviator's Cap, Aviator's Cap
43, Headwear, Headwear : Cowboy Hat, Cowboy Hat
44, Headwear, Headwear : Wizard's Hat, Wizard's Hat
45, Headwear, Headwear : Orange Crazy Hair, Orange Crazy Hair
46, Headwear, Headwear : Queen's Crown, Queen's Crown
47, Headwear, Headwear : Captain's Hat, Captain's Hat
48, Headwear, Headwear : Dancing Flame, Dancing Flame
49, Headwear, Headwear : Halo, Halo
50, Headwear, Headwear : Cloud, Cloud
51, Headwear, Headwear : Space Helmet, Space Helmet
52, Headwear, Headwear : Flame, Flame
53, Headwear, Headwear : Purple Crazy Hair, Purple Crazy Hair
54, Headwear, Headwear : Headband, Headband
55, Headwear, Headwear : Forest Ranger, Forest Ranger
56, Headwear, Headwear : Mohawk (Purple), Mohawk (Purple)
57, Headwear, Headwear : Headphones, Headphones
58, Headwear, Headwear : Moon Cap, Moon Cap
59, Headwear, Headwear : Beanie, Beanie
60, Headwear, Headwear : Backwards Cap, Backwards Cap
61, Headwear, Headwear : None, 
62, Eyes, Eyes : Moon, Moon
63, Eyes, Eyes : Alien, Alien
64, Eyes, Eyes : Wide, Wide
65, Eyes, Eyes : Laser, Laser
66, Eyes, Eyes : Beam, Beam
67, Eyes, Eyes : Blue Clown, Blue Clown
68, Eyes, Eyes : Purple Clown, Purple Clown
69, Eyes, Eyes : Green Clown, Green Clown
70, Eyes, Eyes : Fire, Fire
71, Eyes, Eyes : Cashed, Cashed
72, Eyes, Eyes : Cry, Cry
73, Eyes, Eyes : Mad, Mad
74, Eyes, Eyes : Side-Eye, Side-Eye
75, Eyes, Eyes : Squint, Squint
76, Eyes, Eyes : Happy, Happy
77, Eyes, Eyes : Sad, Sad
78, Eyes, Eyes : Smug, Smug
79, Clothing, Clothing : Hoodie, Hoodie
80, Clothing, Clothing : Hoodie (2), Hoodie (2)
81, Clothing, Clothing : Hoodie (3), Hoodie (3)
82, Clothing, Clothing : Hoodie (4), Hoodie (4)
83, Clothing, Clothing : Hoodie (5), Hoodie (5)
84, Clothing, Clothing : Hoodie (6), Hoodie (6)
85, Clothing, Clothing : Hoodie (7), Hoodie (7)
86, Clothing, Clothing : Hoodie (8), Hoodie (8)
87, Clothing, Clothing : Hoodie (9), Hoodie (9)
88, Clothing, Clothing : Hoodie (Blue), Hoodie (Blue)
89, Clothing, Clothing : Hoodie (Blue) (2), Hoodie (Blue) (2)
90, Clothing, Clothing : Hoodie (Blue) (3), Hoodie (Blue) (3)
91, Clothing, Clothing : Hoodie (Blue) (4), Hoodie (Blue) (4)
92, Clothing, Clothing : Hoodie (Blue) (5), Hoodie (Blue) (5)
93, Clothing, Clothing : Hoodie (Blue) (6), Hoodie (Blue) (6)
94, Clothing, Clothing : Hoodie (Blue) (7), Hoodie (Blue) (7)
95, Clothing, Clothing : Hoodie (Blue) (8), Hoodie (Blue) (8)
96, Clothing, Clothing : Hoodie (Blue) (9), Hoodie (Blue) (9)
97, Clothing, Clothing : Hoodie (Blue) (10), Hoodie (Blue) (10)
98, Clothing, Clothing : Hoodie (Blue) (11), Hoodie (Blue) (11)
99, Clothing, Clothing : Hoodie (Blue) (12), Hoodie (Blue) (12)
100, Clothing, Clothing : Hoodie (10), Hoodie (10)
101, Clothing, Clothing : Hoodie (11), Hoodie (11)
102, Clothing, Clothing : Hoodie (12), Hoodie (12)
103, Clothing, Clothing : Enjoyoor Hoodie, Enjoyoor Hoodie
104, Clothing, Clothing : Enjoyoor Hoodie (Blue), Enjoyoor Hoodie (Blue)
105, Clothing, Clothing : Jean Jacket, Jean Jacket
106, Clothing, Clothing : Gold Chain, Gold Chain
107, Clothing, Clothing : Punk Jacket, Punk Jacket
108, Clothing, Clothing : None, 
109, Lips, Lips : Sad, 
110, Lips, Lips : Happy, 
111, Lips, Lips : Smug, 
112, Body, Body : Beeping Froglet, Beeping Froglet
113, Body, Body : Beeping Froglet (2), Beeping Froglet (2)
114, Body, Body : Beeping Froglet (3), Beeping Froglet (3)
115, Body, Body : Beeping Froglet (4), Beeping Froglet (4)
116, Body, Body : Beeping Froglet (5), Beeping Froglet (5)
117, Body, Body : Beeping Froglet (6), Beeping Froglet (6)
118, Body, Body : Beeping Froglet (7), Beeping Froglet (7)
119, Body, Body : Northern Laughing Tree Frog, Northern Laughing Tree Frog
120, Body, Body : Sonoran Desert Toad, Sonoran Desert Toad
121, Body, Body : Cliff Chirping Frog, Cliff Chirping Frog
122, Body, Body : Dusky Toadlet, Dusky Toadlet
123, Body, Body : Eastern Stony Creek Frog, Eastern Stony Creek Frog
124, Body, Body : Pacific Tree Frog, Pacific Tree Frog
125, Body, Body : Rocky Mountain Toad, Rocky Mountain Toad
126, Body, Body : Beeping Froglet (8), Beeping Froglet (8)
127, Body, Body : Beeping Froglet (9), Beeping Froglet (9)
128, Body, Body : Skeleton (3), Skeleton (3)
129, Body, Body : Beeping Froglet (10), Beeping Froglet (10)
130, Body, Body : Skeleton (4), Skeleton (4)
131, Body, Body : Beeping Froglet (11), Beeping Froglet (11)
132, Body, Body : Northern Laughing Tree Frog (2), Northern Laughing Tree Frog (2)
133, Body, Body : Sonoran Desert Toad (2), Sonoran Desert Toad (2)
134, Body, Body : Cliff Chirping Frog (2), Cliff Chirping Frog (2)
135, Body, Body : Dusky Toadlet (2), Dusky Toadlet (2)
136, Body, Body : Eastern Stony Creek Frog (2), Eastern Stony Creek Frog (2)
137, Body, Body : Pacific Tree Frog (2), Pacific Tree Frog (2)
138, Body, Body : Rocky Mountain Toad (2), Rocky Mountain Toad (2)
139, Body, Body : Beeping Froglet (12), Beeping Froglet (12)
140, Body, Body : Beeping Froglet (13), Beeping Froglet (13)
141, Body, Body : Northern Laughing Tree Frog (3), Northern Laughing Tree Frog (3)
142, Body, Body : Sonoran Desert Toad (3), Sonoran Desert Toad (3)
143, Body, Body : Dusky Toadlet (3), Dusky Toadlet (3)
144, Body, Body : Eastern Stony Creek Frog (3), Eastern Stony Creek Frog (3)
145, Body, Body : Pacific Tree Frog (3), Pacific Tree Frog (3)
146, Body, Body : Rocky Mountain Toad (3), Rocky Mountain Toad (3)
147, Body, Body : Beeping Froglet (14), Beeping Froglet (14)
148, Body, Body : Northern Laughing Tree Frog (4), Northern Laughing Tree Frog (4)
149, Body, Body : Dusky Toadlet (4), Dusky Toadlet (4)
150, Body, Body : Eastern Stony Creek Frog (4), Eastern Stony Creek Frog (4)
151, Body, Body : Pacific Tree Frog (4), Pacific Tree Frog (4)
152, Body, Body : Sonoran Desert Toad (4), Sonoran Desert Toad (4)
153, Body, Body : Sonoran Desert Toad (5), Sonoran Desert Toad (5)
154, Body, Body : Sonoran Desert Toad (6), Sonoran Desert Toad (6)
155, Body, Body : Cliff Chirping Frog (3), Cliff Chirping Frog (3)
156, Body, Body : Skeleton, Skeleton
157, Body, Body : Skeleton (2), Skeleton (2)
158, Body, Body : Sonoran Desert Toad (7), Sonoran Desert Toad (7)
159, Body, Body : Sonoran Desert Toad (8), Sonoran Desert Toad (8)
160, Body, Body : Sonoran Desert Toad (9), Sonoran Desert Toad (9)
161, Body, Body : Rocky Mountain Toad (4), Rocky Mountain Toad (4)
162, Body, Body : Cliff Chirping Frog (4), Cliff Chirping Frog (4)
163, Body, Body : Sonoran Desert Toad (10), Sonoran Desert Toad (10)
164, Body, Body : Beeping Froglet (15), Beeping Froglet (15)
165, Body, Body : Northern Laughing Tree Frog (5), Northern Laughing Tree Frog (5)
166, Body, Body : Cliff Chirping Frog (5), Cliff Chirping Frog (5)
167, Body, Body : Eastern Stony Creek Frog (5), Eastern Stony Creek Frog (5)
168, Body, Body : Dusky Toadlet (5), Dusky Toadlet (5)
169, Body, Body : Rocky Mountain Toad (5), Rocky Mountain Toad (5)
170, Body, Body : Pacific Tree Frog (5), Pacific Tree Frog (5)
171, Body, Body : Pacific Tree Frog (6), Pacific Tree Frog (6)
172, Body, Body : Cliff Chirping Frog (6), Cliff Chirping Frog (6)
173, Body, Body : Pacific Tree Frog (7), Pacific Tree Frog (7)
174, Body, Body : Cliff Chirping Frog (7), Cliff Chirping Frog (7)
175, Body, Body : Pacific Tree Frog (8), Pacific Tree Frog (8)
176, Body, Body : Rocky Mountain Toad (6), Rocky Mountain Toad (6)
177, Body, Body : Dusky Toadlet (6), Dusky Toadlet (6)
178, Body, Body : Northern Laughing Tree Frog (6), Northern Laughing Tree Frog (6)
179, Body, Body : Northern Laughing Tree Frog (7), Northern Laughing Tree Frog (7)
180, Body, Body : Northern Laughing Tree Frog (8), Northern Laughing Tree Frog (8)
181, Body, Body : Dusky Toadlet (7), Dusky Toadlet (7)
182, Body, Body : Eastern Stony Creek Frog (6), Eastern Stony Creek Frog (6)
183, Body, Body : Dusky Toadlet (8), Dusky Toadlet (8)
184, Body, Body : Eastern Stony Creek Frog (7), Eastern Stony Creek Frog (7)
185, Body, Body : Cliff Chirping Frog (8), Cliff Chirping Frog (8)
186, Body, Body : Cliff Chirping Frog (9), Cliff Chirping Frog (9)
187, Body, Body : Dusky Toadlet (9), Dusky Toadlet (9)
188, Body, Body : Eastern Stony Creek Frog (8), Eastern Stony Creek Frog (8)
189, Body, Body : Pacific Tree Frog (9), Pacific Tree Frog (9)
190, Body, Body : Rocky Mountain Toad (7), Rocky Mountain Toad (7)
191, Body, Body : Dusky Toadlet (10), Dusky Toadlet (10)
192, Body, Body : Eastern Stony Creek Frog (9), Eastern Stony Creek Frog (9)
193, Body, Body : Rocky Mountain Toad (8), Rocky Mountain Toad (8)
194, Body, Body : Rocky Mountain Toad (9), Rocky Mountain Toad (9)
195, Body, Body : Northern Laughing Tree Frog (9), Northern Laughing Tree Frog (9)
196, Body, Body : Cliff Chirping Frog (10), Cliff Chirping Frog (10)
197, Body, Body : Dusky Toadlet (11), Dusky Toadlet (11)
198, Body, Body : Eastern Stony Creek Frog (10), Eastern Stony Creek Frog (10)
199, Body, Body : Rocky Mountain Toad (10), Rocky Mountain Toad (10)
200, Body, Body : Pacific Tree Frog (10), Pacific Tree Frog (10)
201, Body, Body : Northern Laughing Tree Frog (10), Northern Laughing Tree Frog (10)
202, Body, Body : Beeping Froglet (16), Beeping Froglet (16)
203, Body, Body : Beeping Froglet (17), Beeping Froglet (17)
204, Body, Body : Beeping Froglet (18), Beeping Froglet (18)
205, Body, Body : Beeping Froglet (19), Beeping Froglet (19)
206, Body, Body : Beeping Froglet (20), Beeping Froglet (20)
207, Skill, Skill : Time Travel, Time Travel
208, Skill, Skill : Ability to Fly, Ability to Fly
209, Skill, Skill : Invisibility, Invisibility
210, Background, Background : Light, Light
211, Background, Background : Dark, Dark
212, Background, Background : Light Green, Light Green
213, Background, Background : Orange, Orange
214, Background, Background : Light Pink, Light Pink
215, Background, Background : Pale Blue-Green, Pale Blue-Green
216, Background, Background : Punks, Punks
217, Background, Background : Salmon, Salmon
218, Background, Background : Pale Green, Pale Green
219, Background, Background : Pale Purple, Pale Purple
220, Background, Background : Light Yellow, Light Yellow
221, Background, Background : Mustard Yellow, Mustard Yellow
222, Background, Background : Light Purple, Light Purple
223, Background, Background : Light Blue, Light Blue
224, Background, Background : Pale Pink, Pale Pink
