path, category, name, more_names
0_glitch/0_glitch.png, Glitch, Glitch : glitch, glitch
0_glitch/1_none.png, Glitch, Glitch : None,
1_nose/0_clown_nose.png, Nose, Nose : Clown nose, Clown nose
1_nose/1_none.png, Nose, Nose : None,
2_earring/0_cross.png, Earring, Earring : Cross, Cross
2_earring/1_diamond_stud.png, Earring, Earring : Diamond Stud, Diamond Stud
2_earring/2_gold_loop.png, Earring, Earring : Gold Loop, Gold Loop
2_earring/3_gold_stud.png, Earring, Earring : Gold Stud, Gold Stud
2_earring/4_silver_stud.png, Earring, Earring : Silver stud, Silver stud
2_earring/5_silver_loop.png, Earring, Earring : Silver Loop, Silver Loop
2_earring/6_none.png, Earring, Earring : none,
3_mouth/0_multi-colored_grin.png, Mouth, Mouth : Multi-colored Grin, Multi-colored Grin
3_mouth/1_bubblegum.png, Mouth, Mouth : Bubblegum, Bubblegum
3_mouth/2_tongue_out.png, Mouth, Mouth : Tongue out, Tongue out
3_mouth/3_grin_diamond_grill.png, Mouth, Mouth : Grin Diamond Grill, Grin Diamond Grill
3_mouth/4_cigar.png, Mouth, Mouth : Cigar, Cigar
3_mouth/5_phoneme_l.png, Mouth, Mouth : Phoneme L, Phoneme L
3_mouth/6_vape.png, Mouth, Mouth : Vape, Vape
3_mouth/7_grin_gold_grill.png, Mouth, Mouth : Grin Gold Grill, Grin Gold Grill
3_mouth/8_hot_lipstick.png, Mouth, Mouth : Hot lipstick, Hot lipstick
3_mouth/9_purple_lipstick.png, Mouth, Mouth : Purple Lipstick, Purple Lipstick
3_mouth/10_pipe.png, Mouth, Mouth : Pipe, Pipe
3_mouth/11_cigarette_with_hot_lipstick.png, Mouth, Mouth : Cigarette with Hot Lipstick, Cigarette with Hot Lipstick
3_mouth/12_cigarette_with_purple_lipstick.png, Mouth, Mouth : Cigarette with Purple Lipstick, Cigarette with Purple Lipstick
3_mouth/13_cigarette.png, Mouth, Mouth : Cigarette, Cigarette
3_mouth/14_small_mouth.png, Mouth, Mouth : Small mouth, Small mouth
3_mouth/15_large_mouth.png, Mouth, Mouth : Large mouth, Large mouth
3_mouth/16_frown.png, Mouth, Mouth : Frown, Frown
3_mouth/17_smile.png, Mouth, Mouth : Smile, Smile
3_mouth/18_grin.png, Mouth, Mouth : Grin, Grin
4_eyes/0_alien.png, Eyes, Eyes : Alien,
4_eyes/1_blue_beams.png, Eyes, Eyes : Blue Beams, Blue Beams
4_eyes/2_laser_eyes.png, Eyes, Eyes : Laser Eyes, Laser Eyes
4_eyes/3_halographic.png, Eyes, Eyes : halographic, halographic
4_eyes/4_cyborg.png, Eyes, Eyes : Cyborg, Cyborg
4_eyes/5_blindfolded.png, Eyes, Eyes : Blindfolded, Blindfolded
4_eyes/6_big_shades.png, Eyes, Eyes : Big Shades, Big Shades
4_eyes/7_classic_punk.png, Eyes, Eyes : Classic Punk, Classic Punk
4_eyes/8_zombie_eyes.png, Eyes, Eyes : Zombie eyes, Zombie eyes
4_eyes/9_horned_rim_glasses.png, Eyes, Eyes : Horned Rim Glasses, Horned Rim Glasses
4_eyes/10_small_shades.png, Eyes, Eyes : Small Shades, Small Shades
4_eyes/11_welding_goggles.png, Eyes, Eyes : Welding Goggles, Welding Goggles
4_eyes/12_eyepatch.png, Eyes, Eyes : Eyepatch, Eyepatch
4_eyes/13_3d_glasses.png, Eyes, Eyes : 3D Glasses, 3D Glasses
4_eyes/14_vr.png, Eyes, Eyes : VR, VR
4_eyes/15_clown_eyes_blue.png, Eyes, Eyes : Clown Eyes Blue, Clown Eyes Blue
