index, dist, name, type, hide
0/0, 8, glitch, image/gif, false
0/1, 9992, None, image/png, false
1/0, 300, Clown nose , image/png, false
1/1, 9700, None, image/png, false
2/0, 150, Cross, image/png, false
2/1, 250, Diamond Stud, image/png, false
2/2, 450, Gold Loop, image/png, false
2/3, 450, Gold Stud , image/png, false
2/4, 850, Silver stud, image/png, false
2/5, 900, Silver Loop , image/png, false
2/6, 6950, none, image/png, false
3/0, 50, Multi-colored Grin, image/png, false
3/1, 80, Bubblegum, image/png, false
3/2, 90, Tongue out, image/png, false
3/3, 100, Grin Diamond Grill, image/png, false
3/4, 195, Cigar, image/png, false
3/5, 200, Phoneme L, image/png, false
3/6, 207, Vape, image/png, false
3/7, 212, Grin Gold Grill, image/png, false
3/8, 280, Hot lipstick , image/png, false
3/9, 286, Purple Lipstick , image/png, false
3/10, 320, Pipe , image/png, false
3/11, 578, Cigarette with Hot Lipstick , image/png, false
3/12, 584, Cigarette with Purple Lipstick, image/png, false
3/13, 589, Cigarette , image/png, false
3/14, 1175, Small mouth, image/png, false
3/15, 1190, Large mouth, image/png, false
3/16, 1278, Frown, image/png, false
3/17, 1286, Smile, image/png, false
3/18, 1300, Grin, image/png, false
4/0, 20, Alien, image/png, false
4/1, 50, Blue Beams , image/gif, false
4/2, 100, Laser Eyes , image/png, false
4/3, 150, halographic , image/png, false
4/4, 160, Cyborg, image/png, false
4/5, 260, Blindfolded , image/png, false
4/6, 277, Big Shades, image/png, false
4/7, 300, Classic Punk , image/png, false
4/8, 300, Zombie eyes, image/png, false
4/9, 300, Horned Rim Glasses, image/png, false
4/10, 300, Small Shades, image/png, false
4/11, 300, Welding Goggles , image/png, false
4/12, 333, Eyepatch, image/png, false
4/13, 400, 3D Glasses, image/png, false
4/14, 400, VR, image/png, false
4/15, 400, Clown Eyes Blue , image/png, false
4/16, 400, Purple Eye Shadow , image/png, false
4/17, 500, Clown Eyes Green, image/png, false
4/18, 500, Blue Eye Shadow, image/png, false
4/19, 500, Eye Mask, image/png, false
4/20, 550, Green Eye Shadow, image/png, false
4/21, 600, Bloodshot , image/png, false
4/22, 600, Sad eyes, image/png, false
4/23, 700, Closed , image/png, false
4/24, 800, Wide Eyed, image/png, false
4/25, 800, Punk, image/png, false
5/0, 100, Luxurious Beard, image/png, false
5/1, 150, Big Beard, image/png, false
5/2, 250, Handlebars , image/png, false
5/3, 9500, none, image/png, false
6/0, 150, Rosy cheeks , image/png, false
6/1, 9850, None, image/png, false
7/0, 50, Beanie , image/png, false
7/1, 80, Kings Crown, image/png, false
7/2, 80, Laurel Wreath, image/png, false
7/3, 100, Halo, image/png, false
7/4, 115, Top Hat , image/png, false
7/5, 150, Girls short hair, image/png, false
7/6, 150, Stuntman helmet, image/png, false
7/7, 150, Pink with Hat, image/png, false
7/8, 180, Fedora , image/png, false
7/9, 220, Girl's hair Pink, image/png, false
7/10, 250, Hoodie , image/png, false
7/11, 255, Police Cap , image/png, false
7/12, 280, Do-rag, image/png, false
7/13, 280, McDonald's hat, image/png, false
7/14, 280, Clown Hair Green, image/png, false
7/15, 280, Purple Hair , image/png, false
7/16, 300, Cap Forward, image/png, false
7/17, 300, Bowler, image/png, false
7/18, 300, Straight Hair Dark, image/png, false
7/19, 300, Dark Hair, image/png, false
7/20, 300, Horns, image/png, false
7/21, 300, Orange Side, image/png, false
7/22, 400, Peak Spike, image/png, false
7/23, 400, Headband , image/png, false
7/24, 400, Mohawk Dark, image/png, false
7/25, 400, Mohawk, image/png, false
7/26, 400, Wild hair, image/png, false
7/27, 400, Messy hair, image/png, false
7/28, 400, Mohawk Thin, image/png, false
7/29, 410, Crazy hair, image/png, false
7/30, 410, Frumpy hair, image/png, false
7/31, 420, Cap, image/png, false
7/32, 420, Bandana, image/png, false
7/33, 420, Knitted Cap, image/png, false
7/34, 420, None, image/png, false
8/0, 200, Choker , image/png, false
8/1, 300, Silver Chain, image/png, false
8/2, 500, Gold Chain, image/png, false
8/3, 9000, None, image/png, false
9/0, 10, evolved alien nood, image/png, false
9/1, 100, McDonalds, image/png, false
9/2, 150, Kings Robe , image/png, false
9/3, 200, Pimp Coat, image/png, false
9/4, 200, Toga, image/png, false
9/5, 200, PAYC T Black, image/png, false
9/6, 200, Black Holes T, image/png, false
