id, category, name, more_names
0, Glitch, Glitch : glitch, glitch
1, Glitch, Glitch : None, 
2, Nose, Nose : Clown nose, Clown nose
3, Nose, Nose : None, 
4, Earring, Earring : Cross, Cross
5, Earring, Earring : Diamond Stud, Diamond Stud
6, Earring, Earring : Gold Loop, Gold Loop
7, Earring, Earring : Gold Stud, Gold Stud
8, Earring, Earring : Silver stud, Silver stud
9, Earring, Earring : Silver Loop, Silver Loop
10, Earring, Earring : none, 
11, Mouth, Mouth : Multi-colored Grin, Multi-colored Grin
12, Mouth, Mouth : Bubblegum, Bubblegum
13, Mouth, Mouth : Tongue out, Tongue out
14, Mouth, Mouth : Grin Diamond Grill, Grin Diamond Grill
15, Mouth, Mouth : Cigar, Cigar
16, Mouth, Mouth : Phoneme L, Phoneme L
17, Mouth, Mouth : Vape, Vape
18, Mouth, Mouth : Grin Gold Grill, Grin Gold Grill
19, Mouth, Mouth : Hot lipstick, Hot lipstick
20, Mouth, Mouth : Purple Lipstick, Purple Lipstick
21, Mouth, Mouth : Pipe, Pipe
22, Mouth, Mouth : Cigarette with Hot Lipstick, Cigarette with Hot Lipstick
23, Mouth, Mouth : Cigarette with Purple Lipstick, Cigarette with Purple Lipstick
24, Mouth, Mouth : Cigarette, Cigarette
25, Mouth, Mouth : Small mouth, Small mouth
26, Mouth, Mouth : Large mouth, Large mouth
27, Mouth, Mouth : Frown, Frown
28, Mouth, Mouth : Smile, Smile
29, Mouth, Mouth : Grin, Grin
30, Eyes, Eyes : Alien, 
31, Eyes, Eyes : Blue Beams, Blue Beams
32, Eyes, Eyes : Laser Eyes, Laser Eyes
33, Eyes, Eyes : halographic, halographic
34, Eyes, Eyes : Cyborg, Cyborg
35, Eyes, Eyes : Blindfolded, Blindfolded
36, Eyes, Eyes : Big Shades, Big Shades
37, Eyes, Eyes : Classic Punk, Classic Punk
38, Eyes, Eyes : Zombie eyes, Zombie eyes
39, Eyes, Eyes : Horned Rim Glasses, Horned Rim Glasses
40, Eyes, Eyes : Small Shades, Small Shades
41, Eyes, Eyes : Welding Goggles, Welding Goggles
42, Eyes, Eyes : Eyepatch, Eyepatch
43, Eyes, Eyes : 3D Glasses, 3D Glasses
44, Eyes, Eyes : VR, VR
