path, category, name, more_names
0_jewelry/0_halo.png, Jewelry, Jewelry : Halo, Halo
0_jewelry/1_airpod.png, Jewelry, Jewelry : Airpod, Airpod
0_jewelry/2_earring.png, Jewelry, Jewelry : Earring, Earring
0_jewelry/3_hoopearring.png, Jewelry, Jewelry : Hoopearring, Hoopearring
0_jewelry/4_none.png, Jewelry, Jewelry : None,
1_beauty_marks/0_freckles.png, Beauty Marks, Beauty Marks : Freckles, Freckles
1_beauty_marks/1_clownnose.png, Beauty Marks, Beauty Marks : Clownnose, Clownnose
1_beauty_marks/2_rosy_cheeks.png, Beauty Marks, Beauty Marks : Rosy cheeks, Rosy cheeks
1_beauty_marks/3_nose_piercing.png, Beauty Marks, Beauty Marks : Nose piercing, Nose piercing
1_beauty_marks/4_mole.png, Beauty Marks, Beauty Marks : Mole, Mole
1_beauty_marks/5_none.png, Beauty Marks, Beauty Marks : None,
2_eyes/0_vr.png, Eyes, Eyes : Vr, Vr
2_eyes/1_tears.png, Eyes, Eyes : Tears, Tears
2_eyes/2_smallshades.png, Eyes, Eyes : Smallshades, Smallshades
2_eyes/3_regularshades.png, Eyes, Eyes : Regularshades, Regularshades
2_eyes/4_purpleeyeshadow.png, Eyes, Eyes : Purpleeyeshadow, Purpleeyeshadow
2_eyes/5_nerdglasses.png, Eyes, Eyes : Nerdglasses, Nerdglasses
2_eyes/6_hornedrimglasses.png, Eyes, Eyes : Hornedrimglasses, Hornedrimglasses
2_eyes/7_clowneyesgreen.png, Eyes, Eyes : Clowneyesgreen, Clowneyesgreen
2_eyes/8_weldinggoggles.png, Eyes, Eyes : Weldinggoggles, Weldinggoggles
2_eyes/9_clowneyesblue.png, Eyes, Eyes : Clowneyesblue, Clowneyesblue
2_eyes/10_classicshades.png, Eyes, Eyes : Classicshades, Classicshades
2_eyes/11_blueeyeshadow.png, Eyes, Eyes : Blueeyeshadow, Blueeyeshadow
2_eyes/12_eyemask.png, Eyes, Eyes : Eyemask, Eyemask
2_eyes/13_greeneyeshadow.png, Eyes, Eyes : Greeneyeshadow, Greeneyeshadow
2_eyes/14_nounshalloween.png, Eyes, Eyes : Nounshalloween, Nounshalloween
2_eyes/15_eyepatch.png, Eyes, Eyes : Eyepatch, Eyepatch
2_eyes/16_bigshades.png, Eyes, Eyes : Bigshades, Bigshades
2_eyes/17_3d_glasses.png, Eyes, Eyes : 3D glasses, 3D glasses
2_eyes/18_bloodtears.png, Eyes, Eyes : Bloodtears, Bloodtears
2_eyes/19_none.png, Eyes, Eyes : None,
3_pretty_mouths/0_punkin_spice_latte.png, Pretty Mouths, Pretty Mouths : Punkin Spice Latte, Punkin Spice Latte
3_pretty_mouths/1_crystalball.png, Pretty Mouths, Pretty Mouths : Crystalball, Crystalball
3_pretty_mouths/2_apple.png, Pretty Mouths, Pretty Mouths : Apple, Apple
3_pretty_mouths/3_evil_dr_mask.png, Pretty Mouths, Pretty Mouths : Evil Dr Mask, Evil Dr Mask
3_pretty_mouths/4_pipe.png, Pretty Mouths, Pretty Mouths : Pipe, Pipe
3_pretty_mouths/5_nurse_mask.png, Pretty Mouths, Pretty Mouths : Nurse Mask, Nurse Mask
3_pretty_mouths/6_vape.png, Pretty Mouths, Pretty Mouths : Vape, Vape
3_pretty_mouths/7_knife.png, Pretty Mouths, Pretty Mouths : Knife, Knife
3_pretty_mouths/8_cigarette.png, Pretty Mouths, Pretty Mouths : Cigarette, Cigarette
3_pretty_mouths/9_none.png, Pretty Mouths, Pretty Mouths : None,
4_necks/0_beheaded.png, Necks, Necks : Beheaded, Beheaded
4_necks/1_goldchain.png, Necks, Necks : Goldchain, Goldchain
4_necks/2_silverchain.png, Necks, Necks : Silverchain, Silverchain
4_necks/3_choker.png, Necks, Necks : Choker, Choker
4_necks/4_none.png, Necks, Necks : None,
5_hair_hats_and_wigs/0_medusa.png, Hair Hats and Wigs, Hair Hats and Wigs : Medusa, Medusa
5_hair_hats_and_wigs/1_tiara.png, Hair Hats and Wigs, Hair Hats and Wigs : Tiara, Tiara
5_hair_hats_and_wigs/2_witchhat.png, Hair Hats and Wigs, Hair Hats and Wigs : Witchhat, Witchhat
5_hair_hats_and_wigs/3_straighthairblonde.png, Hair Hats and Wigs, Hair Hats and Wigs : Straighthairblonde, Straighthairblonde
5_hair_hats_and_wigs/4_wildwhitehair.png, Hair Hats and Wigs, Hair Hats and Wigs : Wildwhitehair, Wildwhitehair
5_hair_hats_and_wigs/5_wildhair.png, Hair Hats and Wigs, Hair Hats and Wigs : Wildhair, Wildhair
5_hair_hats_and_wigs/6_wildblonde.png, Hair Hats and Wigs, Hair Hats and Wigs : Wildblonde, Wildblonde
5_hair_hats_and_wigs/7_tasslehat.png, Hair Hats and Wigs, Hair Hats and Wigs : Tasslehat, Tasslehat
5_hair_hats_and_wigs/8_straighthairdark.png, Hair Hats and Wigs, Hair Hats and Wigs : Straighthairdark, Straighthairdark
5_hair_hats_and_wigs/9_splitbob.png, Hair Hats and Wigs, Hair Hats and Wigs : Splitbob, Splitbob
5_hair_hats_and_wigs/10_redmohawk.png, Hair Hats and Wigs, Hair Hats and Wigs : Redmohawk, Redmohawk
5_hair_hats_and_wigs/11_purplehair.png, Hair Hats and Wigs, Hair Hats and Wigs : Purplehair, Purplehair
5_hair_hats_and_wigs/12_policecap.png, Hair Hats and Wigs, Hair Hats and Wigs : Policecap, Policecap
5_hair_hats_and_wigs/13_pinkwithhat.png, Hair Hats and Wigs, Hair Hats and Wigs : Pinkwithhat, Pinkwithhat
5_hair_hats_and_wigs/14_pilothelmet.png, Hair Hats and Wigs, Hair Hats and Wigs : Pilothelmet, Pilothelmet
5_hair_hats_and_wigs/15_pigtails.png, Hair Hats and Wigs, Hair Hats and Wigs : Pigtails, Pigtails
5_hair_hats_and_wigs/16_orangeside.png, Hair Hats and Wigs, Hair Hats and Wigs : Orangeside, Orangeside
5_hair_hats_and_wigs/17_mohawkthin.png, Hair Hats and Wigs, Hair Hats and Wigs : Mohawkthin, Mohawkthin
5_hair_hats_and_wigs/18_mohawkdark.png, Hair Hats and Wigs, Hair Hats and Wigs : Mohawkdark, Mohawkdark
5_hair_hats_and_wigs/19_hoodie.png, Hair Hats and Wigs, Hair Hats and Wigs : Hoodie, Hoodie
5_hair_hats_and_wigs/20_knittedcap.png, Hair Hats and Wigs, Hair Hats and Wigs : Knittedcap, Knittedcap
5_hair_hats_and_wigs/21_clownhairgreen.png, Hair Hats and Wigs, Hair Hats and Wigs : Clownhairgreen, Clownhairgreen
5_hair_hats_and_wigs/22_headband.png, Hair Hats and Wigs, Hair Hats and Wigs : Headband, Headband
5_hair_hats_and_wigs/23_halfshaved.png, Hair Hats and Wigs, Hair Hats and Wigs : Halfshaved, Halfshaved
5_hair_hats_and_wigs/24_greenhoodie.png, Hair Hats and Wigs, Hair Hats and Wigs : Greenhoodie, Greenhoodie
5_hair_hats_and_wigs/25_frumpyhair.png, Hair Hats and Wigs, Hair Hats and Wigs : Frumpyhair, Frumpyhair
5_hair_hats_and_wigs/26_fedora.png, Hair Hats and Wigs, Hair Hats and Wigs : Fedora, Fedora
5_hair_hats_and_wigs/27_grimreaper.png, Hair Hats and Wigs, Hair Hats and Wigs : Grimreaper, Grimreaper
5_hair_hats_and_wigs/28_darkhair.png, Hair Hats and Wigs, Hair Hats and Wigs : Darkhair, Darkhair
5_hair_hats_and_wigs/29_crazyhair.png, Hair Hats and Wigs, Hair Hats and Wigs : Crazyhair, Crazyhair
5_hair_hats_and_wigs/30_none.png, Hair Hats and Wigs, Hair Hats and Wigs : None,
5_hair_hats_and_wigs/31_cowboyhat.png, Hair Hats and Wigs, Hair Hats and Wigs : Cowboyhat, Cowboyhat
5_hair_hats_and_wigs/32_cathoodie.png, Hair Hats and Wigs, Hair Hats and Wigs : Cathoodie, Cathoodie
5_hair_hats_and_wigs/33_bride.png, Hair Hats and Wigs, Hair Hats and Wigs : Bride, Bride
5_hair_hats_and_wigs/34_blackwithheadband.png, Hair Hats and Wigs, Hair Hats and Wigs : Blackwithheadband, Blackwithheadband
5_hair_hats_and_wigs/35_beanie.png, Hair Hats and Wigs, Hair Hats and Wigs : Beanie, Beanie
5_hair_hats_and_wigs/36_blondebob.png, Hair Hats and Wigs, Hair Hats and Wigs : Blondebob, Blondebob
6_punkins/0_invisible_woman.png, Punkins, Punkins : Invisible Woman, Invisible Woman
6_punkins/1_zombie.png, Punkins, Punkins : Zombie, Zombie
6_punkins/2_ghost.png, Punkins, Punkins : Ghost, Ghost
6_punkins/3_werewolf.png, Punkins, Punkins : Werewolf, Werewolf
6_punkins/4_orc.png, Punkins, Punkins : Orc, Orc
6_punkins/5_mummy.png, Punkins, Punkins : Mummy, Mummy
6_punkins/6_human_dark.png, Punkins, Punkins : Human Dark, Human Dark
6_punkins/7_human_medium.png, Punkins, Punkins : Human Medium, Human Medium
6_punkins/8_skeleton.png, Punkins, Punkins : Skeleton, Skeleton
6_punkins/9_frankensteins_monster.png, Punkins, Punkins : Frankenstein's Monster, Frankenstein's Monster
6_punkins/10_demon.png, Punkins, Punkins : Demon, Demon
6_punkins/11_ape.png, Punkins, Punkins : Ape, Ape
6_punkins/12_jack_o_lantern.png, Punkins, Punkins : Jack O Lantern, Jack O Lantern
6_punkins/13_alien.png, Punkins, Punkins : Alien, Alien
6_punkins/14_human_fair.png, Punkins, Punkins : Human Fair, Human Fair
7_zodiak/0_taurus.png, Zodiak, Zodiak : Taurus, Taurus
7_zodiak/1_virgo.png, Zodiak, Zodiak : Virgo, Virgo
7_zodiak/2_scorpio.png, Zodiak, Zodiak : Scorpio, Scorpio
7_zodiak/3_sagittarius.png, Zodiak, Zodiak : Sagittarius, Sagittarius
7_zodiak/4_pisces.png, Zodiak, Zodiak : Pisces, Pisces
7_zodiak/5_libra.png, Zodiak, Zodiak : Libra, Libra
7_zodiak/6_leo.png, Zodiak, Zodiak : Leo, Leo
7_zodiak/7_gemini.png, Zodiak, Zodiak : Gemini, Gemini
7_zodiak/8_capricorn.png, Zodiak, Zodiak : Capricorn, Capricorn
7_zodiak/9_cancer.png, Zodiak, Zodiak : Cancer, Cancer
7_zodiak/10_aries.png, Zodiak, Zodiak : Aries, Aries
7_zodiak/11_aquarius.png, Zodiak, Zodiak : Aquarius, Aquarius
8_spooky_sky/0_wine_soaked_sky.png, Spooky Sky, Spooky Sky : Wine Soaked Sky, Wine Soaked Sky
