id, category, name, more_names
0, Jewelry, Jewelry : Halo, Halo
1, Jewelry, Jewelry : Airpod, Airpod
2, Jewelry, Jewelry : Earring, Earring
3, Jewelry, Jewelry : Hoopearring, Hoopearring
4, Jewelry, Jewelry : None, 
5, Beauty Marks, Beauty Marks : Freckles, Freckles
6, Beauty Marks, Beauty Marks : Clownnose, Clownnose
7, Beauty Marks, Beauty Marks : Rosy cheeks, Rosy cheeks
8, Beauty Marks, Beauty Marks : Nose piercing, Nose piercing
9, Beauty Marks, Beauty Marks : Mole, Mole
10, Beauty Marks, Beauty Marks : None, 
11, Eyes, Eyes : Vr, Vr
12, Eyes, Eyes : Tears, Tears
13, Eyes, Eyes : Smallshades, Smallshades
14, Eyes, Eyes : Regularshades, Regularshades
15, Eyes, Eyes : Purpleeyeshadow, Purpleeyeshadow
16, Eyes, Eyes : Nerdglasses, Nerdglasses
17, Eyes, Eyes : Hornedrimglasses, Hornedrimglasses
18, Eyes, Eyes : Clowneyesgreen, Clowneyesgreen
19, Eyes, Eyes : Weldinggoggles, Weldinggoggles
20, Eyes, Eyes : Clowneyesblue, Clowneyesblue
21, Eyes, Eyes : Classicshades, Classicshades
22, Eyes, Eyes : Blueeyeshadow, Blueeyeshadow
23, Eyes, Eyes : Eyemask, Eyemask
24, Eyes, Eyes : Greeneyeshadow, Greeneyeshadow
25, Eyes, Eyes : Nounshalloween, Nounshalloween
26, Eyes, Eyes : Eyepatch, Eyepatch
27, Eyes, Eyes : Bigshades, Bigshades
28, Eyes, Eyes : 3D glasses, 3D glasses
29, Eyes, Eyes : Bloodtears, Bloodtears
30, Eyes, Eyes : None, 
31, Pretty Mouths, Pretty Mouths : Punkin Spice Latte, Punkin Spice Latte
32, Pretty Mouths, Pretty Mouths : Crystalball, Crystalball
33, Pretty Mouths, Pretty Mouths : Apple, Apple
34, Pretty Mouths, Pretty Mouths : Evil Dr Mask, Evil Dr Mask
35, Pretty Mouths, Pretty Mouths : Pipe, Pipe
36, Pretty Mouths, Pretty Mouths : Nurse Mask, Nurse Mask
37, Pretty Mouths, Pretty Mouths : Vape, Vape
38, Pretty Mouths, Pretty Mouths : Knife, Knife
39, Pretty Mouths, Pretty Mouths : Cigarette, Cigarette
40, Pretty Mouths, Pretty Mouths : None, 
41, Necks, Necks : Beheaded, Beheaded
42, Necks, Necks : Goldchain, Goldchain
43, Necks, Necks : Silverchain, Silverchain
44, Necks, Necks : Choker, Choker
45, Necks, Necks : None, 
46, Hair Hats and Wigs, Hair Hats and Wigs : Medusa, Medusa
47, Hair Hats and Wigs, Hair Hats and Wigs : Tiara, Tiara
48, Hair Hats and Wigs, Hair Hats and Wigs : Witchhat, Witchhat
49, Hair Hats and Wigs, Hair Hats and Wigs : Straighthairblonde, Straighthairblonde
50, Hair Hats and Wigs, Hair Hats and Wigs : Wildwhitehair, Wildwhitehair
51, Hair Hats and Wigs, Hair Hats and Wigs : Wildhair, Wildhair
52, Hair Hats and Wigs, Hair Hats and Wigs : Wildblonde, Wildblonde
53, Hair Hats and Wigs, Hair Hats and Wigs : Tasslehat, Tasslehat
54, Hair Hats and Wigs, Hair Hats and Wigs : Straighthairdark, Straighthairdark
55, Hair Hats and Wigs, Hair Hats and Wigs : Splitbob, Splitbob
